week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2019-04-15,high,3.8333333333333335,11,11,0,1,3,0,2,0,4,0,0,0,0,0,1,0,0,1,3,5,2,0,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.18181818181818182,0.0,tech_debt,refactor,"['bump', 'info', 'commit']"
2019-04-22,high,6.5,4,4,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,1,0,0,0.5,0.25,0.25,0.0,0.0,feature_work,feat,"['bump', 'commands']"
2019-05-20,high,0.0,2,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0.0,1.0,0.0,0.0,tech_debt,chore,['deps-dev']
2019-11-04,high,0.0,25,25,0,6,5,0,3,2,3,4,1,1,0,0,0,0,0,6,5,11,3,0,0.24,0.2,0.44,0.12,0.0,tech_debt,feat,"['config', 'cz', 'commands/commit']"
2019-11-11,high,0.0,9,9,0,1,1,0,1,0,2,1,1,0,0,0,0,0,2,1,1,4,1,2,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.2222222222222222,tech_debt,other,"['commands/commit', 'customization', 'cli']"
2019-11-18,high,40.166666666666664,50,42,0,9,5,0,7,2,3,2,0,5,0,0,0,0,9,9,5,12,7,9,0.21428571428571427,0.11904761904761904,0.2857142857142857,0.16666666666666666,0.21428571428571427,tech_debt,other,"['cz/cz_customize', 'cz/customize', 'config']"
2019-11-25,high,0.5,5,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,3,1,0,0,1,3,0.2,0.0,0.0,0.2,0.6,other,other,"['check', 'bump']"
2019-12-23,high,1.5,25,23,0,5,7,0,1,3,5,2,0,0,0,0,0,0,0,5,7,10,1,0,0.21739130434782608,0.30434782608695654,0.43478260869565216,0.043478260869565216,0.0,tech_debt,fix,"['commands/init', 'config', 'github_action/pythonpackage']"
2019-12-30,high,0.35714285714285715,14,14,0,2,5,0,2,1,2,2,0,0,0,0,0,0,0,2,5,5,2,0,0.14285714285714285,0.35714285714285715,0.35714285714285715,0.14285714285714285,0.0,bug_fixes,fix,"['commands/version', 'cli', 'index']"
2020-04-27,high,0.16666666666666666,19,13,0,2,4,0,2,0,1,1,0,2,0,0,0,0,1,2,4,4,2,1,0.15384615384615385,0.3076923076923077,0.3076923076923077,0.15384615384615385,0.07692307692307693,bug_fixes,fix,"['changelog', 'cli', 'commands/check']"
2020-07-20,high,4.7,34,26,0,3,5,0,8,0,5,2,1,0,0,0,0,0,2,3,5,8,8,2,0.11538461538461539,0.19230769230769232,0.3076923076923077,0.3076923076923077,0.07692307692307693,tech_debt,docs,"['cli', 'init', 'config']"
2022-08-08,high,1.1363636363636365,22,22,0,3,6,1,1,0,2,9,0,0,0,0,0,0,0,3,6,12,1,0,0.13636363636363635,0.2727272727272727,0.5454545454545454,0.045454545454545456,0.0,tech_debt,test,"['changelog', 'git', 'customization']"
2022-08-15,high,0.8333333333333334,5,5,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,1,2,1,0,0.2,0.2,0.4,0.2,0.0,tech_debt,fix,"['pre-commit', 'command_changelog', 'changelog']"
2022-09-12,high,1.5,15,15,0,3,5,0,1,0,0,2,3,1,0,0,0,0,0,3,5,6,1,0,0.2,0.3333333333333333,0.4,0.06666666666666667,0.0,tech_debt,fix,"['bump', 'poetry', 'commit']"
2023-02-06,high,0.16666666666666666,14,14,0,5,0,1,3,0,0,1,1,0,0,0,0,0,3,5,0,3,3,3,0.35714285714285715,0.0,0.21428571428571427,0.21428571428571427,0.21428571428571427,feature_work,feat,"['providers', 'poetry', 'bump']"
2023-04-17,high,4.7727272727272725,102,77,0,9,8,1,15,5,4,10,12,4,0,0,0,0,9,9,8,36,15,9,0.11688311688311688,0.1038961038961039,0.4675324675324675,0.19480519480519481,0.11688311688311688,tech_debt,docs,"['bump', 'providers', 'changelog']"
2023-04-24,high,12.772727272727273,33,33,0,3,9,1,9,0,2,8,0,1,0,0,0,0,0,3,9,12,9,0,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.2727272727272727,0.0,tech_debt,docs,"['commit', 'bump', 'tutorials']"
2023-05-01,high,1.1363636363636365,14,14,0,2,1,0,0,0,2,2,0,0,0,0,0,0,7,2,1,4,0,7,0.14285714285714285,0.07142857142857142,0.2857142857142857,0.0,0.5,other,other,[]
2023-06-19,high,3.6818181818181817,16,16,0,0,2,0,0,3,0,1,8,2,0,0,0,0,0,0,2,14,0,0,0.0,0.125,0.875,0.0,0.0,tech_debt,build,"['deps-dev', 'github-actions', 'commands/changelog']"
2023-12-18,high,1.25,18,18,0,0,0,0,2,0,0,0,9,7,0,0,0,0,0,0,0,16,2,0,0.0,0.0,0.8888888888888888,0.1111111111111111,0.0,tech_debt,build,"['github-actions', 'poetry', 'deps-dev']"
2024-05-20,high,1.7857142857142858,25,25,0,1,3,0,2,3,2,2,5,5,0,0,0,0,2,1,3,17,2,2,0.04,0.12,0.68,0.08,0.08,tech_debt,ci,"['deps-dev', 'docpublish', 'config_files']"
2025-05-19,high,1.9210526315789473,51,28,0,0,1,0,7,0,15,4,1,0,0,0,0,0,0,0,1,20,7,0,0.0,0.03571428571428571,0.7142857142857143,0.25,0.0,tech_debt,refactor,"['git', 'bump', 'changelog']"
2025-05-26,high,4.026315789473684,118,79,0,0,5,0,13,11,32,5,12,0,1,0,0,0,0,0,5,61,13,0,0.0,0.06329113924050633,0.7721518987341772,0.16455696202531644,0.0,tech_debt,refactor,"['bump', 'changelog', 'git']"
2025-06-02,high,2.7,272,97,0,3,6,0,5,15,43,8,10,3,3,0,0,0,1,3,6,82,5,1,0.030927835051546393,0.061855670103092786,0.845360824742268,0.05154639175257732,0.010309278350515464,tech_debt,refactor,"['bump', 'changelog', 'git']"
2025-06-09,high,4.9,43,38,0,0,4,0,7,0,16,5,2,2,1,0,0,0,1,0,4,26,7,1,0.0,0.10526315789473684,0.6842105263157895,0.18421052631578946,0.02631578947368421,tech_debt,refactor,"['init', 'changelog', 'bump']"
