"event_type","first_event_timestamp","last_event_timestamp","event_count","event_attribute_count","event_attribute_value_update_count"
commented,2017-11-04 15:32:12.000,2026-03-19 02:56:08.000,4378,1,4378
committed,2019-01-17 12:17:28.000,2026-03-20 03:10:41.000,3233,1,0
labeled,2018-12-05 13:49:50.000,2026-03-20 03:11:06.000,2621,1,0
review_requested,2020-01-17 11:13:22.000,2026-03-20 03:10:57.000,2171,1,0
closed,2017-11-27 13:35:03.000,2026-03-20 07:54:18.000,1729,1,0
created,2017-11-04 11:09:22.000,2026-03-20 03:10:56.000,1709,1,1709
reviewed,2019-03-30 15:33:48.000,2026-03-20 07:54:13.000,1406,1,1406
head_ref_force_pushed,2019-01-17 12:17:36.000,2026-03-14 06:30:53.000,1259,1,0
mentioned,2018-09-19 19:31:58.000,2026-03-04 16:42:15.000,1152,1,0
subscribed,2018-09-19 19:31:58.000,2026-03-18 20:15:23.000,1131,1,0
merged,2019-01-17 12:52:50.000,2026-03-20 07:54:16.000,1026,1,0
cross-referenced,2018-12-16 04:26:54.000,2026-03-23 13:27:23.000,1020,1,0
head_ref_deleted,2019-01-18 18:34:13.000,2026-03-20 07:54:17.000,896,1,0
referenced,2019-04-17 21:29:16.000,2026-02-27 16:11:39.000,665,1,0
unlabeled,2020-04-10 12:09:30.000,2026-03-06 09:00:18.000,470,1,0
renamed,2019-01-17 12:17:49.000,2026-02-10 03:24:29.000,236,1,0
ready_for_review,2020-04-09 10:40:22.000,2026-02-15 03:42:13.000,123,1,0
base_ref_changed,2020-01-25 01:41:06.000,2026-02-01 10:59:55.000,111,1,0
base_ref_force_pushed,2020-04-20 15:37:11.000,2026-02-09 08:49:50.000,107,1,0
milestoned,2020-01-29 09:22:15.000,2025-12-07 02:38:22.000,104,1,0
assigned,2019-04-17 15:48:38.000,2026-02-23 10:51:01.000,99,1,0
convert_to_draft,2020-04-09 09:45:27.000,2026-02-28 06:09:19.000,74,1,0
demilestoned,2020-11-21 17:17:55.000,2026-01-15 17:14:44.000,23,1,0
issue_type_added,2025-03-30 09:42:24.000,2026-01-31 12:38:18.000,22,1,0
reopened,2019-04-24 07:41:31.000,2025-12-26 03:17:47.000,20,1,0
auto_squash_enabled,2026-01-05 01:08:13.000,2026-02-15 04:30:45.000,15,1,0
unassigned,2020-07-25 12:48:05.000,2026-01-31 08:46:12.000,14,1,0
base_ref_deleted,2023-04-23 07:21:22.000,2026-02-01 11:00:23.000,14,1,0
review_request_removed,2020-05-20 16:25:05.000,2026-02-07 01:51:51.000,13,1,0
auto_rebase_enabled,2025-12-29 11:18:24.000,2026-03-20 07:53:32.000,10,1,0
copilot_work_started,2026-02-07 01:52:16.000,2026-02-23 10:56:57.000,8,1,0
head_ref_restored,2022-12-21 15:00:19.000,2026-01-31 06:28:56.000,6,1,0
unsubscribed,2023-04-27 04:59:05.000,2026-01-12 14:23:33.000,5,1,0
locked,2023-04-28 12:50:36.000,2025-04-06 03:53:25.000,4,1,0
converted_to_discussion,2023-04-28 12:50:36.000,2025-04-06 03:53:25.000,4,1,0
issue_type_changed,2025-09-22 23:44:01.000,2025-09-22 23:44:06.000,3,1,0
auto_merge_disabled,2025-12-29 11:18:32.000,2026-01-03 07:21:21.000,2,1,0
parent_issue_added,2026-01-05 08:42:34.000,2026-01-05 16:11:28.000,2,1,0
pinned,2020-11-14 10:32:42.000,2023-10-16 15:25:50.000,2,1,0
connected,2024-08-22 03:04:20.000,2024-08-22 03:04:20.000,2,1,0
copilot_work_finished,2026-02-09 06:40:51.000,2026-02-09 08:07:39.000,2,1,0
unpinned,2021-01-04 13:27:45.000,2021-01-04 13:27:45.000,1,1,0
sub_issue_added,2026-01-05 16:11:28.000,2026-01-05 16:11:28.000,1,1,0
