"id","description"
31,created
43,committed
54,review_requested
76,labeled
89,auto_rebase_enabled
94,reviewed
100,merged
105,closed
110,head_ref_deleted
124,commented
130,cross-referenced
574,head_ref_force_pushed
625,unlabeled
778,convert_to_draft
797,mentioned
802,subscribed
1195,copilot_work_started
1253,assigned
1419,ready_for_review
1465,auto_squash_enabled
1728,renamed
1875,referenced
1974,copilot_work_finished
1979,base_ref_force_pushed
2782,review_request_removed
3849,base_ref_changed
4469,head_ref_restored
4732,unassigned
4781,issue_type_added
6486,unsubscribed
7583,parent_issue_added
8723,auto_merge_disabled
11150,base_ref_deleted
11933,sub_issue_added
12785,milestoned
13062,reopened
16939,demilestoned
17826,issue_type_changed
38323,locked
38333,converted_to_discussion
56028,connected
65473,pinned
100195,unpinned
