discovery_method,f_score_vitalizing,f_score_whole,diff_vitalizing_whole,f_score_random_mean,f_score_random_std,f_score_random_baseline,diff_random_whole,n_seeds,p_value_random_vs_whole,p_value_random_vs_whole_holm,Sig2_random_vs_whole
alpha_classic,0.334678135175082,0.2029099510228909,0.1317681841521911,0.21968005758355885,0.03589443077800916,0.2133913911044503,0.016770106560667963,10,0.17367559367018356,1.0,0
heuristics_dep_0.6,0.7156392362294447,0.540025240601677,0.1756139956277677,0.565547916347583,0.047850302215125845,0.5044973338195495,0.025522675745905943,10,0.12593417979759075,1.0,0
heuristics_dep_0.7,0.7159016994730107,0.551547229441042,0.1643544700319688,0.5666184601481655,0.04525124557045849,0.4949578422722545,0.015071230707123573,10,0.3196950787570639,1.0,0
heuristics_dep_0.8,0.7155788622917515,0.5674079089232414,0.14817095336851005,0.5669330474845239,0.046724937563004026,0.4949578422722545,-0.0004748614387175554,10,0.9750634762875804,1.0,0
heuristics_dep_0.9,0.7167009015072457,0.5406320627451332,0.17606883876211255,0.5629250441665901,0.047289540808987576,0.4952980564149365,0.02229298142145686,10,0.17021905841391202,1.0,0
inductive_IM,0.23479562341696583,0.21331991222159982,0.02147571119536601,0.21617872838962476,0.02990024816027869,0.22456970072879523,0.0028588161680249413,10,0.7692553773389135,1.0,0
inductive_IMf_noise_0.3,0.507445541158561,0.4036538535091944,0.10379168764936658,0.5013797783809669,0.1060069321537774,0.2718351217415429,0.09772592487177251,10,0.01716402165165763,0.15447619486491865,0
inductive_IMf_noise_0.4,0.43120547263664216,0.3116749558955427,0.11953051674109944,0.3499145698457041,0.09006396090016819,0.25140176428536504,0.0382396139501614,10,0.21226567743630684,1.0,0
inductive_IMf_noise_0.5,0.4377077821725618,0.40357367674399863,0.034134105428563155,0.33133657345215556,0.04256548790823745,0.2633428433898026,-0.07223710329184307,10,0.00045235104686420455,0.004523510468642046,2
inductive_IMf_noise_0.6,0.3853202562730562,0.34241627932097823,0.04290397695207798,0.3375927614779609,0.07596485211466082,0.27400541179244164,-0.004823517843017322,10,0.8453238436275132,1.0,0
