log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,7,0.5012051669196114,0.7310508182601205,0.2727272727272727,0.3972541295317588,28.0,1.0,1.0,ok,
vitalizing,alpha_classic,8,0.37889595723284386,0.7224932249322493,0.3146067415730337,0.4383400764546645,56.0,5.0,0.6000000000000001,ok,
whole,alpha_classic,37,0.553484429896,0.6096456720085028,0.2160138248847926,0.31899807107053896,103.0,23.0,0.3894736842105263,ok,
random_case_control,heuristics_dep_0.6,7,0.33725662466388384,0.9170746634026927,0.6263736263736264,0.744348076156365,70.0,3.0,0.6000000000000001,ok,
vitalizing,heuristics_dep_0.6,8,0.2620598870518872,1.0,0.5931034482758621,0.7445887445887447,114.0,0.0,0.641025641025641,ok,
whole,heuristics_dep_0.6,37,0.42708488532210587,0.8839750858854888,0.6446153846153846,0.745554745989981,222.0,15.0,0.4754098360655738,ok,
random_case_control,heuristics_dep_0.7,7,0.32391735720202774,0.9170746634026927,0.6263736263736264,0.744348076156365,70.0,3.0,0.6000000000000001,ok,
vitalizing,heuristics_dep_0.7,8,0.2620598870518872,1.0,0.5931034482758621,0.7445887445887447,114.0,0.0,0.641025641025641,ok,
whole,heuristics_dep_0.7,37,0.4277762507228511,0.8841421436707514,0.6416539050535988,0.743629215166867,222.0,15.0,0.4754098360655738,ok,
random_case_control,heuristics_dep_0.8,7,0.33725662466388384,0.9170746634026927,0.6263736263736264,0.744348076156365,70.0,3.0,0.6000000000000001,ok,
vitalizing,heuristics_dep_0.8,8,0.2620598870518872,1.0,0.5931034482758621,0.7445887445887447,114.0,0.0,0.641025641025641,ok,
whole,heuristics_dep_0.8,37,0.4198306488333976,0.8839750858854888,0.6367781155015197,0.7402857857896525,222.0,15.0,0.4754098360655738,ok,
random_case_control,heuristics_dep_0.9,7,0.33725662466388384,0.9170746634026927,0.6263736263736264,0.744348076156365,70.0,3.0,0.6000000000000001,ok,
vitalizing,heuristics_dep_0.9,8,0.2620598870518872,1.0,0.5931034482758621,0.7445887445887447,114.0,0.0,0.641025641025641,ok,
whole,heuristics_dep_0.9,37,0.4198306488333976,0.8839750858854888,0.6367781155015197,0.7402857857896525,222.0,15.0,0.4754098360655738,ok,
random_case_control,inductive_IM,7,0.4284628744948368,1.0,0.4744525547445255,0.6435643564356436,83.0,1.0,0.6727272727272727,ok,
vitalizing,inductive_IM,8,0.3546317347395793,1.0,0.455026455026455,0.6254545454545455,130.0,3.0,0.6744186046511628,ok,
whole,inductive_IM,37,0.679249520018588,1.0,0.2954545454545454,0.45614035087719296,192.0,4.0,0.6363636363636362,ok,
random_case_control,inductive_IMf_noise_0.3,7,0.4102155097232836,0.9529411764705882,0.6125,0.7457022076092062,66.0,0.0,0.7142857142857143,ok,
vitalizing,inductive_IMf_noise_0.3,8,0.3161283480114192,0.9543732782369145,0.540983606557377,0.6905378954183473,108.0,3.0,0.6666666666666666,ok,
whole,inductive_IMf_noise_0.3,37,0.6526306512635555,0.9751180452838775,0.45861601085481685,0.6238322178731556,167.0,2.0,0.6347826086956522,ok,
random_case_control,inductive_IMf_noise_0.4,7,0.4701347100779706,0.925,0.6885245901639344,0.7894335788671577,56.0,0.0,0.7647058823529413,ok,
vitalizing,inductive_IMf_noise_0.4,8,0.323825308552276,0.9457557080823644,0.543859649122807,0.6905921922268714,115.0,2.0,0.6623376623376623,ok,
whole,inductive_IMf_noise_0.4,37,0.643275338513992,0.9253526436110706,0.4930434782608696,0.6433168830464197,150.0,3.0,0.6470588235294118,ok,
random_case_control,inductive_IMf_noise_0.5,7,0.4701347100779706,0.925,0.6885245901639344,0.7894335788671577,56.0,0.0,0.7647058823529413,ok,
vitalizing,inductive_IMf_noise_0.5,8,0.38633824976494413,0.855234310770074,0.6527777777777778,0.7404157527694557,67.0,1.0,0.7560975609756097,ok,
whole,inductive_IMf_noise_0.5,37,0.6339873402493208,0.9205436259996418,0.5460750853242321,0.6855032398416252,137.0,2.0,0.6703296703296703,ok,
random_case_control,inductive_IMf_noise_0.6,7,0.47552841898800535,0.8695652173913043,0.8,0.8333333333333333,45.0,0.0,0.7777777777777779,ok,
vitalizing,inductive_IMf_noise_0.6,8,0.3759352400940006,0.7840909090909091,0.6527777777777778,0.7124340949033392,64.0,1.0,0.7894736842105263,ok,
whole,inductive_IMf_noise_0.6,37,0.6339873402493208,0.9205436259996418,0.5460750853242321,0.6855032398416252,137.0,2.0,0.6703296703296703,ok,
