discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.7863314476329338,0.06514547711437214,0.08284735058031487,0.3560573293821059,0.2534600830269616,0.711851890443628,0.4467045196970191,0.1870610312055176,0.41875786556266137,45.6,16.324487400494046,0.35799314474767646,3.4,3.373096170846271,0.9920871090724326
heuristics_dep_0.5,0.9292390016623973,0.02945803358939233,0.03170124535958163,0.6334979864192445,0.06643164587750866,0.10486480983626152,0.7515314132886166,0.04828022649357935,0.0642424596495714,82.6,15.854897595941067,0.19194791278379017,1.3,1.1595018087284057,0.8919244682526197
heuristics_dep_0.6,0.9292390016623973,0.02945803358939233,0.03170124535958163,0.6334979864192445,0.06643164587750866,0.10486480983626152,0.7515314132886166,0.04828022649357935,0.0642424596495714,82.6,15.854897595941067,0.19194791278379017,1.3,1.1595018087284057,0.8919244682526197
heuristics_dep_0.7,0.9292390016623973,0.02945803358939233,0.03170124535958163,0.6334979864192445,0.06643164587750866,0.10486480983626152,0.7515314132886166,0.04828022649357935,0.0642424596495714,82.6,15.854897595941067,0.19194791278379017,1.3,1.1595018087284057,0.8919244682526197
inductive_IM,1.0,0.0,0.0,0.444072687893781,0.10110278915090862,0.2276717121028881,0.6091209581565104,0.09390946824774278,0.15417211801734335,121.7,26.76253600340097,0.2199058011783153,2.3,1.1595018087284057,0.5041312211862634
inductive_IMf_noise_0.2,0.9864340758627126,0.010554033854426022,0.010699178092763805,0.46352535890861135,0.0829873102026436,0.17903510262748187,0.6268489145127146,0.07596825894268161,0.12119070031689542,108.6,21.577766334817884,0.1986902977423378,1.8,1.2292725943057183,0.6829292190587324
inductive_IMf_noise_0.3,0.9691868366621991,0.02047963660741755,0.02113074159978043,0.4840693245945042,0.07295259475557511,0.15070691541275855,0.6425795840442474,0.06550141459425471,0.10193510067967604,103.8,20.015549510873345,0.19282802996987808,1.6,1.07496769977314,0.6718548123582125
inductive_IMf_noise_0.4,0.9462145664270502,0.04879600589563174,0.05156970482909359,0.4944633945948098,0.08707564382884228,0.1761012944147196,0.6447161001091761,0.07665672516387605,0.11889997031390252,99.7,18.927052948975795,0.18984004963867396,1.4,1.1737877907772674,0.838419850555191
split_miner_eps_0.1_eta_0.4,0.9394391459149987,0.0595571518180602,0.06339649787539192,0.5952194775614934,0.09171824320476439,0.15409146821020941,0.7261575161254249,0.0823605900392057,0.11341973085765047,102.9,40.60774419847634,0.3946330825896631,7.5,12.642520845675254,1.6856694460900339
split_miner_eps_0.1_eta_0.5,0.9283381527233855,0.05855808809112422,0.06307840297130676,0.6080638066823142,0.09540681822405231,0.15690264274173127,0.7323500833731081,0.08515011033995994,0.11626968068026941,98.0,41.23913998456644,0.4208075508629229,7.1,12.758004023618533,1.79690197515754
split_miner_eps_0.1_eta_0.6,0.9260507495933661,0.04872318500600442,0.05261394694340352,0.6254598966493197,0.11191389308926457,0.17893056563466928,0.7424803071695392,0.09003471888539144,0.12126209680714503,89.6,30.934339064110183,0.3452493199119441,5.0,7.916228058025278,1.5832456116050557
split_miner_eps_0.2_eta_0.4,0.9391914678964227,0.06015451656080231,0.06404925791706224,0.594111103177257,0.09210385097970877,0.15502799137593123,0.7253058318856528,0.08304327343676633,0.11449414824208723,102.9,40.60774419847634,0.3946330825896631,7.5,12.642520845675254,1.6856694460900339
split_miner_eps_0.2_eta_0.5,0.9296163707644036,0.0563515421655564,0.06061806131836917,0.6083122538872832,0.09530399640560837,0.15666953245901186,0.7328877918835908,0.08456809922939466,0.11539024140659603,98.0,41.23913998456644,0.4208075508629229,7.1,12.758004023618533,1.79690197515754
split_miner_eps_0.2_eta_0.6,0.925990235004862,0.04893116201486309,0.05284198489912389,0.6256035030429261,0.1113481294589273,0.1779851438128649,0.74259795104432,0.08948843253781029,0.12050724407731285,89.6,30.934339064110183,0.3452493199119441,5.0,7.916228058025278,1.5832456116050557
split_miner_eps_0.3_eta_0.4,0.9417643791582965,0.060026123929112635,0.0637379425868295,0.5952194775614934,0.09171824320476439,0.15409146821020941,0.7267328455790971,0.0819121520155272,0.11271287999960357,102.9,40.60774419847634,0.3946330825896631,7.5,12.642520845675254,1.6856694460900339
split_miner_eps_0.3_eta_0.5,0.929446938509016,0.05655305477034249,0.060845920759137466,0.6080063098313391,0.09590536380487913,0.15773744820425173,0.7325795308753891,0.08517089957578183,0.1162616425741621,98.0,41.23913998456644,0.4208075508629229,7.1,12.758004023618533,1.79690197515754
split_miner_eps_0.3_eta_0.6,0.92582620407061,0.049164742716490864,0.05310364137494342,0.625297558986982,0.11191581170435043,0.1789800873134072,0.7422918300295308,0.09009620804733895,0.12137572367427864,89.6,30.934339064110183,0.3452493199119441,5.0,7.916228058025278,1.5832456116050557
