week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2023-02-27,1,,,,,,False,normal,0.0
2023-04-03,1,,,,,,False,normal,0.0
2023-05-15,1,,,,,,False,normal,0.0
2023-05-22,0,,,,,,False,normal,0.0
2023-06-12,6,,,,,,False,normal,0.0
2023-06-19,10,,,,,,False,normal,0.0
2023-06-26,4,,,,,,False,normal,0.0
2023-07-03,0,,,,,,False,normal,0.0
2023-07-10,3,0.75,4.5,3.75,-4.875,10.125,False,normal,0.0
2023-07-31,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2023-08-07,1,0.25,3.75,3.5,-5.0,9.0,False,normal,0.0
2023-08-21,1,0.5,3.5,3.0,-4.0,8.0,False,normal,0.0
2023-08-28,0,0.75,3.25,2.5,-3.0,7.0,False,normal,0.0
2023-09-04,1,0.0,3.0,3.0,-4.5,7.5,False,normal,0.0
2023-09-11,2,0.25,2.5,2.25,-3.125,5.875,False,normal,0.0
2023-09-18,0,0.5,2.5,2.0,-2.5,5.5,False,normal,0.0
2023-09-25,1,0.0,2.25,2.25,-3.375,5.625,False,normal,0.0
2023-10-02,1,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2023-10-09,5,0.25,1.75,1.5,-2.0,4.0,True,high,0.6666666666666666
2023-10-16,5,0.5,2.5,2.0,-2.5,5.5,False,normal,0.0
2023-10-23,5,0.75,3.25,2.5,-3.0,7.0,False,normal,0.0
2023-11-06,6,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2023-11-13,0,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2023-11-20,1,0.5,4.5,4.0,-5.5,10.5,False,normal,0.0
2023-11-27,4,0.75,4.25,3.5,-4.5,9.5,False,normal,0.0
2023-12-11,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2023-12-18,4,0.25,4.0,3.75,-5.375,9.625,False,normal,0.0
2024-01-01,1,0.5,4.0,3.5,-4.75,9.25,False,normal,0.0
2024-01-08,1,0.75,4.0,3.25,-4.125,8.875,False,normal,0.0
2024-01-15,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2024-01-22,2,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2024-02-05,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2024-02-12,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2024-03-04,2,0.25,4.0,3.75,-5.375,9.625,False,normal,0.0
2024-03-11,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2024-03-18,1,1.0,3.75,2.75,-3.125,7.875,False,normal,0.0
2024-03-25,1,1.0,2.75,1.75,-1.625,5.375,False,normal,0.0
2024-04-08,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-04-22,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-05-06,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-05-13,2,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-05-20,2,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-06-10,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-08-26,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-09-16,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-09-30,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2024-12-23,2,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2025-01-13,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2025-03-31,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2025-04-28,1,0.25,2.0,1.75,-2.375,4.625,False,normal,0.0
2025-05-19,0,0.25,2.0,1.75,-2.375,4.625,False,normal,0.0
2025-05-26,1,0.0,1.75,1.75,-2.625,4.375,False,normal,0.0
2025-06-16,0,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2025-07-21,0,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2025-08-18,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2025-09-15,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2025-10-13,0,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-02-23,0,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-03-09,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-03-16,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-03-23,0,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-03-30,6,0.0,1.0,1.0,-1.5,2.5,True,high,3.5
2026-04-06,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-04-13,2,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-04-20,2,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-05-11,2,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2026-05-18,3,0.0,1.0,1.0,-1.5,2.5,True,high,0.5
2026-06-01,1,0.0,1.75,1.75,-2.625,4.375,False,normal,0.0
2026-06-22,0,0.0,1.75,1.75,-2.625,4.375,False,normal,0.0
2026-07-06,2,0.0,1.75,1.75,-2.625,4.375,False,normal,0.0
2026-07-13,2,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2026-07-20,2,0.0,2.0,2.0,-3.0,5.0,False,normal,0.0
2026-07-27,8,0.0,2.0,2.0,-3.0,5.0,True,high,1.5
