issue_id,category,commit_count
12637,other,2
12707,other,14
13157,other,2
13259,other,1
15399,other,1
16438,other,2
18732,other,5
18790,other,5
18848,other,5
19163,other,2
20732,other,1
20758,other,3
20800,other,2
20834,other,4
20993,other,2
21027,other,2
21065,other,2
21244,other,2
21322,other,3
21379,other,4
22374,other,1
22692,other,2
22727,other,2
22758,other,3
22800,other,1
22879,other,2
22914,other,118
23878,other,114
25046,other,1
25166,other,4
28106,other,2
28144,other,1
28211,other,250
30253,other,2
30290,other,2
30347,other,1
30381,other,1
30415,other,15
30568,other,13
30729,other,1
30756,other,1
36076,other,12
36190,other,4
36374,other,4
36542,other,1
37184,other,1
37212,other,2
38476,other,9
38578,other,11
38716,other,1
41300,other,8
41387,other,22
41597,other,1
41758,other,1
41787,other,2
41936,other,2
43715,other,1
43875,other,6
43941,other,8
44020,other,10
44115,other,5
44286,other,1
44314,other,1
44394,other,1
44420,other,2
44455,other,2
44489,other,1
45089,other,1
45563,other,1
45769,other,1
45795,other,1
45974,other,1
47448,other,1
47796,other,1
5676,other,9
5766,other,11
5872,other,6
5938,other,18
6593,other,1
6629,other,1
6658,other,1
6687,other,2
6726,other,10
13051,other,0
18906,other,0
18985,other,0
19048,other,0
19076,other,0
19246,other,0
19295,other,0
19322,other,0
19350,other,0
19388,other,0
19406,other,0
19946,other,0
20015,other,0
20473,other,0
20878,other,0
21102,other,0
21281,other,0
21364,other,0
21648,other,0
22480,other,0
24858,other,0
24911,other,0
24952,other,0
25072,other,0
25104,other,0
25133,other,0
25224,other,0
25288,other,0
25312,other,0
25350,other,0
25415,other,0
25478,other,0
25517,other,0
25541,other,0
25577,other,0
25698,other,0
25780,other,0
25809,other,0
25875,other,0
26240,other,0
28172,other,0
30228,other,0
30550,other,0
30699,other,0
30856,other,0
30960,other,0
31631,other,0
31916,other,0
32151,other,0
32290,other,0
32314,other,0
32648,other,0
32873,other,0
32948,other,0
33318,other,0
33402,other,0
33453,other,0
33765,other,0
33818,other,0
34150,other,0
34440,other,0
36240,other,0
36424,other,0
36571,other,0
36679,other,0
36713,other,0
36783,other,0
36813,other,0
36900,other,0
37085,other,0
37140,other,0
37160,other,0
37255,other,0
37312,other,0
37324,other,0
37360,other,0
37387,other,0
37433,other,0
37472,other,0
37555,other,0
37574,other,0
37601,other,0
37620,other,0
37882,other,0
37926,other,0
37978,other,0
38051,other,0
38101,other,0
38176,other,0
38211,other,0
38241,other,0
38271,other,0
38345,other,0
38369,other,0
38398,other,0
38689,other,0
38748,other,0
38772,other,0
38882,other,0
38931,other,0
39042,other,0
39132,other,0
39248,other,0
39318,other,0
39474,other,0
39625,other,0
39656,other,0
39710,other,0
39756,other,0
39817,other,0
39836,other,0
39940,other,0
39966,other,0
40046,other,0
40066,other,0
40142,other,0
40244,other,0
40275,other,0
40431,other,0
40463,other,0
40518,other,0
40624,other,0
40839,other,0
40908,other,0
40932,other,0
40977,other,0
41040,other,0
41070,other,0
41113,other,0
41203,other,0
41232,other,0
41578,other,0
41647,other,0
41698,other,0
41824,other,0
41877,other,0
41893,other,0
41912,other,0
42017,other,0
42066,other,0
42092,other,0
42116,other,0
42201,other,0
42230,other,0
42254,other,0
42304,other,0
42345,other,0
42389,other,0
42413,other,0
42490,other,0
42525,other,0
42561,other,0
42819,other,0
42852,other,0
43122,other,0
43159,other,0
43220,other,0
43276,other,0
43340,other,0
43614,other,0
43796,other,0
43828,other,0
43847,other,0
44170,other,0
44243,other,0
44346,other,0
44544,other,0
44589,other,0
44622,other,0
44646,other,0
44855,other,0
45065,other,0
45116,other,0
45135,other,0
45199,other,0
45249,other,0
45301,other,0
45376,other,0
45432,other,0
45596,other,0
45620,other,0
45656,other,0
45875,other,0
45896,other,0
45920,other,0
46138,other,0
46309,other,0
46333,other,0
46461,other,0
46477,other,0
46570,other,0
46614,other,0
46644,other,0
46668,other,0
46769,other,0
46792,other,0
47038,other,0
47119,other,0
47187,other,0
47216,other,0
47240,other,0
47273,other,0
47302,other,0
47385,other,0
47519,other,0
47546,other,0
47585,other,0
47634,other,0
47768,other,0
47983,other,0
48676,other,0
48878,other,0
48965,other,0
49211,other,0
49449,other,0
49491,other,0
49928,other,0
49947,other,0
50280,other,0
51520,other,0
51587,other,0
51654,other,0
51678,other,0
54310,other,0
56003,other,0
6115,other,0
