week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2021-10-04,high,4.6,37,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-10-11,high,0.6,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-11-22,high,0.045454545454545456,36,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-01-03,high,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,[]
2022-01-24,high,13.833333333333334,21,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-02-21,high,8.166666666666666,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-03-07,high,2.0,21,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-07-04,high,2.230769230769231,289,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,105,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-11-28,high,0.25,247,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,29,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-12-19,high,0.5,26,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0,other,other,[]
2023-02-20,high,6.7105263157894735,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,other,other,[]
2024-03-04,high,0.35714285714285715,20,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-01-06,high,2.5,17,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-03-24,high,1.5,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,other,other,[]
