log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,106,0.6440513054511559,0.5377597101464847,0.15509899936129445,0.2902333785384827,114.0,27.0,0.411764705882353,ok,
vitalizing,alpha_classic,123,0.7184877173246751,0.6077441860465116,0.24782214156079851,0.3520766557710984,67.0,13.0,0.56,ok,
whole,alpha_classic,246,0.748132128211501,0.5487845344392581,0.17411513457491912,0.264356721028328,108.0,24.0,0.4408602150537635,ok,
random_case_control,heuristics_dep_0.5,106,0.5240306022992863,0.8747571630581557,0.5296817625458996,0.6770355385928364,372.0,22.0,0.4933333333333333,ok,
vitalizing,heuristics_dep_0.5,123,0.5252288191616514,0.7984682765832924,0.7029795158286778,0.747687459149521,276.0,18.0,0.48444444444444446,ok,
whole,heuristics_dep_0.5,246,0.5357275127429881,0.8300427131698386,0.43647454774926375,0.5721082989117166,476.0,26.0,0.4782608695652174,ok,
random_case_control,heuristics_dep_0.6,106,0.5217808926680942,0.873844417632605,0.5277439024390245,0.6785145415375344,372.0,22.0,0.4933333333333333,ok,
vitalizing,heuristics_dep_0.6,123,0.5252288191616514,0.7984682765832924,0.7029795158286778,0.747687459149521,276.0,18.0,0.48444444444444446,ok,
whole,heuristics_dep_0.6,246,0.5349450188733009,0.832332633049043,0.4353125,0.571650203795866,476.0,26.0,0.4782608695652174,ok,
random_case_control,heuristics_dep_0.7,106,0.5236718897512163,0.8747571630581557,0.5296817625458996,0.678375800857874,372.0,22.0,0.4933333333333333,ok,
vitalizing,heuristics_dep_0.7,123,0.5209206843652494,0.7967982177787345,0.6845289541918755,0.7364091620522154,276.0,18.0,0.48444444444444446,ok,
whole,heuristics_dep_0.7,246,0.5396161096445679,0.8325499455084531,0.43528424585693304,0.5716770814937523,476.0,26.0,0.4782608695652174,ok,
random_case_control,inductive_IM,106,0.6718654567755272,1.0,0.17269822076351704,0.3628243441916811,431.0,12.0,0.6212624584717608,ok,
vitalizing,inductive_IM,123,0.778986786273697,1.0,0.3747342848466444,0.5451734040203225,256.0,5.0,0.6363636363636362,ok,
whole,inductive_IM,246,0.7632695980000537,1.0,0.19863485934914504,0.33143514524014955,236.0,6.0,0.5813953488372092,ok,
random_case_control,inductive_IMf_noise_0.2,106,0.6449071459905714,0.9829326923076923,0.44258843346434584,0.6101102788498867,289.0,5.0,0.6446700507614214,ok,
vitalizing,inductive_IMf_noise_0.2,123,0.8051617694754942,0.9414268504078946,0.5074179529447025,0.6594176052200647,185.0,5.0,0.6377952755905513,ok,
whole,inductive_IMf_noise_0.2,246,0.7867601337313808,0.9828005629993302,0.5335904107043301,0.6916592951887915,278.0,6.0,0.6421052631578946,ok,
random_case_control,inductive_IMf_noise_0.3,106,0.598281943114492,0.9771854941797216,0.4483757500517277,0.6091612531372878,255.0,2.0,0.6608187134502924,ok,
vitalizing,inductive_IMf_noise_0.3,123,0.7925597704960432,0.9428258608721432,0.650790260572405,0.7700497998416295,161.0,3.0,0.6513761467889908,ok,
whole,inductive_IMf_noise_0.3,246,0.7032213787697901,0.9641372833880153,0.4286624203821656,0.593465694111014,257.0,1.0,0.6804733727810651,ok,
random_case_control,inductive_IMf_noise_0.4,106,0.6547756348488514,0.9562734021820593,0.27815155807365444,0.5265527376939194,255.0,5.0,0.6608187134502924,ok,
vitalizing,inductive_IMf_noise_0.4,123,0.7925597704960432,0.9428258608721432,0.650790260572405,0.7700497998416295,161.0,3.0,0.6513761467889908,ok,
whole,inductive_IMf_noise_0.4,246,0.7800958246196723,0.998882764784746,0.21613250945086315,0.35537172771093745,143.0,2.0,0.5412844036697247,ok,
random_case_control,split_miner_eps_0.1_eta_0.4,106,0.6184481025159363,0.6833268017220239,0.543493229286206,0.7011579739969671,333.0,73.0,0.3582554517133957,ok,
vitalizing,split_miner_eps_0.1_eta_0.4,123,0.7307215336023094,0.9526888219742311,0.5664942741041743,0.7105039070597969,152.0,1.0,0.5963302752293579,ok,
whole,split_miner_eps_0.1_eta_0.4,246,0.7451062090212572,0.7301414287755816,0.5932346723044397,0.6546063675807401,405.0,87.0,0.3697916666666667,ok,
