seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.07177033492822966,0.41148325358851673,0.41967924862661704
1,0.09569377990430622,0.41148325358851673,0.4122591491012544
2,0.10047846889952153,0.44019138755980863,0.45086124401913874
3,0.10047846889952153,0.42105263157894735,0.42044915729126253
4,0.10047846889952153,0.4449760765550239,0.43563028216250055
5,0.08133971291866028,0.40669856459330145,0.41932482721956404
6,0.08133971291866028,0.40669856459330145,0.40784180886649446
7,0.07177033492822966,0.3875598086124402,0.3937056591321564
8,0.1339712918660287,0.47368421052631576,0.4733389236916095
9,0.07177033492822966,0.4354066985645933,0.4328578455484506
