week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2020-09-21,0,,,,,,False,normal,0.0
2020-11-30,0,,,,,,False,normal,0.0
2020-12-07,2,,,,,,False,normal,0.0
2020-12-14,6,,,,,,False,normal,0.0
2020-12-21,2,,,,,,False,normal,0.0
2020-12-28,15,,,,,,False,normal,0.0
2021-01-04,21,,,,,,False,normal,0.0
2021-01-11,11,,,,,,False,normal,0.0
2021-01-18,17,1.5,12.0,10.5,-14.25,27.75,False,normal,0.0
2021-01-25,21,2.0,15.0,13.0,-17.5,34.5,False,normal,0.0
2021-02-01,10,2.0,16.5,14.5,-19.75,38.25,False,normal,0.0
2021-02-08,10,2.0,16.0,14.0,-19.0,37.0,False,normal,0.0
2021-02-15,12,2.0,15.5,13.5,-18.25,35.75,False,normal,0.0
2021-02-22,5,2.0,15.0,13.0,-17.5,34.5,False,normal,0.0
2021-03-01,12,2.75,14.25,11.5,-14.5,31.5,False,normal,0.0
2021-03-08,4,3.5,13.5,10.0,-11.5,28.5,False,normal,0.0
2021-03-15,1,3.5,12.75,9.25,-10.375,26.625,False,normal,0.0
2021-03-22,13,2.0,12.0,10.0,-13.0,27.0,False,normal,0.0
2021-03-29,1,2.5,12.75,10.25,-12.875,28.125,False,normal,0.0
2021-04-05,2,2.0,12.5,10.5,-13.75,28.25,False,normal,0.0
2021-04-19,0,2.0,12.25,10.25,-13.375,27.625,False,normal,0.0
2021-04-26,0,2.0,12.0,10.0,-13.0,27.0,False,normal,0.0
2021-05-03,0,1.25,12.0,10.75,-14.875,28.125,False,normal,0.0
2021-05-10,1,1.0,12.0,11.0,-15.5,28.5,False,normal,0.0
2021-05-17,0,1.0,12.0,11.0,-15.5,28.5,False,normal,0.0
2021-05-24,2,1.0,12.0,11.0,-15.5,28.5,False,normal,0.0
2021-05-31,0,1.0,11.75,10.75,-15.125,27.875,False,normal,0.0
2021-06-07,6,0.5,11.5,11.0,-16.0,28.0,False,normal,0.0
2021-06-14,0,0.75,11.25,10.5,-15.0,27.0,False,normal,0.0
2021-06-21,2,0.0,11.0,11.0,-16.5,27.5,False,normal,0.0
2021-06-28,1,0.25,10.75,10.5,-15.5,26.5,False,normal,0.0
2021-07-05,2,1.0,10.75,9.75,-13.625,25.375,False,normal,0.0
2021-07-12,0,1.0,10.75,9.75,-13.625,25.375,False,normal,0.0
2021-07-19,2,1.0,10.75,9.75,-13.625,25.375,False,normal,0.0
2021-07-26,1,1.0,10.75,9.75,-13.625,25.375,False,normal,0.0
2021-08-02,2,1.0,10.75,9.75,-13.625,25.375,False,normal,0.0
2021-08-09,5,1.0,10.0,9.0,-12.5,23.5,False,normal,0.0
2021-08-16,3,1.0,9.0,8.0,-11.0,21.0,False,normal,0.0
2021-08-23,1,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2021-08-30,0,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2021-09-06,3,0.25,4.75,4.5,-6.5,11.5,False,normal,0.0
