week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score,event_count,title_count,titles_in_week,event_descriptions,event_ids,object_ids,titles_text
2020-09-14,10,2.75,4.25,1.5,0.5,6.5,True,high,2.3333333333333335,10,8,"['Remove pre-release', 'MaxBidMinAsk', 'Develop', 'Commission is not applied when executing a trade in the same dir as the position', 'Further refactor indicator data handling API', 'Order Fill event has no knowledge about the execution state', 'Registering an indicator for quotes results in an error', 'Commission open/increase position changes']","['closed (#35)', 'closed (#28)', 'closed (#26)', 'closed (#29)', 'closed (#27)', 'closed (#33)', 'closed (#31)', 'closed (#30)', 'closed (#34)', 'closed (#32)']","[375253, 375290, 375447, 375479, 375528, 375631, 375668, 375712, 375744, 375792]","[375233, 375262, 375299, 375456, 375500, 375618, 375640, 375680, 375724, 375756]","Remove pre-release
MaxBidMinAsk
Develop
Commission is not applied when executing a trade in the same dir as the position
Further refactor indicator data handling API
Order Fill event has no knowledge about the execution state
Registering an indicator for quotes results in an error
Commission open/increase position changes"
2020-09-21,21,3.0,5.0,2.0,0.0,8.0,True,high,6.5,21,14,"['Test position.unrealized_pnl', 'Develop', 'Rework the commission into maker and taker commission', 'Handcraft towards Black stylistic conventions', 'Order object should have 2 ids, a client id and an exchange/broker id', 'Fix applying the commission to position & tests', 'BidAskMinMax', 'Have commission as part of the OrderFillEvent and Position', 'Extend commission model to maker and taker', 'Order Fill event has no knowledge about the execution state', 'Test position change', 'Position direction unchanged after executing an order of size greater than position size in the opposite direction', ""Add 'commission' to OrderPartiallyFilled and OrderFilled"", 'WIP: Calculate realized_pnl considering the commission']","['closed (#54)', 'closed (#53)', 'closed (#48)', 'closed (#47)', 'closed (#43)', 'closed (#37)', 'closed (#52)', 'closed (#45)', 'closed (#41)', 'closed (#36)', 'closed (#50)', 'closed (#40)', 'closed (#31)', 'closed (#58)', 'closed (#51)', 'closed (#59)', 'closed (#46)', 'closed (#61)', 'closed (#60)', 'closed (#38)', 'closed (#42)']","[373596, 373620, 373687, 373778, 374008, 374055, 374126, 374253, 374309, 374434, 374457, 374568, 374591, 374661, 374695, 374754, 374843, 375062, 375144, 375227, 375606]","[373536, 373599, 373661, 373694, 373984, 374011, 374058, 374129, 374256, 374351, 374437, 374460, 374571, 374613, 374675, 374701, 374767, 375039, 375068, 375150, 375500]","Test position.unrealized_pnl
Develop
Rework the commission into maker and taker commission
Handcraft towards Black stylistic conventions
Order object should have 2 ids, a client id and an exchange/broker id
Fix applying the commission to position & tests
BidAskMinMax
Have commission as part of the OrderFillEvent and Position
Extend commission model to maker and taker
Order Fill event has no knowledge about the execution state
Test position change
Position direction unchanged after executing an order of size greater than position size in the opposite direction
Add 'commission' to OrderPartiallyFilled and OrderFilled
WIP: Calculate realized_pnl considering the commission"
2020-10-05,11,3.0,5.0,2.0,0.0,8.0,True,high,1.5,11,6,"['ExecutionEngine now handles position flipping', 'Develop', 'Rework the PNL mechanics', 'Fix incorrect type error in performance analyzer.', 'Position in base currency', '[Proposal] AssetClass + AssetType']","['closed (#69)', 'closed (#66)', 'closed (#74)', 'closed (#72)', 'closed (#75)', 'closed (#55)', 'closed (#76)', 'closed (#70)', 'closed (#73)', 'closed (#68)', 'closed (#71)']","[372312, 372352, 372464, 372491, 372538, 372633, 372696, 372722, 372761, 373265, 373981]","[372180, 372315, 372355, 372467, 372515, 372541, 372636, 372702, 372733, 373173, 373932]","ExecutionEngine now handles position flipping
Develop
Rework the PNL mechanics
Fix incorrect type error in performance analyzer.
Position in base currency
[Proposal] AssetClass + AssetType"
2021-07-05,21,4.0,9.5,5.5,-4.25,17.75,True,high,0.5909090909090909,21,21,"['Convert analysis tests to pytest', 'Network sub-package', 'Risk metrics calculation', 'Randomize order of high/low ticks generated from bar data', 'Convert backtest and cache tests to pytest', 'Convert unittest tests to pytest (tests/unit_tests/data)', 'Convert tests to pytest', 'Performance benchmarking with pytest-benchmark', 'Convert unittest tests to pytest (tests/unit_tests/indicators)', 'Release 1.124.0', 'Backtest bar data with PriceType.LAST', 'Oanda integration', 'Convert unittest tests to pytest (misc files)', 'Convert unittest tests to pytest (tests/unit_tests/adapters)', 'Update VenueStatus and ClosingPrice to be data not event', 'Fix missing benchmark cases', 'Backtest realism', 'RiskEngine: Iteration 2', 'Convert unittest tests to pytest (tests/unit_tests/cache)', 'Convert unittest tests to pytest (tests/unit_tests/trading)', 'Convert unittest tests to pytest (tests/unit_tests/execution)']","['closed (#372)', 'closed (#231)', 'closed (#248)', 'closed (#119)', 'closed (#380)', 'closed (#373)', 'closed (#325)', 'closed (#272)', 'closed (#371)', 'closed (#366)', 'closed (#269)', 'closed (#230)', 'closed (#375)', 'closed (#377)', 'closed (#365)', 'closed (#369)', 'closed (#286)', 'closed (#255)', 'closed (#376)', 'closed (#368)', 'closed (#374)']","[340689, 340724, 340759, 340826, 340853, 340880, 340915, 340958, 341078, 341159, 342315, 342366, 347934, 351341, 352463, 353156, 355823, 356879, 358592, 358630, 369112]","[340608, 340692, 340727, 340762, 340829, 340856, 340883, 340918, 341054, 341084, 341206, 342318, 347903, 351306, 352383, 353090, 355790, 356839, 358567, 358595, 369026]","Convert analysis tests to pytest
Network sub-package
Risk metrics calculation
Randomize order of high/low ticks generated from bar data
Convert backtest and cache tests to pytest
Convert unittest tests to pytest (tests/unit_tests/data)
Convert tests to pytest
Performance benchmarking with pytest-benchmark
Convert unittest tests to pytest (tests/unit_tests/indicators)
Release 1.124.0
Backtest bar data with PriceType.LAST
Oanda integration
Convert unittest tests to pytest (misc files)
Convert unittest tests to pytest (tests/unit_tests/adapters)
Update VenueStatus and ClosingPrice to be data not event
Fix missing benchmark cases
Backtest realism
RiskEngine: Iteration 2
Convert unittest tests to pytest (tests/unit_tests/cache)
Convert unittest tests to pytest (tests/unit_tests/trading)
Convert unittest tests to pytest (tests/unit_tests/execution)"
2021-11-22,0,5.0,8.0,3.0,0.5,12.5,True,low,0.16666666666666666,0,0,[],[],,,
2022-11-14,20,3.25,8.75,5.5,-5.0,17.0,True,high,0.5454545454545454,20,20,"['InteractiveBrokers Client connectivity', 'InteractiveBrokers parsing instruments', ""Unify the InstrumentId as per 'localSymbol@exchange.IB'"", 'IB connect timeout', 'Allow passing instance_id to nodes via kernel', 'adding_data_to_catalog.ipynb uses FTX broken endpoint', ""ib_instruments.ipynb raises ModuleNotFoundError: No module named 'lxml'"", ""ImportableClientConfig factory_path doesn't work"", 'Correct loading factory when using dict config with TradingNode', 'Fix bug in list_partitions', 'Fixes to IB Adapter', 'FTX Integration', 'Bot start on FTX futures exchange -> problem generating trade report', 'Release 1.159.0', 'Doc Error - Bar', 'Return single latest record for Bar and Instrument', 'BacktestRunConfig to use NautilusConfig, fix bug in parse_obj', 'Remove unused notebook', 'Parquet Catalog #839', 'catalog.list_partitions path error']","['closed (#812)', 'closed (#813)', 'closed (#864)', 'closed (#862)', 'closed (#865)', 'closed (#855)', 'closed (#854)', 'closed (#815)', 'closed (#860)', 'closed (#858)', 'closed (#857)', 'closed (#517)', 'closed (#799)', 'closed (#867)', 'closed (#856)', 'closed (#853)', 'closed (#869)', 'closed (#859)', 'closed (#852)', 'closed (#829)']","[290700, 291408, 291496, 291713, 291739, 291765, 291800, 291829, 291901, 291932, 291956, 291975, 292019, 292045, 293805, 295276, 295309, 295342, 296756, 324922]","[290664, 290759, 291476, 291502, 291719, 291745, 291777, 291806, 291838, 291916, 291935, 291959, 291984, 292025, 293784, 295251, 295285, 295318, 296732, 324875]","InteractiveBrokers Client connectivity
InteractiveBrokers parsing instruments
Unify the InstrumentId as per 'localSymbol@exchange.IB'
IB connect timeout
Allow passing instance_id to nodes via kernel
adding_data_to_catalog.ipynb uses FTX broken endpoint
ib_instruments.ipynb raises ModuleNotFoundError: No module named 'lxml'
ImportableClientConfig factory_path doesn't work
Correct loading factory when using dict config with TradingNode
Fix bug in list_partitions
Fixes to IB Adapter
FTX Integration
Bot start on FTX futures exchange -> problem generating trade report
Release 1.159.0
Doc Error - Bar
Return single latest record for Bar and Instrument
BacktestRunConfig to use NautilusConfig, fix bug in parse_obj
Remove unused notebook
Parquet Catalog #839
catalog.list_partitions path error"
2022-12-05,18,3.25,8.0,4.75,-3.875,15.125,True,high,0.6052631578947368,18,18,"['Fix bug in BettingInstrument runner name', 'Skip windows tests', 'Fix main', 'Reuseability of IB Contract/Dict to InstrumentId', 'Ladder steps are not sorted (test on binance spot)', 'IB contract account cleanup', 'Improve for request_bars function', 'Breakfix for Instrument filters after PR #890', 'InstrumentProviderConfig broken in develop branch', 'Release 1.162.0', 'AccountId function to return id without issuer string', ""Using account_id from config to filter IB's balances and direct orders to specific account"", 'Release 1.161.0', 'Remove pydantic', 'Documentation Table of Contents', 'IB balances filter and placeOrder for intended account_id', 'Bump certifi from 2022.9.24 to 2022.12.7', 'Betfair msgspec']","['closed (#895)', 'closed (#905)', 'closed (#900)', 'closed (#898)', 'closed (#894)', 'closed (#899)', 'closed (#693)', 'closed (#902)', 'closed (#901)', 'closed (#908)', 'closed (#891)', 'closed (#878)', 'closed (#907)', 'closed (#890)', 'closed (#887)', 'closed (#892)', 'closed (#906)', 'closed (#874)']","[286710, 287458, 287485, 287515, 287760, 287792, 287821, 287876, 287918, 288057, 288097, 288188, 288217, 288371, 288679, 289216, 290475, 304762]","[286366, 286713, 287461, 287495, 287733, 287769, 287801, 287827, 287882, 288037, 288063, 288125, 288194, 288223, 288654, 289168, 289829, 304686]","Fix bug in BettingInstrument runner name
Skip windows tests
Fix main
Reuseability of IB Contract/Dict to InstrumentId
Ladder steps are not sorted (test on binance spot)
IB contract account cleanup
Improve for request_bars function
Breakfix for Instrument filters after PR #890
InstrumentProviderConfig broken in develop branch
Release 1.162.0
AccountId function to return id without issuer string
Using account_id from config to filter IB's balances and direct orders to specific account
Release 1.161.0
Remove pydantic
Documentation Table of Contents
IB balances filter and placeOrder for intended account_id
Bump certifi from 2022.9.24 to 2022.12.7
Betfair msgspec"
2023-10-16,19,3.25,8.0,4.75,-3.875,15.125,True,high,0.8157894736842105,19,18,"['Bump urllib3 from 2.0.4 to 2.0.7', 'Add CryptoFuture instrument for Rust', 'Passing Headers to WebSocketClient.connect()', 'Clock condition check', 'Peak memory usage with DataBackendSession.to_query_result()', 'feat: fills report', 'fix: added partially filled orders to the orders and fills report', 'BinanceTimeInForce missing GTD', 'Release 1.179.0', 'bugfix: adds partial fills to orders and fills report', 'data catalog: set the min_rows_per_goup when writing a parquet datase…', 'Modified NautilusConfig.validate to validate the data_types', 'Partial fills missing from orders and fills report', 'Extra parameter for headers in WebsocketClient.connect()', 'Improve order fills report', 'Headers to WebSocketClient.connect()', 'Fills report', 'report all fills in orders and fills report']","['closed (#1277)', 'closed (#1276)', 'closed (#1292)', 'closed (#1285)', 'closed (#1253)', 'closed (#1289)', 'closed (#1283)', 'closed (#1226)', 'closed (#1294)', 'closed (#1288)', 'closed (#1281)', 'closed (#1279)', 'closed (#1286)', 'closed (#1282)', 'closed (#1291)', 'closed (#1290)', 'closed (#1293)', 'closed (#1287)', 'closed (#1284)']","[245451, 245473, 245535, 245617, 245688, 245762, 245802, 245833, 245870, 245901, 245945, 245969, 246007, 246121, 246199, 246236, 246298, 247567, 248922]","[243435, 245454, 245526, 245541, 245620, 245697, 245771, 245805, 245842, 245885, 245914, 245948, 245972, 246013, 246175, 246205, 246246, 247530, 248871]","Bump urllib3 from 2.0.4 to 2.0.7
Add CryptoFuture instrument for Rust
Passing Headers to WebSocketClient.connect()
Clock condition check
Peak memory usage with DataBackendSession.to_query_result()
feat: fills report
fix: added partially filled orders to the orders and fills report
BinanceTimeInForce missing GTD
Release 1.179.0
bugfix: adds partial fills to orders and fills report
data catalog: set the min_rows_per_goup when writing a parquet datase…
Modified NautilusConfig.validate to validate the data_types
Partial fills missing from orders and fills report
Extra parameter for headers in WebsocketClient.connect()
Improve order fills report
Headers to WebSocketClient.connect()
Fills report
report all fills in orders and fills report"
2023-10-23,19,3.25,8.75,5.5,-5.0,17.0,True,high,0.36363636363636365,19,18,"['WebSocketClient.connect(): Ability to pass connection headers', 'Add WeightedMovingAverage indicator in rust', 'Include async-timeout package in Interactive Brokers extra dependencies', 'backtest: using multiple BacktestDataConfig with start and end date set does not run', 'Catalog filename', 'Drop support for Python 3.9', 'Add imports to Python snippets in documentation', 'Add CurrencyPair in rust with pyo3', 'Allow registering Strategy in runtime', 'Adds fills report to Trader', 'IB bug fixes', 'Unable to fetch historical crypto bars from Interactive Brokers', 'Headers to WebSocketClient.connect()', 'data config: validate that the end time is set after the start time', 'WIP Create historic ticks downloader for Interactive Brokers', 'refactor: use `is` to compare type of objects', 'Pass headers in websocket connection', 'All Backtests in BacktestsNode fail if one Backtest Completely Fails']","['closed (#1236)', 'closed (#1305)', 'closed (#1295)', 'closed (#1304)', 'closed (#1303)', 'closed (#1222)', 'closed (#1297)', 'closed (#1313)', 'closed (#1095)', 'closed (#1301)', 'closed (#1302)', 'closed (#1296)', 'closed (#1293)', 'closed (#1311)', 'closed (#1308)', 'closed (#1298)', 'closed (#1312)', 'closed (#1299)', 'closed (#1280)']","[242576, 242607, 242657, 242808, 242919, 242982, 243032, 243081, 243149, 243245, 243332, 243357, 243390, 243426, 245523, 246160, 248271, 249101, 267136]","[242537, 242582, 242613, 242763, 242878, 242933, 243004, 243041, 243096, 243158, 243257, 243338, 243366, 243399, 245454, 246134, 248233, 249076, 267111]","WebSocketClient.connect(): Ability to pass connection headers
Add WeightedMovingAverage indicator in rust
Include async-timeout package in Interactive Brokers extra dependencies
backtest: using multiple BacktestDataConfig with start and end date set does not run
Catalog filename
Drop support for Python 3.9
Add imports to Python snippets in documentation
Add CurrencyPair in rust with pyo3
Allow registering Strategy in runtime
Adds fills report to Trader
IB bug fixes
Unable to fetch historical crypto bars from Interactive Brokers
Headers to WebSocketClient.connect()
data config: validate that the end time is set after the start time
WIP Create historic ticks downloader for Interactive Brokers
refactor: use `is` to compare type of objects
Pass headers in websocket connection
All Backtests in BacktestsNode fail if one Backtest Completely Fails"
2024-05-20,23,10.0,12.75,2.75,5.875,16.875,True,high,2.227272727272727,23,23,"['Refactor mocks in Interactive Brokers integration tests', 'Adapters development guide', 'Add DataEngine deltas buffering until F_LAST flag', 'Multi-currency support for SANDBOX mode', 'Improve Bybit handling for top-of-book quotes and deltas', 'Port VolumeWeightedAveragePrice indicator', 'Fix order event object conversion', 'Fix parsing Bybit deltas', 'Release 1.193.0', 'Incorrect import for OrderBookImbalance example strategy', 'Process `OrderBookDeltas` for backtest streaming', 'Set F_LAST flag for Bybit deltas', 'Fix IB tick level historical data downloading', 'Streaming Backtest with multiple datasets time synchronization issue', 'Port VerticalHorizontalFilter indicator', 'Cannot pull out account information in SANDBOX mode', 'Add PSQL cache database update orders', 'Improve error message when no tick scheme for instrument', 'Improve sandbox by adding account settings to the SandboxExecutionCli…', 'Order by ts_init to read row groups in order', 'Add support for MOC and LOC order types in IB', 'Low level backtest in documentation needs some adjustments so it works straight away', 'Add sandbox example for Bybit']","['closed (#1669)', 'closed (#1492)', 'closed (#1673)', 'closed (#1671)', 'closed (#1672)', 'closed (#1665)', 'closed (#1649)', 'closed (#1668)', 'closed (#1664)', 'closed (#1651)', 'closed (#1578)', 'closed (#1670)', 'closed (#1653)', 'closed (#1515)', 'closed (#1666)', 'closed (#1657)', 'closed (#1650)', 'closed (#1667)', 'closed (#1658)', 'closed (#1656)', 'closed (#1663)', 'closed (#1655)', 'closed (#1659)']","[208975, 209018, 209043, 209130, 209180, 209244, 209302, 209343, 209388, 209630, 209656, 209692, 209757, 209832, 209861, 209883, 209976, 210044, 210124, 210180, 217290, 222478, 226073]","[208935, 208981, 209027, 209056, 209136, 209186, 209250, 209312, 209349, 209394, 209633, 209662, 209698, 209801, 209835, 209867, 209913, 210015, 210059, 210130, 217241, 222364, 226052]","Refactor mocks in Interactive Brokers integration tests
Adapters development guide
Add DataEngine deltas buffering until F_LAST flag
Multi-currency support for SANDBOX mode
Improve Bybit handling for top-of-book quotes and deltas
Port VolumeWeightedAveragePrice indicator
Fix order event object conversion
Fix parsing Bybit deltas
Release 1.193.0
Incorrect import for OrderBookImbalance example strategy
Process `OrderBookDeltas` for backtest streaming
Set F_LAST flag for Bybit deltas
Fix IB tick level historical data downloading
Streaming Backtest with multiple datasets time synchronization issue
Port VerticalHorizontalFilter indicator
Cannot pull out account information in SANDBOX mode
Add PSQL cache database update orders
Improve error message when no tick scheme for instrument
Improve sandbox by adding account settings to the SandboxExecutionCli…
Order by ts_init to read row groups in order
Add support for MOC and LOC order types in IB
Low level backtest in documentation needs some adjustments so it works straight away
Add sandbox example for Bybit"
