issue_id,category,commit_count
154506,other,1
154535,other,1
154564,other,1
154584,other,1
154610,other,1
154646,other,1
154704,other,1
154736,other,4
154858,other,1
154887,other,1
154944,other,1
154991,other,1
155070,other,1
155125,other,1
155151,other,1
155190,other,1
155237,other,1
155279,other,2
155322,other,3
155474,other,1
155503,other,2
155561,other,2
155651,other,1
155697,other,1
155749,other,1
155812,other,1
155878,other,2
155915,other,1
155949,other,1
156018,other,1
156051,other,1
156083,other,1
156116,other,4
156393,other,1
156422,other,1
156857,other,8
162626,other,1
162725,other,16
162887,other,1
162930,other,1
162953,other,1
163040,other,2
163071,other,1
163274,other,1
163310,other,17
163482,other,1
163505,other,1
163531,other,1
163784,other,1
163831,other,1
163876,other,3
163956,other,3
164011,other,4
164078,tech_debt,1
164121,other,2
164172,other,1
164237,other,1
164263,other,1
164371,other,1
164400,other,1
164487,other,5
165202,other,1
165228,other,3
165299,other,187
166810,other,8
166956,docs,2
167006,other,1
167045,other,3
167090,docs,2
167203,other,1
167316,other,1
167359,other,4
167419,other,1
167465,other,1
167581,other,2
167634,other,2
167711,other,1
167737,other,3
167783,other,3
167840,other,1
167866,other,3
167915,other,2
168139,bug_fixes,2
168139,feature_work,2
168139,other,1
168598,other,4
201853,other,175
203391,other,1
203440,other,2
203498,other,1
203737,other,1
203840,other,7
203914,other,1
204039,other,3
204081,other,2
204127,other,1
204173,other,1
204216,other,2
204251,other,1
204352,other,1
204378,other,1
204424,other,1
204466,other,1
204509,other,2
204553,other,8
204663,other,1
204689,other,5
204771,other,4
204821,other,1
204870,other,1
204896,other,3
204971,other,1
204997,other,1
205023,other,1
205121,other,3
205163,other,1
205189,other,3
205294,other,3
205336,other,1
205362,other,1
205467,other,2
208152,other,6
208935,other,2
208981,other,2
209056,other,4
209136,other,4
209186,other,2
209312,other,2
209349,other,3
209394,other,28
209633,other,1
209662,other,1
209698,other,3
209835,other,1
209913,other,2
210059,other,3
210130,other,1
242537,other,1
242582,tech_debt,1
242613,other,2
242763,other,4
242878,other,2
243004,other,2
243041,other,3
243096,feature_work,1
243096,other,4
243158,other,6
243257,other,7
243435,other,250
245454,other,3
245541,other,6
245620,bug_fixes,1
245620,other,4
245697,bug_fixes,1
245697,feature_work,1
245697,other,3
245771,other,1
245914,bug_fixes,2
245948,bug_fixes,1
246013,other,3
246175,other,1
246205,other,1
246246,other,3
286366,other,41
286713,other,90
287461,other,1
287495,other,1
287733,other,1
287801,other,1
287827,other,3
287882,other,1
288037,other,1
288125,other,4
288194,other,1
288223,other,17
289829,other,78
290664,other,3
290759,other,78
291476,other,1
291502,other,23
291719,other,1
291745,other,1
291777,other,1
291806,other,1
291838,other,6
291984,other,1
292025,other,1
340608,other,5
340692,other,2
340727,other,2
340762,other,6
340829,other,1
340856,other,1
340883,other,2
340918,other,2
341054,other,1
341084,other,4
341206,other,134
342318,other,4
35279,other,13
35399,other,66
36054,other,57
36536,other,3
36740,other,1
36776,other,2
36899,other,2
36941,bug_fixes,2
36941,docs,3
36941,feature_work,6
36941,other,7
36941,tech_debt,3
37211,other,1
372180,other,15
372315,other,2
372355,other,12
37247,other,1
372515,other,1
372541,other,10
372636,other,6
372702,other,1
37273,other,1
372733,other,2
373173,other,10
37345,other,2
373536,other,6
373661,other,1
373694,other,9
373984,other,1
374011,other,4
374058,other,7
374129,other,14
374256,other,4
37443,other,1
374437,other,1
374460,other,12
374571,other,1
374675,other,1
374701,other,2
374767,other,8
37488,other,1
375039,other,1
375068,other,8
375233,other,1
375262,other,2
37527,other,4
375299,other,17
375456,other,1
375680,other,1
375724,other,1
375756,other,3
37857,other,1
37897,other,1
37923,other,1
38017,other,1
38109,other,1
38163,other,1
38279,bug_fixes,1
38321,other,2
38375,other,6
38478,other,1
38520,other,1
38550,other,1
38872,feature_work,1
38938,feature_work,1
39275,other,1
