week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2020-09-14,high,2.3333333333333335,26,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,0.0,0.0,0.0,0.0,1.0,other,other,[]
2020-09-21,high,6.5,80,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,66,0.0,0.0,0.0,0.0,1.0,other,other,[]
2020-10-05,high,1.5,59,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,54,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-07-05,high,0.5909090909090909,164,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,0,0,0,0,145,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-11-22,low,0.16666666666666666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,,,[]
2022-11-14,high,0.5454545454545454,117,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,105,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-12-05,high,0.6052631578947368,240,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,158,0.0,0.0,0.0,0.0,1.0,other,other,[]
2023-10-16,high,0.8157894736842105,281,225,0,1,3,0,0,0,0,0,0,0,0,0,0,0,221,1,3,0,0,221,0.0044444444444444444,0.013333333333333334,0.0,0.0,0.9822222222222222,other,other,[]
2023-10-23,high,0.36363636363636365,36,29,0,1,0,0,0,0,1,0,0,0,0,0,0,0,27,1,0,1,0,27,0.034482758620689655,0.0,0.034482758620689655,0.0,0.9310344827586207,other,other,[]
2024-05-20,high,2.227272727272727,59,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,0,0,47,0.0,0.0,0.0,0.0,1.0,other,other,[]
2024-06-24,high,2.0555555555555554,53,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,0,0,35,0.0,0.0,0.0,0.0,1.0,other,other,[]
2024-07-01,high,0.05555555555555555,197,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158,0,0,0,0,158,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-01-06,high,0.16666666666666666,241,204,0,2,2,0,4,0,0,0,0,0,0,0,0,0,196,2,2,0,4,196,0.00980392156862745,0.00980392156862745,0.0,0.0196078431372549,0.9607843137254902,other,other,[]
2025-01-20,high,0.16666666666666666,69,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,37,0,0,1,0,37,0.0,0.0,0.02631578947368421,0.0,0.9736842105263158,other,other,[]
2025-02-24,high,1.1285714285714286,55,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-12-01,high,1.064102564102564,103,97,0,1,1,0,0,0,0,0,0,0,0,0,0,0,95,1,1,0,0,95,0.010309278350515464,0.010309278350515464,0.0,0.0,0.979381443298969,other,other,['dydx']
2026-02-02,high,1.1578947368421053,91,88,0,0,3,0,0,0,0,0,0,0,0,0,0,0,85,0,3,0,0,85,0.0,0.03409090909090909,0.0,0.0,0.9659090909090909,other,other,['tardis']
2026-05-04,high,3.6176470588235294,208,130,0,8,4,2,3,1,0,0,0,0,0,0,0,0,112,8,4,3,3,112,0.06153846153846154,0.03076923076923077,0.023076923076923078,0.023076923076923078,0.8615384615384616,other,other,"['hyperliquid', 'deribit', 'ibkr']"
2026-07-20,high,1.4090909090909092,66,66,0,0,7,0,0,1,0,0,0,0,0,0,0,0,58,0,7,1,0,58,0.0,0.10606060606060606,0.015151515151515152,0.0,0.8787878787878788,other,other,"['polymarket', 'live']"
