log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,168,0.6825925306810027,0.5426196399292005,0.20881595881595882,0.2737711326501823,198.0,51.0,0.2533333333333333,ok,
vitalizing,alpha_classic,162,0.6367365978542749,0.5972271413779238,0.1424925020738944,0.23008822446371294,65.0,4.0,1.0,ok,
whole,alpha_classic,963,0.7240262069848276,0.4937093768937609,0.13220223183785018,0.2085581433355932,95.0,13.0,1.0,ok,
random_case_control,heuristics_dep_0.6,168,0.45454763656871444,0.8448708842580152,0.43140668523676884,0.5665510191295576,602.0,43.0,0.452054794520548,ok,
vitalizing,heuristics_dep_0.6,162,0.4589504277869244,0.8279552322776147,0.41488519398258117,0.5527763015981526,667.0,48.0,0.46071428571428574,ok,
whole,heuristics_dep_0.6,963,0.5816656145946171,0.8370805197551543,0.39346710379512173,0.5353123137178918,950.0,79.0,0.41706161137440756,ok,
random_case_control,heuristics_dep_0.7,168,0.45182041077199675,0.8453326236630863,0.4323098394975575,0.5664099259673219,602.0,43.0,0.452054794520548,ok,
vitalizing,heuristics_dep_0.7,162,0.4586208485931188,0.8321324934301213,0.41488519398258117,0.5537041766781409,667.0,48.0,0.46071428571428574,ok,
whole,heuristics_dep_0.7,963,0.5717688611666213,0.8375546954823476,0.39344684356870685,0.5353904780780491,950.0,79.0,0.41706161137440756,ok,
random_case_control,heuristics_dep_0.8,168,0.4585961514141913,0.844928316452108,0.43351994401679494,0.5664469100567702,602.0,43.0,0.452054794520548,ok,
vitalizing,heuristics_dep_0.8,162,0.45644358699618537,0.8267270641701395,0.4141201264488936,0.5518234943692983,667.0,48.0,0.46071428571428574,ok,
whole,heuristics_dep_0.8,963,0.5823861145623859,0.8378489187207228,0.3928650982676788,0.5349115931776817,950.0,79.0,0.41706161137440756,ok,
random_case_control,heuristics_dep_0.9,168,0.4586294447560867,0.8450221661631515,0.4324607329842932,0.5668139822704203,602.0,43.0,0.452054794520548,ok,
vitalizing,heuristics_dep_0.9,162,0.4596855814720421,0.8268846946924716,0.41488519398258117,0.5525375032644011,667.0,48.0,0.46071428571428574,ok,
whole,heuristics_dep_0.9,963,0.5797600424151034,0.8368899680547703,0.3930825159475959,0.534917355457912,950.0,79.0,0.41706161137440756,ok,
random_case_control,inductive_IM,168,0.7515014411833072,0.9974547064237103,0.14284197393220244,0.2658508630794925,296.0,8.0,0.5887850467289719,ok,
vitalizing,inductive_IM,162,0.7335782064743548,0.9999467518636848,0.12251266377412529,0.21828163850983098,288.0,9.0,0.580952380952381,ok,
whole,inductive_IM,963,0.7953521442970838,0.9999900766523475,0.12058673100874162,0.2152204713863002,389.0,13.0,0.5640138408304498,ok,
random_case_control,inductive_IMf_noise_0.3,168,0.7159761519151261,0.9562638007728876,0.49533898305084745,0.5008978207816889,260.0,6.0,0.6404494382022472,ok,
vitalizing,inductive_IMf_noise_0.3,162,0.7729972063407581,0.9631252616025456,0.505559968228753,0.6630659405651168,269.0,3.0,0.6574585635359116,ok,
whole,inductive_IMf_noise_0.3,963,0.8370198859361722,0.9713104818088449,0.2276015726030528,0.36878733904125166,348.0,7.0,0.6097560975609756,ok,
random_case_control,inductive_IMf_noise_0.4,168,0.6660881312104328,0.9422771931782092,0.2166058785668311,0.37371916907487723,178.0,3.0,0.59375,ok,
vitalizing,inductive_IMf_noise_0.4,162,0.7067172168261067,0.962884122981692,0.28111963396581885,0.43518458958405376,321.0,4.0,0.6438356164383561,ok,
whole,inductive_IMf_noise_0.4,963,0.8258614160673927,0.953654201394535,0.17740013210419003,0.2991516433799987,250.0,4.0,0.5824175824175825,ok,
random_case_control,inductive_IMf_noise_0.5,168,0.6660881312104328,0.9422771931782092,0.2166058785668311,0.39749172041282127,178.0,3.0,0.59375,ok,
vitalizing,inductive_IMf_noise_0.5,162,0.6992540662408349,0.9390616891727164,0.18564443575200473,0.3100037842053394,170.0,2.0,0.5806451612903225,ok,
whole,inductive_IMf_noise_0.5,963,0.7827047848083033,0.8567799238180924,0.41989455956652266,0.5635848972296803,306.0,5.0,0.6380952380952382,ok,
random_case_control,inductive_IMf_noise_0.6,168,0.6773023276876278,0.9448024729124678,0.21599418082238675,0.44676490307798267,182.0,3.0,0.6000000000000001,ok,
vitalizing,inductive_IMf_noise_0.6,162,0.7053193682793658,0.9390326009347781,0.18565896021593709,0.3100224493905585,167.0,2.0,0.5867768595041323,ok,
whole,inductive_IMf_noise_0.6,963,0.7063093637656317,0.8560805983610617,0.42174836120194026,0.5651000264370718,347.0,6.0,0.6510638297872341,ok,
