seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.07423580786026202,0.25327510917030566,0.2542484347871837
1,0.056768558951965066,0.2183406113537118,0.21138331729701723
2,0.048034934497816595,0.22707423580786026,0.25020510784702926
3,0.07423580786026202,0.2663755458515284,0.26725962440056794
4,0.034934497816593885,0.2052401746724891,0.1851860641731536
5,0.06986899563318777,0.2183406113537118,0.20845395221039204
6,0.06986899563318777,0.23580786026200873,0.22884115405002903
7,0.06550218340611354,0.23580786026200873,0.2450873362445415
8,0.07860262008733625,0.2314410480349345,0.22783148648307544
9,0.043668122270742356,0.22270742358078602,0.24427999895405694
