week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2020-07-13,0,,,,,,False,normal,0.0
2020-07-20,5,,,,,,False,normal,0.0
2020-07-27,3,,,,,,False,normal,0.0
2020-08-03,3,,,,,,False,normal,0.0
2020-08-10,5,,,,,,False,normal,0.0
2020-08-17,4,,,,,,False,normal,0.0
2020-08-24,3,,,,,,False,normal,0.0
2020-08-31,2,,,,,,False,normal,0.0
2020-09-14,10,2.75,4.25,1.5,0.5,6.5,True,high,2.3333333333333335
2020-09-21,21,3.0,5.0,2.0,0.0,8.0,True,high,6.5
2020-09-28,5,3.0,5.0,2.0,0.0,8.0,False,normal,0.0
2020-10-05,11,3.0,5.0,2.0,0.0,8.0,True,high,1.5
2020-10-12,11,3.0,6.25,3.25,-1.875,11.125,False,normal,0.0
2020-10-19,10,3.0,10.0,7.0,-7.5,20.5,False,normal,0.0
2020-10-26,10,3.0,10.0,7.0,-7.5,20.5,False,normal,0.0
2020-11-02,14,3.0,10.0,7.0,-7.5,20.5,False,normal,0.0
2020-11-09,8,3.0,10.25,7.25,-7.875,21.125,False,normal,0.0
2020-11-16,9,3.0,10.0,7.0,-7.5,20.5,False,normal,0.0
2020-11-23,5,3.25,10.0,6.75,-6.875,20.125,False,normal,0.0
2020-11-30,4,3.5,10.0,6.5,-6.25,19.75,False,normal,0.0
2020-12-07,4,3.75,10.0,6.25,-5.625,19.375,False,normal,0.0
2020-12-14,5,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2020-12-21,2,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2020-12-28,4,3.5,10.0,6.5,-6.25,19.75,False,normal,0.0
2021-01-04,15,3.75,10.0,6.25,-5.625,19.375,False,normal,0.0
2021-01-11,13,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-01-18,10,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-01-25,10,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-02-01,11,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-02-08,2,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-02-15,8,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-02-22,1,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-03-01,2,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-03-08,5,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-03-15,8,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-03-22,1,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-03-29,1,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-04-05,7,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-04-12,12,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-04-19,4,4.0,10.75,6.75,-6.125,20.875,False,normal,0.0
2021-04-26,12,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-05-03,10,4.0,10.75,6.75,-6.125,20.875,False,normal,0.0
2021-05-10,8,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-05-17,6,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-05-24,6,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-05-31,6,4.0,10.0,6.0,-5.0,19.0,False,normal,0.0
2021-06-07,3,4.0,9.75,5.75,-4.625,18.375,False,normal,0.0
2021-06-14,8,4.0,9.75,5.75,-4.625,18.375,False,normal,0.0
2021-06-21,6,4.0,9.5,5.5,-4.25,17.75,False,normal,0.0
2021-06-28,5,4.0,9.5,5.5,-4.25,17.75,False,normal,0.0
2021-07-05,21,4.0,9.5,5.5,-4.25,17.75,True,high,0.5909090909090909
