issue_id,category,commit_count
10226,other,5
10317,other,3
10398,other,1
10600,bug_fixes,2
10600,other,135
11733,bug_fixes,1
11733,other,2
11792,other,1
11833,tech_debt,1
11867,bug_fixes,7
11867,docs,6
11867,feature_work,21
11867,other,19
11867,tech_debt,5
121421,other,7
121534,other,7
121645,other,1
121899,other,7
122035,other,5
122160,other,3
122238,other,5
122663,other,4
126208,bug_fixes,12
126208,feature_work,3
126208,other,16
13069,bug_fixes,3
13069,other,5
13924,other,1
13977,other,1
164196,other,1
164234,bug_fixes,3
164234,other,16
167747,other,2
167968,other,12
168097,other,4
168191,other,13
168341,other,8
168465,other,7
168602,other,11
168740,other,15
168909,other,16
169108,other,19
169324,other,14
169519,other,6
169630,other,1
169684,bug_fixes,1
169684,other,249
171715,other,1
171785,other,4
171889,other,9
172041,other,4
172128,other,8
172229,other,3
172321,other,4
172396,other,3
172485,other,12
172623,other,1
172688,other,1
172756,bug_fixes,1
172756,other,249
17379,feature_work,1
17477,other,1
174843,bug_fixes,1
174843,other,249
17522,other,3
17581,other,3
17680,tech_debt,1
176869,other,14
177053,other,8
177136,other,8
177285,other,1
177333,other,3
177420,other,4
177497,other,1
177562,other,2
177638,other,20
177855,other,1
177932,bug_fixes,1
177932,other,249
180001,other,5
180125,other,6
180242,other,3
180335,other,8
180466,other,1
180528,other,3
180597,other,3
180678,other,2
180745,other,2
180923,other,31
181251,other,6
181348,other,4
181515,other,38
18235,other,1
18235,tech_debt,1
18282,other,1
183047,other,25
18335,bug_fixes,1
18335,other,4
183375,other,26
183658,other,45
18460,other,3
18547,bug_fixes,2
18547,feature_work,3
18547,other,133
18547,tech_debt,1
19697,other,6
19843,bug_fixes,1
20327,other,33
20836,other,5
21090,other,30
240227,bug_fixes,4
240227,other,119
241230,other,1
241628,other,4
241739,other,5
241820,bug_fixes,4
241820,other,124
243127,other,8
243268,other,5
243364,other,1
243415,other,4
243481,other,1
243540,bug_fixes,1
243579,bug_fixes,1
243622,other,3
243680,other,6
243815,other,4
243951,other,5
244147,other,9
244890,other,7
244988,other,36
245312,other,18
245511,other,1
245561,other,6
245691,other,4
245779,other,1
245829,other,7
245933,other,2
245980,other,6
246102,other,1
246149,other,6
246272,other,9
247036,other,1
247095,other,19
247315,other,1
247359,other,10
247495,other,6
247640,other,8
24765,other,1
247757,other,5
247844,other,3
247938,other,1
248019,other,2
248083,other,5
24818,other,1
249161,other,13
249560,other,36
250005,other,25
252796,other,113
255744,other,7
25923,other,2
26004,other,1
26093,feature_work,1
26125,bug_fixes,3
26125,other,2
262285,other,1
26229,bug_fixes,2
26229,other,132
262726,other,1
265131,other,5
265324,other,4
265537,other,1
265725,other,18
266125,other,5
266322,other,2
266501,other,1
266993,other,3
267511,bug_fixes,2
267511,other,37
267980,other,2
268190,other,1
268354,other,26
268753,other,1
268930,other,6
269001,other,1
269047,other,4
269249,other,25
269687,other,1
269876,other,1
270049,other,1
270250,other,24
270641,other,4
270840,other,1
271048,other,1
271209,other,1
271370,other,3
271552,other,6
271777,other,3
272005,other,1
272175,other,12
272470,other,5
272676,other,5
272891,other,5
27374,other,1
273753,other,14
27416,other,17
274591,other,48
275184,other,3
27611,other,51
276898,other,16
277102,other,30
280419,other,10
28065,other,2
28110,other,2
281237,other,32
287305,bug_fixes,1
287305,other,127
288591,other,2
28980,other,7
306264,other,31
307602,other,5
307921,other,2
308455,other,85
310762,other,14
32755,other,3
32824,other,11
32972,bug_fixes,2
32972,other,117
3323,other,1
3357,other,2
33963,docs,2
33963,other,29
34248,other,1
34298,other,4
34397,docs,1
34397,other,1
34445,other,1
34511,other,1
34943,other,26
3533,bug_fixes,2
3533,other,135
35727,other,1
363761,other,5
367780,other,8
373248,other,4
37384,other,2
37424,other,1
374524,other,6
387071,bug_fixes,6
387071,feature_work,1
387071,other,1
41201,other,33
4672,bug_fixes,2
4672,other,135
523056,other,19
523640,other,43
577780,other,1
578422,other,1
578650,other,3
578707,other,1
578748,other,3
578797,other,4
578854,other,6
578948,other,3
579009,other,6
579153,other,9
5793,bug_fixes,9
5793,feature_work,4
5793,other,62
5793,tech_debt,6
579450,other,5
579767,other,4
579862,other,4
579924,other,6
580010,other,3
580840,other,4
580912,other,4
580969,other,10
581114,other,1
581198,other,5
581322,other,1
581404,other,4
581586,other,2
581687,other,1
581785,other,1
581823,other,3
581882,other,4
581944,bug_fixes,2
581944,other,11
582239,other,1
582296,other,6
582428,other,1
582499,other,1
582532,other,7
582622,other,3
583077,other,1
583168,other,1
583224,other,12
583394,other,7
583501,other,19
583672,bug_fixes,3
583672,other,11
583833,bug_fixes,3
583833,other,9
583954,bug_fixes,3
583954,other,10
584119,other,14
584293,bug_fixes,2
584293,other,9
584559,other,22
584839,other,1
584918,other,3
585003,other,5
585089,other,2
585148,other,3
585222,other,2
585279,other,22
585527,other,10
585653,other,10
585786,other,12
585912,other,7
586019,bug_fixes,2
586019,feature_work,1
586019,other,9
586149,other,28
586467,bug_fixes,1
586467,feature_work,1
586467,other,8
586577,bug_fixes,1
586577,feature_work,1
586577,other,6
586671,bug_fixes,1
586671,feature_work,1
586671,other,6
586760,bug_fixes,2
586760,feature_work,1
586760,other,6
586857,bug_fixes,1
586857,docs,1
586857,other,6
586983,bug_fixes,2
586983,other,7
587943,other,8
588049,other,6
589093,other,2
589423,other,19
589423,tech_debt,1
589666,other,9
589796,other,6
589880,other,3
589940,other,1
590536,other,1
590575,other,4
590668,other,1
591090,other,1
591310,other,3
591720,feature_work,2
591720,other,6
591815,other,4
592115,other,8
592232,other,9
592373,other,5
592469,other,8
592704,other,2
592762,other,2
592809,other,8
593151,other,5
593221,other,5
593299,other,11
593430,other,2
593509,other,3
593509,tech_debt,1
593668,other,6
593765,other,4
594015,other,1
594637,other,5
594764,other,41
595257,other,5
595363,other,11
595582,other,10
595783,bug_fixes,1
595955,other,2
596070,other,3
596458,other,4
596747,other,5
596817,other,12
597018,other,3
597072,other,2
597245,other,10
597380,other,18
597690,other,12
597940,other,3
598010,other,9
598245,other,19
598436,other,2
598492,other,3
598571,other,4
598636,other,4
598703,other,8
598854,other,2
599110,other,4
599207,other,4
599297,other,1
599337,other,2
599516,other,13
599675,other,4
599742,other,11
599888,bug_fixes,4
599888,other,13
600052,feature_work,6
600052,other,17
600365,other,2
600416,other,8
600654,other,2
600707,other,5
600909,other,11
601040,other,6
601195,other,9
601331,other,3
601947,other,15
602423,other,7
602537,other,2
602621,other,5
602693,other,1
602736,other,2
602784,other,6
602892,other,1
602930,other,4
602995,other,6
603084,other,2
603210,other,3
603268,other,2
603328,other,3
603576,other,3
603870,other,5
604148,other,2
604209,bug_fixes,1
604209,other,5
604403,bug_fixes,1
604403,other,2
604465,other,69
605132,other,27
605544,other,20
605759,other,5
605836,other,12
606006,other,10
606186,other,4
606261,other,4
606329,other,89
607092,other,1
607176,other,2
607238,other,3
607459,other,6
607553,other,12
607687,other,3
607752,other,2
607808,other,1
607861,other,6
607959,other,145
609187,other,5
609264,other,6
609422,other,1
609460,other,2
609512,other,3
609572,other,5
609643,other,6
609727,other,4
609979,other,11
610127,other,3
610223,other,4
610296,other,13
610475,other,10
610608,other,3
610700,other,20
610903,other,3
611017,other,10
611151,other,1
611220,other,2
611324,other,5
611401,other,3
611455,other,5
611594,other,2
611677,other,8
611775,other,18
611949,other,19
612120,bug_fixes,1
612120,other,16
612271,other,10
612492,other,6
612612,other,8
612756,other,5
612826,other,6
612981,other,27
613241,bug_fixes,1
613241,other,3
613424,other,3
613488,other,7
613582,other,8
613769,other,2
613815,other,5
613909,other,8
614091,other,3
614202,other,3
614282,other,8
614382,other,8
614490,bug_fixes,1
614490,other,7
614490,tech_debt,1
614661,other,4
614734,other,3
614825,other,1
614885,other,2
614971,other,54
615649,bug_fixes,2
615649,other,6
615748,other,1
615966,other,3
616023,other,7
616120,other,4
616323,other,7
616466,other,2
616515,other,15
616682,other,3
616813,other,13
617117,other,6
617193,other,3
617245,other,1
617283,other,3
617348,other,2
617432,other,1
617500,other,19
617797,other,3
617915,other,18
618169,other,3
618285,other,1
618308,other,49
618985,other,5
619076,other,51
619544,other,11
619675,other,1
619705,other,4
61976,other,1
619791,other,2
619837,other,2
619883,other,7
620027,other,32
62034,other,1
620446,other,16
620613,other,7
620694,other,2
62071,other,2
620761,other,7
620842,other,4
620920,other,3
620982,bug_fixes,1
621025,other,4
621103,other,3
621174,other,1
621431,other,6
621519,other,20
62169,other,1
621800,other,5
621919,other,1
621952,other,10
622211,other,1
622267,other,1
622313,other,197
62268,other,1
623950,other,11
624080,other,7
62416,other,1
624176,other,3
624255,other,2
624307,other,4
624409,other,3
624466,other,1
624541,other,61
625082,other,1
625130,other,3
62519,other,8
625191,other,6
625344,other,7
625442,other,2
625498,other,3
625619,other,30
625956,other,74
626628,other,8
626732,other,1
626893,other,26
62706,other,1
627131,other,33
627416,other,3
627752,other,1
627820,other,13
628002,other,2
628076,other,15
628240,other,15
628620,other,14
628809,other,1
628868,other,4
628921,other,4
629000,other,8
629099,other,16
629273,other,7
629360,other,5
629534,other,3
629588,other,6
62961,other,2
629666,other,3
629720,other,5
629790,other,6
629921,other,1
629979,other,6
630060,other,6
630186,other,4
630243,other,4
630305,other,3
630359,other,5
630433,other,3
630487,other,2
630533,other,183
63194,other,2
632102,other,6
632175,other,3
632349,other,3
632409,other,20
632623,other,7
632709,other,2
632755,other,3
632804,other,5
632874,other,5
632944,other,10
633114,other,9
633226,other,8
633374,other,7
63341,other,2
63382,other,1
633940,other,18
634766,other,12
63518,other,7
63663,other,1
63696,other,3
63911,tech_debt,2
639618,other,36
640035,other,47
64113,feature_work,1
64216,feature_work,1
64285,tech_debt,1
64349,other,1
64405,bug_fixes,2
64405,other,37
644167,other,46
644774,other,95
6479,other,3
64793,other,9
648505,other,39
648891,other,1
64907,other,1
64907,tech_debt,1
649087,other,2
649138,other,6
649211,other,4
649278,other,3
649357,other,3
649416,other,2
64965,tech_debt,1
649651,other,2
649801,other,1
649869,other,47
64993,docs,2
64993,feature_work,1
64993,other,36
650313,other,2
650359,other,3
650418,other,1
650585,other,8
650702,other,3
650804,other,3
650922,other,11
651041,other,1
651085,other,8
651272,other,2
651318,other,2
651560,other,12
651704,other,2
651872,other,18
652071,other,3
652125,other,2
652166,other,4
652231,other,2
652277,other,7
652364,other,2
652410,other,3
652464,other,1
652499,other,1
652532,other,4
652594,other,4
652704,other,1
652909,other,1
652990,other,7
653162,other,12
65345,other,2
653621,feature_work,1
653621,other,28
653939,other,7
65398,other,2
6548,other,2
655034,other,44
65551,other,6
65635,feature_work,1
65635,other,1
65684,other,1
65717,feature_work,2
65717,other,2
658542,other,1
658575,other,3
65940,other,1
65989,other,1
659943,other,19
66074,other,18
6624,other,4
663428,other,12
66471,other,3
66587,other,3
66690,other,1
66714,other,1
66828,other,1
66852,other,1
66891,other,1
66920,other,1
66944,other,1
66989,other,1
67009,other,1
6712,other,2
67181,other,1
67219,other,1
672254,other,1
672475,other,2
672548,other,2
67260,other,1
672894,other,3
672967,other,8
673101,other,16
673807,other,2
67386,other,7
674592,other,1
674632,other,1
674672,other,1
67479,other,1
674818,other,1
675049,other,4
675121,other,2
675249,other,7
675338,other,1
675503,other,10
6758,other,4
67580,other,1
675882,other,3
675929,other,3
675998,other,13
676163,other,1
676200,other,1
676230,other,7
676301,other,4
676402,other,19
676602,other,1
676640,other,2
676695,other,3
676749,other,16
676974,other,4
67758,other,4
677757,other,1
677895,other,4
678051,other,14
678227,other,4
67864,other,2
67917,other,1
679388,other,27
679765,other,15
680063,other,4
680182,other,7
681240,other,51
681912,other,3
68234,bug_fixes,1
68268,other,3
6830,other,2
68354,other,3
685000,other,9
6883,other,2
68872,other,22
689260,other,12
69148,other,3
692466,other,250
69322,other,12
69527,other,1
69560,other,1
69924,other,10
70299,other,2
70356,feature_work,2
70831,other,3
71044,other,1
71148,feature_work,1
71596,other,8
71695,other,2
719276,other,4
726933,other,9
72784,other,5
72890,other,1
72989,other,5
7306,other,9
73094,docs,1
73094,other,2
73155,other,6
7418,bug_fixes,1
74345,other,3
74575,other,5
74760,other,27
75713,other,1
