week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2021-10-25,high,0.44871794871794873,198,164,0,1,12,0,0,0,0,0,0,0,0,0,0,0,151,1,12,0,0,151,0.006097560975609756,0.07317073170731707,0.0,0.0,0.9207317073170732,other,other,[]
2021-11-01,high,0.44871794871794873,162,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,151,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-01-17,high,2.152173913043478,409,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,0,0,0,0,258,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-07-18,high,0.8255813953488372,281,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189,0,0,0,0,189,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-08-22,high,1.7,234,185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,185,0,0,0,0,185,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-09-26,high,0.17532467532467533,433,214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214,0,0,0,0,214,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-10-03,high,0.16666666666666666,1079,527,0,0,1,0,0,0,0,0,0,0,0,0,0,0,526,0,1,0,0,526,0.0,0.0018975332068311196,0.0,0.0,0.9981024667931688,other,other,['docs']
2022-10-10,high,0.6052631578947368,469,328,0,1,5,0,0,1,0,0,0,0,0,0,0,0,321,1,5,1,0,321,0.003048780487804878,0.01524390243902439,0.003048780487804878,0.0,0.9786585365853658,other,other,['docs']
2022-10-17,high,1.4529411764705882,691,359,0,0,1,0,0,0,0,0,0,0,0,0,0,0,358,0,1,0,0,358,0.0,0.002785515320334262,0.0,0.0,0.9972144846796658,other,other,[]
2022-10-24,high,0.6914893617021277,427,309,0,2,2,0,0,0,0,0,0,0,0,0,0,0,305,2,2,0,0,305,0.006472491909385114,0.006472491909385114,0.0,0.0,0.9870550161812298,other,other,[]
2022-10-31,high,5.372340425531915,628,337,0,11,13,0,1,0,1,0,0,0,0,0,0,1,310,11,13,2,1,310,0.032640949554896145,0.03857566765578635,0.005934718100890208,0.002967359050445104,0.9198813056379822,other,other,['docs']
2023-11-06,high,1.02,739,554,0,1,9,0,0,0,0,0,0,0,0,0,0,0,544,1,9,0,0,544,0.0018050541516245488,0.016245487364620937,0.0,0.0,0.9819494584837545,other,other,[]
2023-11-27,high,0.19767441860465115,668,427,0,0,6,0,0,0,0,0,0,0,0,0,0,0,421,0,6,0,0,421,0.0,0.01405152224824356,0.0,0.0,0.9859484777517564,other,other,[]
2024-03-11,high,0.14150943396226415,1403,497,0,0,1,0,0,0,0,0,0,0,0,0,0,0,496,0,1,0,0,496,0.0,0.002012072434607646,0.0,0.0,0.9979879275653923,other,other,[]
2024-05-27,high,10.941176470588236,115,88,0,2,12,0,0,0,0,0,0,0,0,0,0,0,74,2,12,0,0,74,0.022727272727272728,0.13636363636363635,0.0,0.0,0.8409090909090909,other,other,[]
2024-10-14,high,1.9,256,174,0,2,2,0,1,0,0,0,0,0,0,0,0,0,169,2,2,0,1,169,0.011494252873563218,0.011494252873563218,0.0,0.005747126436781609,0.9712643678160919,other,other,[]
2024-10-21,high,1.686046511627907,164,136,0,2,0,1,2,0,0,0,0,0,0,0,0,0,131,2,0,1,2,131,0.014705882352941176,0.0,0.007352941176470588,0.014705882352941176,0.9632352941176471,other,other,[]
2024-10-28,high,4.409090909090909,161,125,0,2,2,2,1,0,0,0,0,0,0,0,0,2,116,2,2,4,1,116,0.016,0.016,0.032,0.008,0.928,other,other,[]
2025-08-18,high,0.23684210526315788,34,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,27,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-10-06,high,1.5,199,174,0,0,2,0,3,0,0,0,0,0,0,0,0,0,169,0,2,0,3,169,0.0,0.011494252873563218,0.0,0.017241379310344827,0.9712643678160919,other,other,[]
2025-12-29,high,0.16666666666666666,214,182,0,0,2,0,0,0,0,0,0,0,0,0,0,0,180,0,2,0,0,180,0.0,0.01098901098901099,0.0,0.0,0.989010989010989,other,other,[]
2026-01-05,high,1.1666666666666667,145,134,0,1,5,0,0,0,0,0,0,0,0,0,0,0,128,1,5,0,0,128,0.007462686567164179,0.03731343283582089,0.0,0.0,0.9552238805970149,other,other,"['cli', 'technical']"
2026-03-02,high,2.0,232,197,0,4,3,2,0,0,0,0,0,0,0,0,0,0,188,4,3,2,0,188,0.02030456852791878,0.015228426395939087,0.01015228426395939,0.0,0.9543147208121827,other,other,"['api', 'cli', 'quality']"
2026-03-30,high,0.9,224,207,0,21,13,1,8,0,1,3,0,1,0,0,0,0,159,21,13,6,8,159,0.10144927536231885,0.06280193236714976,0.028985507246376812,0.03864734299516908,0.7681159420289855,other,other,"['quant-ml', 'desktop', 'quant_ml']"
2026-05-25,high,1.5,423,264,0,4,16,5,0,0,1,1,0,0,0,0,0,0,237,4,16,7,0,237,0.015151515151515152,0.06060606060606061,0.026515151515151516,0.0,0.8977272727272727,other,other,"['platform', 'cli', 'core']"
