log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,731,0.7182629597861581,0.49472669133358466,0.1574585635359116,0.27892746449698247,156.0,34.0,0.5121951219512195,ok,
vitalizing,alpha_classic,664,0.7412900951337793,0.4558544701654024,0.1992809242950634,0.2773261860883315,82.0,6.0,1.0,ok,
whole,alpha_classic,2227,0.8183395454285594,0.45352845271144643,0.23020748066918773,0.30539755895021703,154.0,30.0,0.46875,ok,
random_case_control,heuristics_dep_0.6,731,0.5287798634502962,0.8420133630406434,0.47478427612655805,0.6411060471928145,920.0,63.0,0.44303797468354433,ok,
vitalizing,heuristics_dep_0.6,664,0.5644172363981672,0.8360904595207226,0.47680890538033394,0.6072900748688531,679.0,47.0,0.4457831325301205,ok,
whole,heuristics_dep_0.6,2227,0.6024763245827391,0.84768234189235,0.5157958462545869,0.6413465718665622,1080.0,81.0,0.42857142857142855,ok,
random_case_control,heuristics_dep_0.7,731,0.5252666825092785,0.8432168759196765,0.4719988580672788,0.640366122558248,920.0,63.0,0.44303797468354433,ok,
vitalizing,heuristics_dep_0.7,664,0.5637905842591984,0.8357130018407919,0.4766153691914382,0.6070335286543184,679.0,47.0,0.4457831325301205,ok,
whole,heuristics_dep_0.7,2227,0.5989724413806711,0.8422702172116481,0.5125381663008424,0.6372792461473432,1080.0,81.0,0.42857142857142855,ok,
random_case_control,heuristics_dep_0.8,731,0.5312768670217336,0.8422447773743862,0.4746632149192195,0.6403075112367682,920.0,63.0,0.44303797468354433,ok,
vitalizing,heuristics_dep_0.8,664,0.5662188723958635,0.8366658403401501,0.47709368257313467,0.6076728349277599,679.0,47.0,0.4457831325301205,ok,
whole,heuristics_dep_0.8,2227,0.5979648845570359,0.8420803357479992,0.5125761867971499,0.6372542711618433,1080.0,81.0,0.42857142857142855,ok,
random_case_control,heuristics_dep_0.9,731,0.5283521761118253,0.8444873094415187,0.47478427612655805,0.6406059530035053,920.0,63.0,0.44303797468354433,ok,
vitalizing,heuristics_dep_0.9,664,0.5577862012223235,0.8359071646112972,0.47680890538033394,0.6072417170309071,679.0,47.0,0.4457831325301205,ok,
whole,heuristics_dep_0.9,2227,0.6021694563996198,0.8508038698901865,0.5157958462545869,0.6422379529020723,1080.0,81.0,0.42857142857142855,ok,
random_case_control,inductive_IM,731,0.7832557197060013,1.0,0.1607204604644037,0.2933770826736263,539.0,13.0,0.6147757255936677,ok,
vitalizing,inductive_IM,664,0.8509645682290438,0.9705368863534576,0.212035787474384,0.3480353597293603,306.0,7.0,0.5855855855855855,ok,
whole,inductive_IM,2227,0.8514226309115484,0.9595401948933096,0.1852131686276811,0.31049392049862934,281.0,7.0,0.5545023696682465,ok,
random_case_control,inductive_IMf_noise_0.3,731,0.8072792864469382,0.9947208971826846,0.19517128390450444,0.350313979151587,365.0,5.0,0.6284584980237155,ok,
vitalizing,inductive_IMf_noise_0.3,664,0.8201959723245631,0.9835882511949644,0.1950220304831657,0.32550433487532227,289.0,4.0,0.6157635467980295,ok,
whole,inductive_IMf_noise_0.3,2227,0.8537981906008869,0.9706095219596892,0.23275453378929334,0.3754703586099154,396.0,8.0,0.6231884057971013,ok,
random_case_control,inductive_IMf_noise_0.4,731,0.792123639091731,0.9670217997156276,0.22827863835058082,0.328145630344268,311.0,3.0,0.6221198156682027,ok,
vitalizing,inductive_IMf_noise_0.4,664,0.8415872766526302,0.9924386719366867,0.20359483520859634,0.337875798061641,281.0,4.0,0.6080402010050251,ok,
whole,inductive_IMf_noise_0.4,2227,0.854875705328672,0.9707396076622731,0.2524856274605707,0.4007402592815591,385.0,8.0,0.6208178438661709,ok,
random_case_control,inductive_IMf_noise_0.5,731,0.7998101375888995,0.9637712441785498,0.22387745063593567,0.4155953643383083,357.0,6.0,0.6224899598393574,ok,
vitalizing,inductive_IMf_noise_0.5,664,0.8452029780450319,0.9883592572590718,0.20433122163813633,0.33865056865355,325.0,6.0,0.6211453744493391,ok,
whole,inductive_IMf_noise_0.5,2227,0.8463345595092647,0.9840339140389274,0.21851621679583855,0.35761896752748884,337.0,6.0,0.606694560669456,ok,
random_case_control,inductive_IMf_noise_0.6,731,0.7877081178816234,0.9072827764078668,0.21764342602321118,0.3852114872341398,408.0,10.0,0.6312056737588652,ok,
vitalizing,inductive_IMf_noise_0.6,664,0.8523169350257955,0.9563314184835244,0.22426875662640589,0.3633325873869135,350.0,9.0,0.6229508196721312,ok,
whole,inductive_IMf_noise_0.6,2227,0.7708616743963311,0.9519417704309288,0.2360213862586874,0.3782585596690514,236.0,2.0,0.550561797752809,ok,
