seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.03792415169660679,0.16966067864271456,0.2836971859978478
1,0.02594810379241517,0.1317365269461078,0.2323795680406996
2,0.028942115768463075,0.14870259481037923,0.2512749264022836
3,0.023952095808383235,0.14570858283433133,0.246744733950672
4,0.023952095808383235,0.13972055888223553,0.25171125141022305
5,0.027944111776447105,0.15269461077844312,0.25899980860197414
6,0.0249500998003992,0.13872255489021956,0.248497599395803
7,0.03093812375249501,0.14570858283433133,0.25646521165319636
8,0.038922155688622756,0.15868263473053892,0.254219821227111
9,0.03493013972055888,0.15568862275449102,0.2554944680897414
