discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.5247999130653423,0.05571626526821009,0.10616668158874663,0.19081829079220478,0.02028951444332395,0.10632898114268621,0.27892746449698247,0.02409123233019695,0.086370958032559,118.8,33.47569599309657,0.2817819528038432,19.9,11.493476410555687,0.57756162867114
heuristics_dep_0.6,0.8480654596952724,0.0049071323096599425,0.005786265969873563,0.5164087306582731,0.041077198815339847,0.07954396658433369,0.6411060471928145,0.030998689610962974,0.048351890840362045,879.2,51.4496517642896,0.058518712197781604,60.1,5.7629082164399525,0.09588865584758655
heuristics_dep_0.7,0.8462288201876007,0.007007463002631755,0.008280813457852105,0.5162361995767054,0.04155684310218117,0.0804996688265105,0.640366122558248,0.03063612349166443,0.04784157439383862,879.2,51.4496517642896,0.058518712197781604,60.1,5.7629082164399525,0.09588865584758655
heuristics_dep_0.8,0.847973726169484,0.004876956255134337,0.0057513058537377116,0.5154172162140603,0.04090048966330751,0.07935413947507905,0.6403075112367682,0.030651076800664118,0.04786930695449892,879.2,51.4496517642896,0.058518712197781604,60.1,5.7629082164399525,0.09588865584758655
heuristics_dep_0.9,0.8481985919414867,0.006978159176931056,0.008227034615747687,0.5157212675106537,0.04120499994537506,0.07989781019555066,0.6406059530035053,0.03114914725874204,0.048624504834365145,879.2,51.4496517642896,0.058518712197781604,60.1,5.7629082164399525,0.09588865584758655
inductive_IM,0.9867812864563124,0.016353984467836206,0.016573058987129716,0.17247859919287523,0.012933751883702244,0.07498757494684313,0.2933770826736263,0.017989665623005444,0.061319260042606814,362.7,92.28825614465917,0.25444790776029547,8.1,1.7919573407620815,0.22122930132865207
inductive_IMf_noise_0.3,0.9836463251792702,0.017224582736078024,0.017510951136770453,0.21888500653586415,0.09230975103642174,0.42172715480764017,0.350313979151587,0.1034110554109042,0.2951953435068499,322.9,67.74371639577438,0.20979782098412633,4.9,2.330951164939612,0.475704319375431
inductive_IMf_noise_0.4,0.9867827127827443,0.01158029189128785,0.011735402071071186,0.19760662729359338,0.031001792330548623,0.1568863997890507,0.328145630344268,0.041646542463851396,0.12691481651045813,323.9,57.810898626470085,0.17848378705301043,5.1,2.378141197564929,0.46630219560096653
inductive_IMf_noise_0.5,0.9511521384862645,0.025835068357091224,0.027161867499143854,0.27078581650685907,0.07867788370135313,0.290553931946285,0.4155953643383083,0.08588832679866333,0.2066633417228095,310.4,44.415212609094986,0.14309024680765142,5.4,1.6465452046971292,0.3049157786476165
inductive_IMf_noise_0.6,0.9278787705361775,0.035111226113329314,0.03784031624415783,0.2450069775146344,0.04248273519957243,0.17339398098176576,0.3852114872341398,0.049553479119740146,0.12863967135440196,295.8,59.71748301609652,0.20188466198815594,5.5,2.5055493963954847,0.4555544357082699
