issue_id,category,commit_count
100019,other,1
100042,other,1
100068,other,1
100217,other,1
100252,other,4
1032,other,1
103810,other,7
104618,other,1
104727,other,1
104763,other,1
104923,other,1
104956,other,3
105160,other,1
105195,other,1
105225,other,2
105384,other,1
105425,other,2
105832,other,2
106069,other,2
106339,other,2
106405,other,4
106694,other,1
106752,other,2
107283,other,8
107559,other,2
107599,other,1
107628,other,6
107798,other,1
107997,other,37
1217,docs,1
1217,other,1
1559,feature_work,2
1739,bug_fixes,1
1775,bug_fixes,1
1807,bug_fixes,1
1807,tech_debt,1
1899,other,3
1984,docs,1
1984,feature_work,1
2241,bug_fixes,1
2241,other,1
2241,tech_debt,4
23978,other,15
25482,other,1
25828,bug_fixes,3
25828,other,3
26113,other,7
26741,bug_fixes,1
27551,other,1
3943,other,10
4049,docs,1
4106,bug_fixes,2
4155,other,3
4215,other,3
42951,other,1
43009,other,1
43064,other,1
43122,other,1
43180,other,1
43238,other,1
43296,other,1
43354,other,1
43412,other,1
43470,other,1
43528,other,1
43586,other,1
43641,other,1
4368,other,3
43699,other,1
43757,other,1
43815,other,1
43873,other,1
43931,other,1
43986,other,1
44044,other,1
44102,other,1
4455,other,10
4596,bug_fixes,4
4596,feature_work,9
4596,other,2
4769,other,1
4769,tech_debt,2
4825,other,4
4917,other,1
53784,other,1
53829,other,5
53897,other,2
53931,other,1
53954,other,7
54028,other,6
54126,other,2
54169,other,13
54301,other,8
54458,other,7
54526,other,1
54558,other,5
54614,other,2
54642,feature_work,1
54642,tech_debt,1
54698,other,1
54735,other,2
54807,other,1
54886,other,3
55481,other,3
5677,other,11
57873,other,3
579,other,1
57924,other,2
58018,other,1
5804,other,1
58056,other,1
58184,other,1
58407,other,1
58442,other,1
58489,other,1
58533,other,1
58574,other,1
58615,other,1
58659,other,2
58699,other,2
58745,other,1
58886,other,2
59204,other,4
59847,other,1
59888,other,1
59929,other,1
59970,other,1
60011,other,1
60052,other,1
60102,other,1
60143,other,1
60178,other,1
60228,other,1
611,other,1
62578,other,1
62624,other,1
62656,other,1
62691,other,1
62753,other,1
62792,other,1
62835,other,1
62907,other,1
63101,other,1
63529,other,1
64480,other,36
6656,other,4
6840,bug_fixes,1
6895,other,6
6987,other,1
7025,other,2
7087,other,1
71128,other,1
7136,other,1
7259,other,2
7305,other,3
73614,other,3
7768,bug_fixes,2
7768,other,3
7882,other,12
8105,other,2
8289,other,6
8434,bug_fixes,2
8434,other,1
8554,other,3
864,other,1
8773,other,1
8843,other,6
89136,other,3
89313,other,1
89363,other,2
894,other,1
89453,other,1
89562,other,4
918,other,1
93615,other,34
942,other,1
95861,other,2
966,other,1
99227,other,1
99315,other,1
99359,other,1
99393,other,2
99446,other,1
99487,other,8
99587,other,1
99616,other,6
99690,other,4
99748,other,1
99780,other,1
99815,other,1
99886,other,1
999,other,1
99912,other,1
99935,other,1
99961,other,1
99990,other,1
100094,other,0
100127,other,0
100336,other,0
100368,other,0
100526,other,0
100981,other,0
101388,other,0
101443,other,0
101571,other,0
101672,other,0
101942,other,0
102428,other,0
102935,other,0
103277,other,0
103494,other,0
103542,other,0
103586,other,0
103748,other,0
104015,other,0
104341,other,0
104539,other,0
104672,other,0
105024,other,0
105073,other,0
105279,other,0
105470,other,0
105631,other,0
105899,other,0
105934,other,0
105978,other,0
106006,other,0
106046,other,0
106106,other,0
106152,other,0
106223,other,0
106249,other,0
106306,other,0
106373,other,0
106482,other,0
106783,other,0
107238,other,0
107370,other,0
107447,other,0
107487,other,0
107530,other,0
107694,other,0
11281,other,0
11304,other,0
11319,other,0
113575,other,0
11451,other,0
11649,other,0
11679,other,0
11712,other,0
11816,other,0
12022,other,0
12373,other,0
1258,other,0
12600,other,0
13012,other,0
13963,other,0
14039,other,0
14280,other,0
15324,other,0
1651,other,0
16533,other,0
16952,other,0
18311,other,0
18335,other,0
18459,other,0
1853,other,0
19274,other,0
19401,other,0
1965,other,0
19919,other,0
20796,other,0
21368,other,0
25267,other,0
26364,other,0
26494,other,0
26655,other,0
27105,other,0
27129,other,0
27148,other,0
27172,other,0
27495,other,0
31176,other,0
31303,other,0
32409,other,0
35885,other,0
35911,other,0
36286,other,0
36905,other,0
3853,other,0
39292,other,0
41341,other,0
41599,other,0
42749,other,0
4278,other,0
4308,other,0
4554,other,0
47208,other,0
4888,other,0
49093,other,0
50716,other,0
50794,other,0
51026,other,0
51323,other,0
52493,other,0
5280,other,0
53753,other,0
54380,other,0
55076,other,0
55348,other,0
55396,other,0
55901,other,0
56036,other,0
56063,other,0
57838,other,0
59312,other,0
59370,other,0
60791,other,0
6183,other,0
61993,other,0
62726,other,0
62877,other,0
62942,other,0
63068,other,0
63136,other,0
63174,other,0
63192,other,0
63210,other,0
63257,other,0
63574,other,0
6479,other,0
65384,other,0
65549,other,0
66082,other,0
66267,other,0
66433,other,0
66499,other,0
66589,other,0
66631,other,0
66982,other,0
67092,other,0
6787,other,0
67943,other,0
6818,other,0
68768,other,0
68815,other,0
69234,other,0
70553,other,0
70593,other,0
71035,other,0
7164,other,0
722,other,0
72206,other,0
73172,other,0
73447,other,0
7368,other,0
7442,other,0
75148,other,0
7528,other,0
7851,other,0
79718,other,0
8136,other,0
8166,other,0
84879,other,0
8912,other,0
89200,other,0
89411,other,0
89659,other,0
89738,other,0
91343,other,0
92593,other,0
93196,other,0
95999,other,0
96516,other,0
99280,other,0
99846,other,0
