week_start,anomaly_direction,anomaly_score,commit_event_count,cm_total,cm_breaking_count,cm_feat_count,cm_fix_count,cm_chore_count,cm_docs_count,cm_style_count,cm_refactor_count,cm_test_count,cm_build_count,cm_ci_count,cm_perf_count,cm_revert_count,cm_bump_count,cm_wip_count,cm_other_count,cat_feature_work_count,cat_bug_fixes_count,cat_tech_debt_count,cat_docs_count,cat_other_count,cat_feature_work_ratio,cat_bug_fixes_ratio,cat_tech_debt_ratio,cat_docs_ratio,cat_other_ratio,dominant_category,dominant_type,top_scopes
2020-12-07,high,2.5833333333333335,66,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,53,0.0,0.0,0.0,0.0,1.0,other,other,[]
2020-12-14,high,0.5,17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-02-01,high,0.014285714285714285,43,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,36,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-05-10,high,1.8235294117647058,22,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0.0,0.0,0.0,0.0,1.0,other,other,[]
2021-12-20,high,0.07692307692307693,32,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-01-17,high,1.2,92,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,52,0.0,0.0,0.0,0.0,1.0,other,other,[]
2022-03-07,high,0.3620689655172414,101,39,0,1,0,0,0,0,1,0,0,0,0,0,0,0,37,1,0,1,0,37,0.02564102564102564,0.0,0.02564102564102564,0.0,0.9487179487179487,other,other,[]
2023-04-03,high,1.0,16,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,1,0,0,9,0.0,0.1,0.0,0.0,0.9,other,other,[]
2023-10-23,high,14.233333333333333,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-03-10,high,1.7727272727272727,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-04-21,high,1.3571428571428572,16,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-05-19,high,0.5,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0.0,0.0,0.0,0.0,1.0,other,other,[]
2025-05-26,high,1.5,13,13,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,1,0,0,12,0.0,0.07692307692307693,0.0,0.0,0.9230769230769231,other,other,[]
2025-09-01,high,1.0,22,22,0,9,4,2,0,0,0,0,0,0,0,0,0,0,7,9,4,2,0,7,0.4090909090909091,0.18181818181818182,0.09090909090909091,0.0,0.3181818181818182,feature_work,feat,[]
2025-09-08,high,0.5,12,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,8,0,1,0,1,8,0.0,0.1,0.0,0.1,0.8,other,other,[]
2025-09-15,high,4.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.0,0.0,0.0,0.0,1.0,other,other,[]
2026-01-19,high,0.5,12,10,0,1,4,0,0,0,2,0,0,0,0,0,0,0,3,1,4,2,0,3,0.1,0.4,0.2,0.0,0.3,bug_fixes,fix,"['config', 'data_collector']"
2026-02-02,high,0.5,5,5,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,2,0.4,0.2,0.0,0.0,0.4,feature_work,feat,['my-quant']
2026-04-20,high,3.0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0.0,0.0,0.0,0.0,1.0,other,other,[]
