log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,69,0.571585236827623,0.6018434817544753,0.22201960337360382,0.32437683766676945,94.0,14.0,0.4805194805194805,ok,
vitalizing,alpha_classic,62,0.575778061243986,0.5527239831072771,0.25017934002869435,0.34445024033956356,78.0,14.0,0.5789473684210527,ok,
whole,alpha_classic,236,0.6253659740475974,0.533801465341043,0.21366071428571431,0.3051723698675427,128.0,39.0,0.40869565217391307,ok,
random_case_control,heuristics_dep_0.6,69,0.4096542903349869,0.8586948730921663,0.6980337078651686,0.7700738247135234,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.6,62,0.44735867378070127,0.8176207845331362,0.6645489199491741,0.7331805631248846,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.6,236,0.4886331999598402,0.793729495316889,0.500660501981506,0.6140174265751395,516.0,28.0,0.4629629629629629,ok,
random_case_control,heuristics_dep_0.7,69,0.406841001233483,0.858826634322743,0.6980337078651686,0.7701268042156985,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.7,62,0.4456147411278074,0.7988598329404232,0.6575,0.7213194545441918,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.7,236,0.4867425951227268,0.793729495316889,0.500660501981506,0.6140174265751395,516.0,28.0,0.4629629629629629,ok,
random_case_control,heuristics_dep_0.8,69,0.40873177498986624,0.858826634322743,0.6980337078651686,0.7701268042156985,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.8,62,0.4520266126148941,0.7988598329404232,0.6575,0.7213194545441918,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.8,236,0.4867425951227268,0.793729495316889,0.500660501981506,0.6140174265751395,516.0,28.0,0.4629629629629629,ok,
random_case_control,heuristics_dep_0.9,69,0.40959507034287956,0.8614624505928854,0.6980337078651686,0.7711847513219001,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.9,62,0.44714364776848814,0.8006726767368084,0.6514215080346106,0.7183768215477065,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.9,236,0.4867425951227268,0.793729495316889,0.500660501981506,0.6140174265751395,516.0,28.0,0.4629629629629629,ok,
random_case_control,inductive_IM,69,0.6910749585808074,1.0,0.17712804729893905,0.300949497729462,280.0,7.0,0.6288659793814432,ok,
vitalizing,inductive_IM,62,0.6628604643619023,1.0,0.196625845679541,0.3286337937450798,257.0,6.0,0.6132596685082872,ok,
whole,inductive_IM,236,0.777374558976824,1.0,0.22170570624783736,0.3629445374839917,277.0,7.0,0.6040609137055838,ok,
random_case_control,inductive_IMf_noise_0.3,69,0.6187235608993941,0.9316476254480286,0.37843012125079767,0.5382329785384348,200.0,5.0,0.6470588235294118,ok,
vitalizing,inductive_IMf_noise_0.3,62,0.6648607929924912,0.9599750898470252,0.46591970121381887,0.6273552717048245,203.0,2.0,0.6402877697841727,ok,
whole,inductive_IMf_noise_0.3,236,0.7120957841155685,0.9369168901467699,0.38570747975226294,0.5464527354254409,278.0,6.0,0.6122448979591837,ok,
random_case_control,inductive_IMf_noise_0.4,69,0.6156252658847463,0.9300467992540427,0.37843012125079767,0.5379655040072548,200.0,5.0,0.6470588235294118,ok,
vitalizing,inductive_IMf_noise_0.4,62,0.6422077322606126,0.9416842385114019,0.38310344827586207,0.5446344083037647,199.0,2.0,0.635036496350365,ok,
whole,inductive_IMf_noise_0.4,236,0.712095743954442,0.9369168901467699,0.38570747975226294,0.5464527354254409,278.0,6.0,0.6122448979591837,ok,
random_case_control,inductive_IMf_noise_0.5,69,0.673218630683756,0.9420939223995157,0.24841915085817523,0.39316522848544605,196.0,4.0,0.6417910447761194,ok,
vitalizing,inductive_IMf_noise_0.5,62,0.6460688301310604,0.9415837213587721,0.3643817645129551,0.5254287981375997,202.0,3.0,0.6285714285714286,ok,
whole,inductive_IMf_noise_0.5,236,0.6913202003666212,0.9278432458070414,0.37006668853175906,0.5291027803516922,229.0,3.0,0.6149068322981366,ok,
random_case_control,inductive_IMf_noise_0.6,69,0.6770032432266522,0.9413508922724296,0.26345933562428403,0.411695842091876,203.0,5.0,0.6402877697841727,ok,
vitalizing,inductive_IMf_noise_0.6,62,0.6172165032159875,0.893074363701867,0.3713877987870139,0.5246134394966777,180.0,3.0,0.6190476190476191,ok,
whole,inductive_IMf_noise_0.6,236,0.6661760428729515,0.9375549007456108,0.36983932559982713,0.5304362910853994,198.0,1.0,0.6231884057971013,ok,
