log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,69,0.571585236827623,0.6018434817544753,0.22201960337360382,0.3307972926504389,94.0,14.0,0.4805194805194805,ok,
vitalizing,alpha_classic,62,0.575778061243986,0.5527239831072771,0.25017934002869435,0.34445024033956356,78.0,14.0,0.5789473684210527,ok,
whole,alpha_classic,236,0.6253659740475974,0.533801465341043,0.21366071428571431,0.3051723698675427,128.0,39.0,0.40869565217391307,ok,
random_case_control,heuristics_dep_0.5,69,0.4092804369276386,0.8586948730921663,0.6980337078651686,0.6767600774237821,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.5,62,0.44096495016850223,0.8450080110100036,0.5843621399176955,0.69092066773735,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.5,236,0.49483102695248693,0.7964867328829359,0.500660501981506,0.61484068544995,516.0,28.0,0.4629629629629629,ok,
random_case_control,heuristics_dep_0.6,69,0.40516118905607224,0.8596017107162044,0.6980337078651686,0.6761937716724591,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.6,62,0.45929888516616857,0.8281119732992683,0.5808325266214909,0.6827726284519714,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.6,236,0.48753915054415076,0.7940596153132036,0.500660501981506,0.6141161789261935,516.0,28.0,0.4629629629629629,ok,
random_case_control,heuristics_dep_0.7,69,0.4126068435223579,0.8592220085267978,0.6980337078651686,0.676090002323216,354.0,19.0,0.47766323024054985,ok,
vitalizing,heuristics_dep_0.7,62,0.4526642639185946,0.8298751641579609,0.5767754318618042,0.6805550824817167,280.0,10.0,0.5113122171945701,ok,
whole,heuristics_dep_0.7,236,0.4894321152832255,0.7968184378051997,0.500660501981506,0.6149394904633323,516.0,28.0,0.4629629629629629,ok,
random_case_control,inductive_IM,69,0.6910749585808074,1.0,0.17712804729893905,0.3580134992522327,280.0,7.0,0.6288659793814432,ok,
vitalizing,inductive_IM,62,0.6628604643619023,1.0,0.196625845679541,0.3286337937450798,257.0,6.0,0.6132596685082872,ok,
whole,inductive_IM,236,0.777374558976824,1.0,0.22170570624783736,0.3629445374839917,277.0,7.0,0.6040609137055838,ok,
random_case_control,inductive_IMf_noise_0.2,69,0.6071010302856348,0.956440309564786,0.3815616797900262,0.6114817501082627,222.0,5.0,0.6533333333333333,ok,
vitalizing,inductive_IMf_noise_0.2,62,0.6022549553679853,0.9579707950483056,0.420949263502455,0.5848882944762833,236.0,4.0,0.65,ok,
whole,inductive_IMf_noise_0.2,236,0.6515783519328686,0.9328356257705891,0.4175260915210276,0.5768576047027485,269.0,4.0,0.6256684491978609,ok,
random_case_control,inductive_IMf_noise_0.3,69,0.6187235608993941,0.9316476254480286,0.37843012125079767,0.5949378557545436,200.0,5.0,0.6470588235294118,ok,
vitalizing,inductive_IMf_noise_0.3,62,0.6529325169007011,0.9653832066660561,0.3887461459403906,0.5542882594260933,203.0,2.0,0.6402877697841727,ok,
whole,inductive_IMf_noise_0.3,236,0.7120957841155685,0.9369168901467699,0.38570747975226294,0.5464527354254409,278.0,6.0,0.6122448979591837,ok,
random_case_control,inductive_IMf_noise_0.4,69,0.6156252658847463,0.9300467992540427,0.37843012125079767,0.5928872894063999,200.0,5.0,0.6470588235294118,ok,
vitalizing,inductive_IMf_noise_0.4,62,0.6422077322606126,0.9416842385114019,0.38310344827586207,0.5446344083037647,199.0,2.0,0.635036496350365,ok,
whole,inductive_IMf_noise_0.4,236,0.712095743954442,0.9369168901467699,0.38570747975226294,0.5464527354254409,278.0,6.0,0.6122448979591837,ok,
random_case_control,split_miner_eps_0.1_eta_0.4,69,0.5294736778019492,0.7876472818250444,0.4946791357626572,0.679673860607182,337.0,68.0,0.3558282208588957,ok,
vitalizing,split_miner_eps_0.1_eta_0.4,62,0.5774263491043747,0.8767078245361999,0.5927718618909326,0.7073084905967391,229.0,4.0,0.5647058823529412,ok,
whole,split_miner_eps_0.1_eta_0.4,236,0.6345480048446197,0.6637612464105713,0.6533573596358118,0.6585182130030806,510.0,128.0,0.31800766283524906,ok,
random_case_control,split_miner_eps_0.1_eta_0.5,69,0.5519693521630955,0.7908421717655167,0.5247104247104247,0.6824218212011497,297.0,49.0,0.4,ok,
vitalizing,split_miner_eps_0.1_eta_0.5,62,0.6054923124499048,0.9565125162509582,0.6080060422960725,0.7434432608488875,209.0,3.0,0.5894039735099338,ok,
whole,split_miner_eps_0.1_eta_0.5,236,0.6664760502209546,0.6601405774313438,0.5887348035921559,0.6223963401035951,510.0,128.0,0.31800766283524906,ok,
random_case_control,split_miner_eps_0.1_eta_0.6,69,0.5559577519212606,0.8619836872834766,0.5278377211911955,0.7171760236455869,310.0,74.0,0.3509933774834437,ok,
vitalizing,split_miner_eps_0.1_eta_0.6,62,0.606998028702713,0.9500017188589882,0.6067898581865062,0.7405633698987271,189.0,3.0,0.6000000000000001,ok,
whole,split_miner_eps_0.1_eta_0.6,236,0.6875421525035603,0.9574117374376416,0.6303507224747303,0.7601958046456287,273.0,3.0,0.5588235294117647,ok,
random_case_control,split_miner_eps_0.2_eta_0.4,69,0.5360183163166837,0.7499724018051309,0.5202020202020202,0.6480115752211048,334.0,67.0,0.3625,ok,
vitalizing,split_miner_eps_0.2_eta_0.4,62,0.5872238317858649,0.8655731165691325,0.564752596212584,0.683529157625983,220.0,5.0,0.5609756097560976,ok,
whole,split_miner_eps_0.2_eta_0.4,236,0.6715584734833266,0.8975894686963697,0.4373894649235357,0.5881683486488419,294.0,10.0,0.5263157894736842,ok,
random_case_control,split_miner_eps_0.2_eta_0.5,69,0.5467096858781468,0.7452935164130121,0.5332871012482663,0.6633787211561818,294.0,48.0,0.40909090909090906,ok,
vitalizing,split_miner_eps_0.2_eta_0.5,62,0.5949556929003336,0.951525605411977,0.5996275605214152,0.7356603977963925,203.0,4.0,0.5810810810810811,ok,
whole,split_miner_eps_0.2_eta_0.5,236,0.6715584734833266,0.8975894686963697,0.4373894649235357,0.5881683486488419,294.0,10.0,0.5263157894736842,ok,
random_case_control,split_miner_eps_0.2_eta_0.6,69,0.5707255044196888,0.8922809235015448,0.5985467756584923,0.688575431296991,303.0,66.0,0.37543859649122807,ok,
vitalizing,split_miner_eps_0.2_eta_0.6,62,0.6098407381813337,0.946119107545488,0.5967878275570584,0.7319072251947165,191.0,4.0,0.6029411764705882,ok,
whole,split_miner_eps_0.2_eta_0.6,236,0.6942942230239391,0.9363211942235201,0.479493235988834,0.6342069550397603,270.0,5.0,0.5621890547263682,ok,
random_case_control,split_miner_eps_0.3_eta_0.4,69,0.5405777988640602,0.7625434347866633,0.45992366412213737,0.6033115844797191,334.0,67.0,0.3625,ok,
vitalizing,split_miner_eps_0.3_eta_0.4,62,0.5906443484850777,0.9459064626745504,0.5644078144078144,0.7069747102751581,222.0,6.0,0.5636363636363636,ok,
whole,split_miner_eps_0.3_eta_0.4,236,0.6542579556458925,0.6775243283765877,0.5328286613701094,0.5965274328939869,518.0,129.0,0.33462282398452614,ok,
random_case_control,split_miner_eps_0.3_eta_0.5,69,0.561241076497036,0.7443095063961918,0.5332871012482663,0.6319380333298101,294.0,48.0,0.40909090909090906,ok,
vitalizing,split_miner_eps_0.3_eta_0.5,62,0.5906443484850777,0.9459064626745504,0.5644078144078144,0.7069747102751581,222.0,6.0,0.5636363636363636,ok,
whole,split_miner_eps_0.3_eta_0.5,236,0.6457920139423869,0.6791619486048548,0.5316190760950814,0.5964009020140157,518.0,129.0,0.33462282398452614,ok,
random_case_control,split_miner_eps_0.3_eta_0.6,69,0.5870180369096147,0.8338148890578558,0.5435267857142857,0.671950497517836,303.0,66.0,0.37543859649122807,ok,
vitalizing,split_miner_eps_0.3_eta_0.6,62,0.6155103206827225,0.9464330219172837,0.5967878275570584,0.7320011355091122,191.0,4.0,0.6029411764705882,ok,
whole,split_miner_eps_0.3_eta_0.6,236,0.7082480246178773,0.7684591023195185,0.5728753852928226,0.6564079405826803,389.0,59.0,0.4294117647058824,ok,
