log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
bug_fixes,heuristics_dep_0.5,12,39.61711612654321,6.5,0.4644274338438298,0.8968929450369155,0.532258064516129,0.6680588682546791,82.0,3.0,0.6428571428571429,ok,
docs,heuristics_dep_0.5,1,160.9169212962963,11.0,0.026626656255768322,1.0,0.8461538461538461,0.9166666666666666,44.0,0.0,1.0,ok,
feature_work,heuristics_dep_0.5,1,0.0050578703703703706,5.0,0.0,1.0,1.0,1.0,21.0,0.0,1.0,ok,
other,heuristics_dep_0.5,534,91.67471374757248,8.666666666666666,0.4850001917772646,0.8223540321439449,0.3164290343486714,0.4570083625944607,596.0,27.0,0.4581673306772909,ok,
tech_debt,heuristics_dep_0.5,1,0.015636574074074074,6.0,0.0,1.0,1.0,1.0,25.0,0.0,1.0,ok,
whole,heuristics_dep_0.5,549,90.3290348824462,8.612021857923498,0.48329962103735324,0.8260219010585501,0.3156988574111754,0.4568090199398894,599.0,27.0,0.452755905511811,ok,
bug_fixes,inductive_IMf_noise_0.2,12,39.61711612654321,6.5,0.5596140503166687,0.9604129530600118,0.5274725274725275,0.6809548912146124,87.0,2.0,0.6842105263157894,ok,
docs,inductive_IMf_noise_0.2,1,160.9169212962963,11.0,0.026626656255768322,1.0,0.8461538461538461,0.9166666666666666,44.0,0.0,1.0,ok,
feature_work,inductive_IMf_noise_0.2,1,0.0050578703703703706,5.0,0.0,1.0,1.0,1.0,21.0,0.0,1.0,ok,
other,inductive_IMf_noise_0.2,534,91.67471374757248,8.666666666666666,0.7517155004170246,0.973265644907199,0.20569210866752907,0.33961023995578676,256.0,6.0,0.6043956043956044,ok,
tech_debt,inductive_IMf_noise_0.2,1,0.015636574074074074,6.0,0.0,1.0,1.0,1.0,25.0,0.0,1.0,ok,
whole,inductive_IMf_noise_0.2,549,90.3290348824462,8.612021857923498,0.7391244746650392,0.9580726564188619,0.23302921235456597,0.37487795520569794,423.0,11.0,0.6357388316151203,ok,
bug_fixes,split_miner_eps_0.2_eta_0.5,12,39.61711612654321,6.5,0.5427871519032139,0.9305555555555556,0.8901098901098901,0.9098834772403386,60.0,0.0,0.7777777777777779,ok,
docs,split_miner_eps_0.2_eta_0.5,1,160.9169212962963,11.0,0.026626656255768322,1.0,0.8461538461538461,0.9166666666666666,44.0,0.0,1.0,ok,
feature_work,split_miner_eps_0.2_eta_0.5,1,0.0050578703703703706,5.0,0.0,1.0,1.0,1.0,21.0,0.0,1.0,ok,
other,split_miner_eps_0.2_eta_0.5,534,91.67471374757248,8.666666666666666,0.6668184748943873,0.8824493909253515,0.39143786597267405,0.5423150354040424,473.0,99.0,0.3521739130434782,ok,
tech_debt,split_miner_eps_0.2_eta_0.5,1,0.015636574074074074,6.0,0.0,1.0,1.0,1.0,25.0,0.0,1.0,ok,
whole,split_miner_eps_0.2_eta_0.5,549,90.3290348824462,8.612021857923498,0.6320545648450402,0.7541131036424226,0.4423720143233778,0.5576308934842732,566.0,160.0,0.2945091514143095,ok,
