issue_id,category,commit_count
100019,other,1
100555,other,21
100839,other,3
100953,other,1
101206,other,3
101623,other,3
1032,other,1
103466,other,1
104763,other,1
104923,other,1
105110,other,1
1065,feature_work,1
106752,other,2
107935,other,3
107997,other,37
108579,other,3
108654,other,3
108797,other,3
109075,other,4
109150,other,1
11051,other,1
111791,other,1
111913,other,2
11249,other,1
112581,other,8
112751,other,14
112905,other,3
112941,other,7
113657,other,1
113680,other,1
11540,other,1
12059,other,7
126,bug_fixes,1
1288,other,1
1332,bug_fixes,1
13458,other,2
13642,other,2
1371,other,1
13719,other,19
1399,other,1
15037,other,1
15066,other,2
15142,other,1
15173,other,1
15521,other,1
15547,other,18
15732,other,1
15780,other,1
158,bug_fixes,1
15838,other,1
15896,other,1
15922,other,1
16080,other,2
16126,other,1
16152,other,1
16178,other,2
16215,other,1
16548,other,1
16746,other,1
16769,other,1
16808,other,1
1739,bug_fixes,1
17901,other,15
18361,other,1
18388,other,1
18589,other,17
18737,other,1
19245,other,1
19300,other,4
19353,other,3
19432,other,1
19664,other,1
19690,other,5
19812,other,2
19947,other,4
20061,other,3
20111,other,1
20144,other,2
20336,other,2
206,other,1
20666,other,1
20732,other,4
20826,other,2
2083,bug_fixes,2
21519,other,2
21559,other,3
21604,other,4
21672,other,3
22152,other,7
22284,other,1
22377,other,2
22414,other,7
22494,other,1
22523,other,2
22596,other,6
22662,other,2
22779,other,4
22836,other,1
22865,other,1
22967,other,8
23671,other,13
24973,other,1
25313,other,4
25968,other,5
26023,other,5
26288,other,1
27027,other,6
2710,other,2
27421,other,2
27467,other,2
27518,other,1
27551,other,1
27765,other,1
27805,other,1
27845,other,1
27885,other,1
27925,other,1
27965,other,1
28005,other,1
28045,other,1
28085,other,1
28842,other,1
28881,other,1
292,bug_fixes,1
29871,other,60
30782,other,1
31486,other,1
32157,other,1
322,other,1
32307,other,4
32614,other,13
32813,other,1
32846,other,4
33175,other,4
3324,other,4
33991,other,2
34040,other,1
3415,other,1
34498,other,2
34556,other,2
348,bug_fixes,4
3485,other,1
35137,other,1
35217,other,4
36842,other,1
3788,bug_fixes,1
38423,other,5
38740,other,23
3894,other,2
39409,other,1
3943,other,10
4049,docs,1
40791,other,1
40862,other,2
4155,other,3
42164,other,2
429,bug_fixes,1
43009,other,1
43586,other,1
4368,other,3
43931,other,1
4455,other,10
46129,other,1
47549,other,1
482,bug_fixes,1
4917,other,1
510,tech_debt,1
51177,other,2
51465,other,10
53931,other,1
54458,other,7
54558,other,5
54614,other,2
55814,other,1
5643,other,2
5677,other,11
579,other,1
5804,other,1
611,other,1
63710,other,53
6656,other,4
70367,other,4
7087,other,1
71012,other,1
71128,other,1
7136,other,1
71800,other,1
72065,other,1
73614,other,3
75653,other,26
759,bug_fixes,1
79142,other,1
79944,other,4
8105,other,2
81209,other,5
81322,other,3
82123,other,2
825,bug_fixes,1
82777,other,16
83224,other,3
83556,other,8
83932,other,5
84213,other,1
84364,other,3
8554,other,3
8618,other,1
864,other,1
8686,other,1
8773,other,1
8843,other,6
894,other,1
918,other,1
9387,other,4
942,other,1
94798,other,4
9626,other,104
966,other,1
98609,other,7
98813,other,2
99189,other,1
99616,other,6
99815,other,1
999,other,1
99912,other,1
100526,other,0
100886,other,0
101521,other,0
101600,other,0
101942,other,0
102773,other,0
103226,other,0
103586,other,0
105073,other,0
105470,other,0
105493,other,0
105899,other,0
105978,other,0
109122,other,0
11109,other,0
11129,other,0
111469,other,0
11153,other,0
11177,other,0
11197,other,0
111988,other,0
11217,other,0
11281,other,0
11304,other,0
113049,other,0
11319,other,0
113285,other,0
113575,other,0
114091,other,0
11427,other,0
11649,other,0
11679,other,0
11712,other,0
11736,other,0
11816,other,0
12022,other,0
12044,other,0
12373,other,0
1258,other,0
12600,other,0
12997,other,0
13012,other,0
13279,other,0
13303,other,0
13410,other,0
13532,other,0
13583,other,0
13688,other,0
13963,other,0
13995,other,0
14039,other,0
14280,other,0
14301,other,0
14874,other,0
1499,other,0
15122,other,0
15324,other,0
16023,other,0
16270,other,0
16302,other,0
16533,other,0
16616,other,0
16831,other,0
16932,other,0
17163,other,0
17178,other,0
17193,other,0
17220,other,0
17235,other,0
17261,other,0
17295,other,0
17319,other,0
17334,other,0
17621,other,0
17648,other,0
17719,other,0
17750,other,0
17769,other,0
17793,other,0
17855,other,0
18047,other,0
18086,other,0
18112,other,0
18143,other,0
18178,other,0
18208,other,0
18280,other,0
18311,other,0
18335,other,0
18459,other,0
1853,other,0
19274,other,0
19401,other,0
19473,other,0
1965,other,0
19790,other,0
19919,other,0
20041,other,0
20597,other,0
20617,other,0
20796,other,0
20866,other,0
20897,other,0
20924,other,0
20948,other,0
21341,other,0
21368,other,0
21720,other,0
22099,other,0
22249,other,0
22940,other,0
23920,other,0
23948,other,0
240,other,0
24249,other,0
25016,other,0
25047,other,0
2509,other,0
25267,other,0
25286,other,0
2533,other,0
25375,other,0
25455,other,0
25550,other,0
25805,other,0
262,other,0
26202,other,0
26312,other,0
26336,other,0
26364,other,0
26522,other,0
26576,other,0
26607,other,0
26655,other,0
26679,other,0
26710,other,0
2680,other,0
26822,other,0
27105,other,0
27129,other,0
27148,other,0
27172,other,0
27209,other,0
27495,other,0
2762,other,0
27649,other,0
2825,other,0
28361,other,0
28816,other,0
28986,other,0
29233,other,0
29260,other,0
29375,other,0
29414,other,0
29586,other,0
31176,other,0
31203,other,0
3126,other,0
31405,other,0
31526,other,0
31548,other,0
31577,other,0
32409,other,0
32777,other,0
33219,other,0
33561,other,0
33591,other,0
33613,other,0
33765,other,0
3391,other,0
3458,other,0
34644,other,0
34666,other,0
35183,other,0
35198,other,0
35267,other,0
35563,other,0
35657,other,0
35911,other,0
35938,other,0
35964,other,0
35991,other,0
36100,other,0
36122,other,0
36286,other,0
36310,other,0
36336,other,0
36375,other,0
36475,other,0
36505,other,0
36583,other,0
36618,other,0
36700,other,0
36869,other,0
36936,other,0
37008,other,0
37171,other,0
37344,other,0
37470,other,0
37961,other,0
38024,other,0
3824,other,0
3853,other,0
38999,other,0
39030,other,0
39142,other,0
39191,other,0
39257,other,0
