seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.08333333333333333,0.4444444444444444,0.3363736871199558
1,0.10185185185185185,0.37962962962962965,0.2847847847847848
2,0.12962962962962962,0.5,0.38828172434729813
3,0.08333333333333333,0.4444444444444444,0.3409090909090909
4,0.1111111111111111,0.46296296296296297,0.34736251402918067
5,0.08333333333333333,0.4351851851851852,0.33195135433941403
6,0.08333333333333333,0.3888888888888889,0.29398148148148145
7,0.12037037037037036,0.42592592592592593,0.31559728742827337
8,0.12962962962962962,0.4537037037037037,0.3460475400773908
9,0.08333333333333333,0.3611111111111111,0.2609427609427609
