week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2020-09-14,0,,,,,,False,normal,0.0
2020-09-21,15,,,,,,False,normal,0.0
2020-09-28,20,,,,,,False,normal,0.0
2020-10-05,5,,,,,,False,normal,0.0
2020-10-12,4,,,,,,False,normal,0.0
2020-10-19,1,,,,,,False,normal,0.0
2020-10-26,3,,,,,,False,normal,0.0
2020-11-02,2,,,,,,False,normal,0.0
2020-11-09,4,1.75,7.5,5.75,-6.875,16.125,False,normal,0.0
2020-11-16,4,2.0,5.0,3.0,-2.5,9.5,False,normal,0.0
2020-11-23,5,2.25,4.75,2.5,-1.5,8.5,False,normal,0.0
2020-11-30,8,2.5,5.0,2.5,-1.25,8.75,False,normal,0.0
2020-12-07,18,2.75,5.75,3.0,-1.75,10.25,True,high,2.5833333333333335
2020-12-14,18,3.0,8.0,5.0,-4.5,15.5,True,high,0.5
2020-12-21,11,3.25,13.25,10.0,-11.75,28.25,False,normal,0.0
2020-12-28,9,3.5,13.0,9.5,-10.75,27.25,False,normal,0.0
2021-01-04,11,3.75,12.0,8.25,-8.625,24.375,False,normal,0.0
2021-01-11,6,4.0,11.0,7.0,-6.5,21.5,False,normal,0.0
2021-01-18,20,4.0,11.0,7.0,-6.5,21.5,False,normal,0.0
2021-01-25,12,4.0,13.0,9.0,-9.5,26.5,False,normal,0.0
2021-02-01,26,4.0,12.75,8.75,-9.125,25.875,True,high,0.014285714285714285
2021-02-08,3,4.0,15.0,11.0,-12.5,31.5,False,normal,0.0
2021-02-15,4,4.0,14.25,10.25,-11.375,29.625,False,normal,0.0
2021-02-22,7,4.0,13.5,9.5,-10.25,27.75,False,normal,0.0
2021-03-01,10,4.0,12.75,8.75,-9.125,25.875,False,normal,0.0
2021-03-08,19,4.0,12.0,8.0,-8.0,24.0,False,normal,0.0
2021-03-15,21,4.0,14.25,10.25,-11.375,29.625,False,normal,0.0
2021-03-22,15,4.0,16.5,12.5,-14.75,35.25,False,normal,0.0
2021-03-29,8,4.0,15.75,11.75,-13.625,33.375,False,normal,0.0
2021-04-05,1,4.0,15.0,11.0,-12.5,31.5,False,normal,0.0
2021-04-12,2,4.0,15.0,11.0,-12.5,31.5,False,normal,0.0
2021-04-19,3,4.0,15.0,11.0,-12.5,31.5,False,normal,0.0
2021-04-26,5,4.0,14.25,10.25,-11.375,29.625,False,normal,0.0
2021-05-03,2,4.0,11.75,7.75,-7.625,23.375,False,normal,0.0
2021-05-10,40,3.25,11.75,8.5,-9.5,24.5,True,high,1.8235294117647058
2021-05-17,8,3.25,14.25,11.0,-13.25,30.75,False,normal,0.0
2021-05-24,22,4.0,14.25,10.25,-11.375,29.625,False,normal,0.0
2021-05-31,7,4.0,17.25,13.25,-15.875,37.125,False,normal,0.0
2021-06-07,17,4.25,17.25,13.0,-15.25,36.75,False,normal,0.0
2021-06-14,11,5.0,17.75,12.75,-14.125,36.875,False,normal,0.0
2021-06-21,7,5.25,17.75,12.5,-13.5,36.5,False,normal,0.0
2021-06-28,17,6.25,17.75,11.5,-11.0,35.0,False,normal,0.0
2021-07-05,8,6.25,17.75,11.5,-11.0,35.0,False,normal,0.0
2021-07-12,14,6.25,17.0,10.75,-9.875,33.125,False,normal,0.0
2021-07-19,10,6.25,16.5,10.25,-9.125,31.875,False,normal,0.0
2021-07-26,8,6.25,16.5,10.25,-9.125,31.875,False,normal,0.0
2021-08-02,6,6.25,16.5,10.25,-9.125,31.875,False,normal,0.0
2021-08-09,13,6.0,16.5,10.5,-9.75,32.25,False,normal,0.0
2021-08-16,6,6.25,16.5,10.25,-9.125,31.875,False,normal,0.0
2021-08-23,16,6.0,14.75,8.75,-7.125,27.875,False,normal,0.0
2021-08-30,8,6.0,15.75,9.75,-8.625,30.375,False,normal,0.0
2021-09-06,10,6.0,14.75,8.75,-7.125,27.875,False,normal,0.0
2021-09-13,12,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2021-09-20,6,7.0,14.75,7.75,-4.625,26.375,False,normal,0.0
2021-09-27,13,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2021-10-04,5,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2021-10-11,9,6.0,13.75,7.75,-5.625,25.375,False,normal,0.0
2021-10-18,6,6.0,13.0,7.0,-4.5,23.5,False,normal,0.0
2021-10-25,6,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2021-11-01,5,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2021-11-08,10,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2021-11-15,15,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2021-11-22,11,6.0,13.0,7.0,-4.5,23.5,False,normal,0.0
2021-11-29,5,6.25,13.0,6.75,-3.875,23.125,False,normal,0.0
2021-12-06,10,6.25,13.0,6.75,-3.875,23.125,False,normal,0.0
2021-12-13,7,6.25,12.75,6.5,-3.5,22.5,False,normal,0.0
2021-12-20,23,6.25,12.75,6.5,-3.5,22.5,True,high,0.07692307692307693
2021-12-27,15,6.25,12.75,6.5,-3.5,22.5,False,normal,0.0
2022-01-03,23,6.25,13.0,6.75,-3.875,23.125,False,normal,0.0
2022-01-10,18,6.25,13.0,6.75,-3.875,23.125,False,normal,0.0
2022-01-17,34,6.25,13.75,7.5,-5.0,25.0,True,high,1.2
2022-01-24,19,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2022-01-31,10,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2022-02-07,8,6.25,14.75,8.5,-6.5,27.5,False,normal,0.0
2022-02-14,13,6.25,14.5,8.25,-6.125,26.875,False,normal,0.0
2022-02-21,9,6.25,14.5,8.25,-6.125,26.875,False,normal,0.0
2022-02-28,11,6.25,14.5,8.25,-6.125,26.875,False,normal,0.0
2022-03-07,28,7.25,14.5,7.25,-3.625,25.375,True,high,0.3620689655172414
2022-03-14,15,7.25,15.0,7.75,-4.375,26.625,False,normal,0.0
2022-03-21,16,8.0,15.0,7.0,-2.5,25.5,False,normal,0.0
2022-03-28,11,8.0,15.0,7.0,-2.5,25.5,False,normal,0.0
2022-04-04,12,8.25,15.0,6.75,-1.875,25.125,False,normal,0.0
2022-04-11,17,8.25,15.0,6.75,-1.875,25.125,False,normal,0.0
2022-04-18,16,8.25,15.75,7.5,-3.0,27.0,False,normal,0.0
2022-04-25,14,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-05-02,9,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-05-09,1,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-05-16,7,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-05-23,7,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-05-30,6,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-06-06,4,9.0,16.0,7.0,-1.5,26.5,False,normal,0.0
2022-06-13,10,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-06-20,8,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-06-27,10,8.0,16.0,8.0,-4.0,28.0,False,normal,0.0
2022-07-04,16,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-07-11,8,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-07-18,11,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-07-25,12,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-08-01,13,8.25,16.0,7.75,-3.375,27.625,False,normal,0.0
2022-08-08,6,8.25,15.75,7.5,-3.0,27.0,False,normal,0.0
2022-08-15,2,8.0,14.75,6.75,-2.125,24.875,False,normal,0.0
2022-08-22,6,8.0,13.75,5.75,-0.625,22.375,False,normal,0.0
2022-08-29,6,7.25,13.0,5.75,-1.375,21.625,False,normal,0.0
2022-09-05,5,7.0,13.0,6.0,-2.0,22.0,False,normal,0.0
2022-09-12,5,6.25,13.0,6.75,-3.875,23.125,False,normal,0.0
2022-09-19,1,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2022-09-26,1,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2022-10-03,4,6.0,12.75,6.75,-4.125,22.875,False,normal,0.0
2022-10-10,10,5.25,12.0,6.75,-4.875,22.125,False,normal,0.0
2022-10-17,11,5.25,11.75,6.5,-4.5,21.5,False,normal,0.0
2022-10-24,2,5.25,11.0,5.75,-3.375,19.625,False,normal,0.0
2022-10-31,8,5.0,11.0,6.0,-4.0,20.0,False,normal,0.0
2022-11-07,12,5.0,10.75,5.75,-3.625,19.375,False,normal,0.0
2022-11-14,15,5.0,10.75,5.75,-3.625,19.375,False,normal,0.0
2022-11-21,1,5.0,10.75,5.75,-3.625,19.375,False,normal,0.0
2022-11-28,6,4.25,10.0,5.75,-4.375,18.625,False,normal,0.0
2022-12-05,9,4.25,10.0,5.75,-4.375,18.625,False,normal,0.0
2022-12-12,10,5.0,10.0,5.0,-2.5,17.5,False,normal,0.0
2022-12-19,2,5.0,10.0,5.0,-2.5,17.5,False,normal,0.0
2022-12-26,11,4.25,10.0,5.75,-4.375,18.625,False,normal,0.0
2023-01-02,7,4.25,10.75,6.5,-5.5,20.5,False,normal,0.0
