issue_id,category,commit_count
19719,other,2
20107,bug_fixes,1
20184,bug_fixes,1
20184,tech_debt,2
20256,bug_fixes,1
20343,feature_work,1
20383,bug_fixes,19
20383,docs,22
20383,feature_work,50
20383,other,81
20383,tech_debt,30
22025,docs,8
22025,feature_work,38
22025,other,8
22025,tech_debt,3
22570,other,3
22627,other,2
22674,other,2
22720,other,2
22772,other,2
22843,bug_fixes,2
22888,bug_fixes,2
22930,bug_fixes,1
23003,bug_fixes,1
23058,bug_fixes,2
23129,bug_fixes,1
23129,other,1
23214,bug_fixes,1
23214,feature_work,1
24201,feature_work,1
24272,bug_fixes,1
24272,feature_work,2
24272,tech_debt,2
24337,bug_fixes,2
24337,feature_work,4
24337,tech_debt,2
25013,feature_work,1
25555,other,1
25648,feature_work,2
25648,other,1
25740,other,7
25844,feature_work,3
25844,other,1
25844,tech_debt,3
26003,other,2
26060,bug_fixes,1
26107,other,1
26171,docs,1
26171,feature_work,1
26219,feature_work,1
26219,other,1
26282,bug_fixes,1
26282,tech_debt,1
26331,bug_fixes,1
26331,docs,1
26331,feature_work,3
26331,tech_debt,1
26482,feature_work,1
26512,feature_work,1
26562,bug_fixes,5
26562,docs,9
26562,feature_work,15
26562,other,52
26562,tech_debt,11
27318,bug_fixes,5
27318,docs,7
27318,feature_work,15
27318,other,34
27318,tech_debt,9
27898,feature_work,1
27898,other,2
27981,bug_fixes,1
27981,docs,2
27981,feature_work,7
27981,other,6
28176,feature_work,1
28266,bug_fixes,1
28266,docs,1
28266,feature_work,2
28266,other,2
28266,tech_debt,1
28348,bug_fixes,1
28388,bug_fixes,1
28388,feature_work,3
28485,bug_fixes,1
28543,other,1
28638,bug_fixes,1
28638,feature_work,3
28734,bug_fixes,1
28734,tech_debt,1
28821,bug_fixes,1
28892,docs,1
28920,other,19
29106,feature_work,1
29220,other,2
29431,bug_fixes,1
29431,other,1
29479,bug_fixes,5
29479,feature_work,2
29479,tech_debt,2
30080,feature_work,1
30123,bug_fixes,8
30123,feature_work,5
30123,other,12
30349,bug_fixes,6
30349,feature_work,5
30349,other,10
30537,bug_fixes,5
30537,feature_work,5
30537,other,9
30709,bug_fixes,2
30709,feature_work,4
30709,other,5
30817,bug_fixes,1
30817,feature_work,4
30817,other,4
30905,bug_fixes,1
30905,feature_work,1
30937,feature_work,1
31021,bug_fixes,7
31021,docs,8
31021,feature_work,6
31021,tech_debt,2
31227,bug_fixes,29
31227,feature_work,17
31227,other,23
31227,tech_debt,11
31889,feature_work,1
31889,tech_debt,1
31927,bug_fixes,1
31998,bug_fixes,6
31998,feature_work,6
31998,tech_debt,2
32180,bug_fixes,3
32466,feature_work,1
32517,feature_work,1
32517,other,3
32672,feature_work,1
32706,other,5
32768,feature_work,2
32768,other,2
32768,tech_debt,1
32834,bug_fixes,1
32834,tech_debt,1
32890,feature_work,2
32890,other,21
33100,bug_fixes,1
33100,feature_work,1
33100,other,22
33311,bug_fixes,2
33471,other,4
33543,tech_debt,1
33570,feature_work,3
33570,other,7
33670,other,7
33749,other,6
33813,bug_fixes,1
33813,feature_work,1
33813,tech_debt,1
33869,bug_fixes,1
33869,other,1
33917,tech_debt,1
33951,bug_fixes,1
33976,bug_fixes,3
33976,docs,6
33976,feature_work,8
33976,other,2
33976,tech_debt,3
34181,bug_fixes,9
34181,feature_work,7
34181,other,1
34181,tech_debt,4
34423,bug_fixes,5
34423,docs,2
34423,feature_work,8
34423,other,16
34423,tech_debt,7
34754,bug_fixes,24
34754,docs,4
34754,feature_work,29
34754,other,12
34754,tech_debt,5
35372,bug_fixes,1
35372,feature_work,3
35372,tech_debt,1
35454,bug_fixes,33
35454,docs,5
35454,feature_work,20
35454,other,56
35454,tech_debt,21
36582,other,1
36644,bug_fixes,2
36767,other,1
36824,feature_work,1
36824,tech_debt,1
36935,bug_fixes,1
36991,other,1
37024,feature_work,1
37024,other,1
37056,other,2
37094,other,2
37142,other,2
37205,other,1
37205,tech_debt,3
37334,other,1
37729,bug_fixes,101
37729,docs,10
37729,feature_work,47
37729,other,64
37729,tech_debt,28
39752,bug_fixes,1
39752,other,1
39800,bug_fixes,1
39922,bug_fixes,2
40198,bug_fixes,98
40198,docs,7
40198,feature_work,44
40198,other,65
40198,tech_debt,36
42259,bug_fixes,97
42259,docs,7
42259,feature_work,48
42259,other,63
42259,tech_debt,35
44275,bug_fixes,1
44327,bug_fixes,1
44385,other,3
44471,bug_fixes,1
44532,bug_fixes,1
44532,feature_work,2
44582,docs,1
44582,feature_work,6
44666,bug_fixes,1
44758,docs,2
44758,other,1
44861,docs,1
44861,other,1
44940,other,2
44982,bug_fixes,1
44982,other,1
45062,other,3
45128,other,1
45168,other,1
45229,other,1
45423,other,2
45623,other,3
45700,bug_fixes,2
45801,bug_fixes,3
45871,bug_fixes,12
45871,docs,13
45871,feature_work,27
45871,other,16
45871,tech_debt,7
46663,other,1
46726,feature_work,1
46756,feature_work,2
46891,other,1
46930,other,1
46966,other,1
47033,bug_fixes,1
47144,other,1
47184,other,1
47218,bug_fixes,1
47218,other,1
47260,feature_work,1
47260,tech_debt,1
47306,bug_fixes,1
47306,feature_work,2
47306,tech_debt,1
47371,feature_work,1
47431,bug_fixes,2
47603,feature_work,1
47603,other,5
47836,feature_work,3
47882,feature_work,2
47920,feature_work,1
47953,bug_fixes,3
48122,other,1
48175,bug_fixes,1
48175,feature_work,1
48175,other,1
48175,tech_debt,1
48272,other,6
48355,other,2
48403,bug_fixes,2
48452,feature_work,1
48482,bug_fixes,10
48482,feature_work,3
48482,other,12
48482,tech_debt,1
48719,bug_fixes,10
48719,feature_work,3
48719,other,12
48719,tech_debt,1
49049,tech_debt,1
49108,bug_fixes,2
49221,other,1
49288,bug_fixes,1
49353,other,2
49567,other,2
49632,bug_fixes,1
49632,feature_work,2
49632,tech_debt,1
49703,bug_fixes,1
49703,feature_work,1
49740,bug_fixes,1
49740,other,1
49808,bug_fixes,2
49914,docs,3
49914,other,17
50162,bug_fixes,4
50245,bug_fixes,1
50278,feature_work,1
50336,other,1
50368,bug_fixes,3
50464,bug_fixes,2
50542,feature_work,1
50542,tech_debt,1
50631,other,1
50755,bug_fixes,1
50785,bug_fixes,2
50831,feature_work,10
50961,bug_fixes,8
50961,docs,1
50961,feature_work,6
50961,other,25
50961,tech_debt,8
51404,bug_fixes,8
51404,docs,1
51404,feature_work,6
51404,other,25
51404,tech_debt,7
51836,other,1
51836,tech_debt,3
51909,feature_work,1
51939,feature_work,1
51939,tech_debt,1
51983,feature_work,1
52023,feature_work,1
52066,other,2
52137,feature_work,1
52137,tech_debt,1
52261,feature_work,1
52398,bug_fixes,2
52398,feature_work,1
52398,other,2
52477,bug_fixes,1
52477,feature_work,1
52477,tech_debt,1
52585,feature_work,1
52585,tech_debt,1
52631,bug_fixes,1
52631,tech_debt,1
52689,other,1
52719,bug_fixes,1
52768,feature_work,1
52768,other,3
52877,bug_fixes,2
53207,bug_fixes,37
53207,docs,13
53207,feature_work,32
53207,other,27
53207,tech_debt,141
55250,other,1
55342,bug_fixes,1
55342,other,1
55399,bug_fixes,2
55444,feature_work,1
55556,bug_fixes,1
55556,feature_work,1
55608,bug_fixes,1
55608,feature_work,3
55608,tech_debt,5
55717,feature_work,4
55717,other,2
55717,tech_debt,1
55795,bug_fixes,28
55795,docs,12
55795,feature_work,24
55795,other,42
55795,tech_debt,130
57700,feature_work,3
57700,tech_debt,1
57754,other,5
57822,bug_fixes,1
57890,bug_fixes,1
57943,bug_fixes,1
58032,bug_fixes,26
58032,docs,12
58032,feature_work,20
58032,other,41
58032,tech_debt,129
59896,other,1
59932,other,3
59978,bug_fixes,2
59978,feature_work,2
59978,tech_debt,1
60043,bug_fixes,7
60043,feature_work,5
60274,other,37
60598,bug_fixes,1
60598,feature_work,1
60598,other,1
60654,other,1
60707,bug_fixes,1
60707,docs,1
60707,feature_work,1
60707,other,4
60795,other,5
60894,other,1
61000,bug_fixes,2
61150,bug_fixes,1
61190,bug_fixes,1
61230,bug_fixes,3
61230,tech_debt,2
61378,other,2
61416,other,4
61495,other,2
61537,bug_fixes,1
61537,tech_debt,1
61603,other,4
61707,other,2
61824,other,2
61893,docs,14
61893,feature_work,3
61893,tech_debt,2
62079,feature_work,2
62151,other,2
62189,other,1
62213,bug_fixes,1
62213,tech_debt,1
62305,bug_fixes,24
62305,docs,6
62305,feature_work,46
62305,other,154
62305,tech_debt,20
64321,feature_work,1
64321,other,1
64415,other,2
64456,other,2
64535,other,1
64579,bug_fixes,10
64579,docs,2
64579,feature_work,8
64579,tech_debt,4
64794,other,2
64881,other,1
64956,feature_work,1
65013,feature_work,1
65062,feature_work,1
65062,tech_debt,4
65134,other,8
65215,other,8
65295,bug_fixes,1
65295,tech_debt,1
65367,feature_work,15
65367,tech_debt,1
65528,other,2
65580,other,1
65630,feature_work,1
65630,other,3
65709,bug_fixes,3
65709,feature_work,1
65709,other,15
65709,tech_debt,2
66004,other,4
66155,feature_work,1
66155,other,1
66155,tech_debt,1
66228,feature_work,1
66228,other,2
66335,other,1
66383,other,3
66464,other,1
66509,bug_fixes,2
66509,feature_work,1
66581,docs,1
66649,bug_fixes,1
66762,docs,1
66762,feature_work,1
66762,tech_debt,1
66854,docs,1
66891,bug_fixes,1
66891,tech_debt,1
66961,docs,2
66961,feature_work,6
66961,tech_debt,3
67081,bug_fixes,2
67081,feature_work,1
67081,other,2
67172,other,8
67268,bug_fixes,1
67268,feature_work,2
67268,other,1
67329,feature_work,1
67329,other,2
67395,bug_fixes,5
67395,docs,5
67395,feature_work,24
67395,other,51
67395,tech_debt,5
68257,other,1
68319,feature_work,1
68422,bug_fixes,1
68618,feature_work,1
68675,feature_work,1
68754,other,1
68804,bug_fixes,2
68804,docs,6
68804,feature_work,9
68804,other,21
68804,tech_debt,1
69145,docs,3
69145,feature_work,5
69145,other,12
69145,tech_debt,1
69351,bug_fixes,4
69351,feature_work,1
69424,bug_fixes,1
69424,other,1
69424,tech_debt,1
69490,other,11
69617,bug_fixes,1
69617,feature_work,1
69663,bug_fixes,2
69709,bug_fixes,2
69788,other,3
69881,docs,1
69924,feature_work,1
69924,tech_debt,2
69991,feature_work,1
70042,bug_fixes,1
70089,feature_work,1
70151,tech_debt,1
70201,bug_fixes,1
70201,docs,2
70201,feature_work,5
70201,tech_debt,4
70329,bug_fixes,8
70329,feature_work,7
70329,other,235
72368,other,1
72418,other,2
72497,other,4
72571,feature_work,1
72621,other,2
73162,other,5
73244,bug_fixes,1
73244,other,1
73320,bug_fixes,1
73320,feature_work,2
73381,other,2
73504,other,4
73823,other,7
74175,docs,1
74175,feature_work,1
74239,bug_fixes,1
74239,other,1
74239,tech_debt,1
74506,other,2
74835,bug_fixes,1
74835,docs,1
74835,other,60
75391,other,3
75480,other,1
75558,bug_fixes,1
75558,feature_work,6
75939,bug_fixes,2
76597,other,1
78186,bug_fixes,1
78186,other,1
78251,bug_fixes,1
78251,other,2
78436,feature_work,1
78436,other,1
78594,docs,2
78594,other,1
78665,bug_fixes,1
78665,docs,2
78665,feature_work,3
78665,tech_debt,1
79180,other,1
79236,other,1
79286,other,1
79330,other,28
79710,feature_work,1
79775,other,1
79902,bug_fixes,1
80248,other,21
80927,other,3
81011,other,5
81240,other,1
81443,other,1
82084,other,1
82156,other,2
82213,other,1
82389,other,1
82446,other,1
82545,other,1
82935,other,1
83121,bug_fixes,1
83121,feature_work,3
83121,tech_debt,11
83973,other,1
84080,other,1
84103,other,1
84126,bug_fixes,1
84126,other,1
84238,bug_fixes,2
84238,feature_work,1
84461,feature_work,3
84461,other,5
84658,feature_work,1
84694,bug_fixes,1
84694,feature_work,2
84794,other,1
85017,feature_work,1
85296,bug_fixes,3
85296,docs,6
85296,feature_work,5
85296,other,1
85296,tech_debt,2
85467,bug_fixes,1
85503,other,1
85561,docs,1
85561,feature_work,1
85642,other,1
85712,other,1
88117,other,1
88218,other,1
88262,feature_work,1
88262,other,1
88315,other,2
88375,other,1
88443,other,1
88490,other,4
88597,other,17
88808,other,1
88873,other,4
88939,other,1
88987,other,2
89155,other,1
89322,feature_work,1
89475,bug_fixes,1
89475,other,1
89536,other,3
89686,other,1
89824,other,1
89999,tech_debt,1
90039,tech_debt,1
90065,tech_debt,1
90251,feature_work,1
90251,other,2
90325,docs,1
20290,other,0
22970,other,0
23041,other,0
23100,other,0
23300,other,0
23325,other,0
23353,other,0
23384,other,0
23415,other,0
23472,other,0
23528,other,0
23561,other,0
23586,other,0
23611,other,0
23676,other,0
23725,other,0
23768,other,0
23808,other,0
23876,other,0
24070,other,0
26408,other,0
26441,other,0
28439,other,0
28579,other,0
29580,other,0
29638,other,0
32236,other,0
32331,other,0
32392,other,0
32496,other,0
32569,other,0
32629,other,0
33356,other,0
33441,other,0
34375,other,0
36722,other,0
36875,other,0
37262,other,0
37317,other,0
39852,other,0
40142,other,0
42214,other,0
44445,other,0
44896,other,0
45045,other,0
45111,other,0
45287,other,0
45359,other,0
45388,other,0
45485,other,0
45512,other,0
45568,other,0
45593,other,0
45854,other,0
46493,other,0
46549,other,0
46566,other,0
46642,other,0
46703,other,0
46862,other,0
46879,other,0
47107,other,0
47414,other,0
47524,other,0
47683,other,0
47728,other,0
47756,other,0
47810,other,0
48156,other,0
48247,other,0
48943,other,0
48960,other,0
49091,other,0
49484,other,0
49686,other,0
49894,other,0
50097,other,0
50601,other,0
50683,other,0
50734,other,0
51380,other,0
51812,other,0
52217,other,0
52313,other,0
52355,other,0
52536,other,0
52861,other,0
52933,other,0
52993,other,0
53054,other,0
53088,other,0
53153,other,0
55230,other,0
55284,other,0
55503,other,0
57924,other,0
58011,other,0
59872,other,0
60169,other,0
60193,other,0
60690,other,0
60860,other,0
60930,other,0
60969,other,0
61087,other,0
61344,other,0
61786,other,0
62121,other,0
64504,other,0
64864,other,0
64935,other,0
65977,other,0
66066,other,0
66294,other,0
66730,other,0
66831,other,0
68144,other,0
68161,other,0
68223,other,0
68529,other,0
69844,other,0
72476,other,0
73449,other,0
73480,other,0
73671,other,0
73698,other,0
73728,other,0
74022,other,0
74064,other,0
74311,other,0
74379,other,0
74479,other,0
74565,other,0
75447,other,0
75535,other,0
75905,other,0
76004,other,0
76107,other,0
76656,other,0
76776,other,0
78143,other,0
78323,other,0
80231,other,0
82584,other,0
82979,other,0
83023,other,0
83310,other,0
83529,other,0
83702,other,0
83757,other,0
83784,other,0
84038,other,0
84547,other,0
84573,other,0
84826,other,0
84885,other,0
84991,other,0
85544,other,0
85625,other,0
85691,other,0
85748,other,0
85847,other,0
85881,other,0
85945,other,0
86047,other,0
86097,other,0
86441,other,0
86475,other,0
86513,other,0
86543,other,0
86609,other,0
86648,other,0
86716,other,0
87721,other,0
87863,other,0
87997,other,0
88014,other,0
88041,other,0
88166,other,0
88201,other,0
88354,other,0
88861,other,0
89205,other,0
89222,other,0
89263,other,0
89305,other,0
89364,other,0
89394,other,0
89437,other,0
89454,other,0
89744,other,0
89784,other,0
89920,other,0
89958,other,0
90097,other,0
90157,other,0
90216,other,0
90400,other,0
90564,other,0
90653,other,0
90731,other,0
90875,other,0
91015,other,0
91180,other,0
91346,other,0
