log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,94,0.586428047064617,0.6102623383226873,0.2090683998761993,0.2972331193053638,46.0,1.0,1.0,ok,
vitalizing,alpha_classic,93,0.6362496670235045,0.7663646473685575,0.24865893753244506,0.37548569671054194,57.0,6.0,1.0,ok,
whole,alpha_classic,124,0.6379100557955579,0.614343091641616,0.19316269595252855,0.29391286017865403,43.0,1.0,1.0,ok,
random_case_control,heuristics_dep_0.6,94,0.4531444101976355,0.7841352450304788,0.5380082498526813,0.6804759930743663,325.0,20.0,0.5,ok,
vitalizing,heuristics_dep_0.6,93,0.4728214001374226,0.8000634164823737,0.5916666666666667,0.6802624452594774,318.0,20.0,0.4789272030651341,ok,
whole,heuristics_dep_0.6,124,0.4669702493641513,0.7769132232053029,0.607428987618354,0.6817961757564646,339.0,22.0,0.4767025089605735,ok,
random_case_control,heuristics_dep_0.7,94,0.45780701920124667,0.7855385773325042,0.5380082498526813,0.6805893814726136,325.0,20.0,0.5,ok,
vitalizing,heuristics_dep_0.7,93,0.4805550261225391,0.8016615276862464,0.5916666666666667,0.68083945448518,318.0,20.0,0.4789272030651341,ok,
whole,heuristics_dep_0.7,124,0.4669702493641513,0.7769132232053029,0.607428987618354,0.6817961757564646,339.0,22.0,0.4767025089605735,ok,
random_case_control,heuristics_dep_0.8,94,0.4450713879994075,0.7829732911880396,0.5380082498526813,0.6804707614238918,325.0,20.0,0.5,ok,
vitalizing,heuristics_dep_0.8,93,0.4792475226696037,0.8016615276862464,0.5916666666666667,0.68083945448518,318.0,20.0,0.4789272030651341,ok,
whole,heuristics_dep_0.8,124,0.4669702493641513,0.7769132232053029,0.607428987618354,0.6817961757564646,339.0,22.0,0.4767025089605735,ok,
random_case_control,heuristics_dep_0.9,94,0.45780701920124667,0.7855385773325042,0.5380082498526813,0.6805368745706353,325.0,20.0,0.5,ok,
vitalizing,heuristics_dep_0.9,93,0.4805550261225391,0.8016615276862464,0.5916666666666667,0.68083945448518,318.0,20.0,0.4789272030651341,ok,
whole,heuristics_dep_0.9,124,0.4634819936509873,0.7778266691362052,0.607428987618354,0.6821476799205376,339.0,22.0,0.4767025089605735,ok,
random_case_control,inductive_IM,94,0.6895600507172348,1.0,0.19135594363158248,0.3258714975418374,402.0,10.0,0.6376811594202898,ok,
vitalizing,inductive_IM,93,0.7191257591966604,1.0,0.21083070452155628,0.3482414242292662,348.0,9.0,0.6333333333333333,ok,
whole,inductive_IM,124,0.6916623706117678,1.0,0.18338999917074383,0.3099400861917942,256.0,5.0,0.6043956043956044,ok,
random_case_control,inductive_IMf_noise_0.3,94,0.6959197610954438,0.9823124935236723,0.42379547689282204,0.5292254667338094,204.0,5.0,0.6521739130434783,ok,
vitalizing,inductive_IMf_noise_0.3,93,0.7243354806245583,0.9345035617314392,0.4006894722885176,0.5608862980276959,194.0,5.0,0.6615384615384615,ok,
whole,inductive_IMf_noise_0.3,124,0.6913706446295786,0.958614351844379,0.23300309597523217,0.3748856014734075,202.0,3.0,0.6285714285714286,ok,
random_case_control,inductive_IMf_noise_0.4,94,0.6830149173962312,0.873491578737779,0.42063921993499453,0.4750402779182868,182.0,5.0,0.6451612903225807,ok,
vitalizing,inductive_IMf_noise_0.4,93,0.7353148813367587,0.8805077650362305,0.40063677368002126,0.5507010013683582,168.0,5.0,0.649122807017544,ok,
whole,inductive_IMf_noise_0.4,124,0.6973959843247237,0.9158219170609849,0.26133723431718436,0.4066372276876447,283.0,5.0,0.6544502617801047,ok,
random_case_control,inductive_IMf_noise_0.5,94,0.6253058598558037,0.9149577344393085,0.31174267459792904,0.4362613604854201,235.0,3.0,0.6774193548387096,ok,
vitalizing,inductive_IMf_noise_0.5,93,0.6651622841971391,0.889703564246824,0.28981481481481486,0.4372111164853658,221.0,3.0,0.6827586206896552,ok,
whole,inductive_IMf_noise_0.5,124,0.6545337034118734,0.8981827157171814,0.2796923076923077,0.42655594438383365,273.0,5.0,0.6612021857923497,ok,
random_case_control,inductive_IMf_noise_0.6,94,0.5938864900310799,0.8740295261355123,0.3118921308576481,0.451927171739659,228.0,3.0,0.6799999999999999,ok,
vitalizing,inductive_IMf_noise_0.6,93,0.6676794415788618,0.8727395536500739,0.2722029988465975,0.414976844379765,214.0,3.0,0.6857142857142856,ok,
whole,inductive_IMf_noise_0.6,124,0.6545337034118734,0.8981827157171814,0.2796923076923077,0.42655594438383365,273.0,5.0,0.6612021857923497,ok,
