issue_id,category,commit_count
11733,other,15
15952,bug_fixes,1
16037,feature_work,1
18415,tech_debt,1
18448,feature_work,1
18524,other,3
18581,bug_fixes,1
18621,tech_debt,2
18665,bug_fixes,1
18702,other,2
19056,bug_fixes,1
19099,feature_work,1
19132,feature_work,1
19249,bug_fixes,1
19287,bug_fixes,1
19327,feature_work,2
19374,docs,1
19414,bug_fixes,1
19496,bug_fixes,1
19530,tech_debt,1
19573,feature_work,1
19610,bug_fixes,2
19658,bug_fixes,2
19719,other,2
19764,bug_fixes,3
19922,bug_fixes,1
20064,bug_fixes,1
20107,bug_fixes,1
20141,feature_work,1
20256,bug_fixes,1
20343,feature_work,1
22506,other,3
22570,other,3
22627,other,2
22674,other,2
22720,other,2
22772,other,2
22843,bug_fixes,2
22888,bug_fixes,2
22930,bug_fixes,1
23003,bug_fixes,1
23058,bug_fixes,2
23180,bug_fixes,1
24114,other,1
24142,other,1
24170,other,1
24201,feature_work,1
24241,feature_work,1
25013,feature_work,1
25283,other,1
25307,other,3
25475,other,4
25523,other,2
25555,other,1
25607,bug_fixes,1
25740,other,7
26003,other,2
26060,bug_fixes,1
26107,other,1
26482,feature_work,1
26512,feature_work,1
27947,bug_fixes,1
28133,feature_work,1
28176,feature_work,1
28348,bug_fixes,1
28456,other,1
28485,bug_fixes,1
28543,other,1
28694,tech_debt,1
28821,bug_fixes,1
28858,feature_work,1
28892,docs,1
28920,other,19
29106,feature_work,1
29180,bug_fixes,1
29220,other,2
29662,other,14
29796,other,13
29919,other,13
30080,feature_work,1
30937,feature_work,1
31927,bug_fixes,1
32132,bug_fixes,2
32180,bug_fixes,3
32466,feature_work,1
32672,feature_work,1
32706,other,5
33311,bug_fixes,2
33471,other,4
33543,tech_debt,1
33670,other,7
33749,other,6
33917,tech_debt,1
33951,bug_fixes,1
36582,other,1
36644,bug_fixes,2
36767,other,1
36935,bug_fixes,1
36991,other,1
37056,other,2
37094,other,2
37142,other,2
37334,other,1
39800,bug_fixes,1
39869,other,3
39922,bug_fixes,2
44275,bug_fixes,1
44327,bug_fixes,1
44385,other,3
44471,bug_fixes,1
44666,bug_fixes,1
44940,other,2
45062,other,3
45128,other,1
45168,other,1
45229,other,1
45423,other,2
45623,other,3
45700,bug_fixes,2
45801,bug_fixes,3
4636,feature_work,1
4659,other,1
46663,other,1
46726,feature_work,1
46756,feature_work,2
46816,bug_fixes,1
46891,other,1
46930,other,1
46966,other,1
47033,bug_fixes,1
47144,other,1
47184,other,1
47371,feature_work,1
47431,bug_fixes,2
47836,feature_work,3
47882,feature_work,2
47920,feature_work,1
47953,bug_fixes,3
48122,other,1
48272,other,6
48355,other,2
48403,bug_fixes,2
48452,feature_work,1
49009,tech_debt,1
49049,tech_debt,1
49108,bug_fixes,2
49221,other,1
49288,bug_fixes,1
49353,other,2
49567,other,2
49808,bug_fixes,2
50162,bug_fixes,4
50245,bug_fixes,1
50278,feature_work,1
50336,other,1
50368,bug_fixes,3
50464,bug_fixes,2
50631,other,1
50755,bug_fixes,1
50785,bug_fixes,2
50831,feature_work,10
51909,feature_work,1
51983,feature_work,1
52023,feature_work,1
52066,other,2
52261,feature_work,1
52689,other,1
52719,bug_fixes,1
52877,bug_fixes,2
55250,other,1
55399,bug_fixes,2
55444,feature_work,1
57754,other,5
57822,bug_fixes,1
57890,bug_fixes,1
57943,bug_fixes,1
59896,other,1
59932,other,3
60274,other,37
60654,other,1
60795,other,5
60894,other,1
61000,bug_fixes,2
61150,bug_fixes,1
61190,bug_fixes,1
61378,other,2
61416,other,4
61495,other,2
61603,other,4
61707,other,2
61824,other,2
62079,feature_work,2
62151,other,2
62189,other,1
64415,other,2
64456,other,2
64535,other,1
64794,other,2
64881,other,1
64956,feature_work,1
65013,feature_work,1
65134,other,8
65215,other,8
65528,other,2
65580,other,1
66004,other,4
66335,other,1
66383,other,3
66464,other,1
66581,docs,1
66649,bug_fixes,1
66854,docs,1
6709,feature_work,1
67172,other,8
68257,other,1
68319,feature_work,1
68422,bug_fixes,1
68618,feature_work,1
68675,feature_work,1
68754,other,1
69490,other,11
6960,other,1
69663,bug_fixes,2
69709,bug_fixes,2
69788,other,3
69881,docs,1
69991,feature_work,1
70042,bug_fixes,1
70089,feature_work,1
70151,tech_debt,1
7052,bug_fixes,1
7135,bug_fixes,2
7203,bug_fixes,1
72368,other,1
72418,other,2
72497,other,4
72571,feature_work,1
72621,other,2
73162,other,5
73381,other,2
73504,other,4
73581,bug_fixes,1
73631,other,1
73823,other,7
74088,bug_fixes,1
74409,other,1
74506,other,2
74790,other,1
75391,other,3
75480,other,1
75939,bug_fixes,2
76541,bug_fixes,1
76597,other,1
77511,other,5
77594,other,2
77648,other,1
78385,other,1
78548,feature_work,1
79180,other,1
79236,other,1
79286,other,1
79330,other,28
79604,other,8
79710,feature_work,1
79775,other,1
79831,other,4
