seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.147239263803681,0.4662576687116564,0.4149720824429586
1,0.19631901840490798,0.49693251533742333,0.4333967985332487
2,0.18404907975460122,0.4785276073619632,0.4165644171779141
3,0.20245398773006135,0.4723926380368098,0.41004267804747935
4,0.18404907975460122,0.4723926380368098,0.41993520369476806
5,0.147239263803681,0.4662576687116564,0.41152010906612135
6,0.147239263803681,0.4662576687116564,0.4072001618013888
7,0.18404907975460122,0.4662576687116564,0.3948337100419761
8,0.1656441717791411,0.4785276073619632,0.41993520369476806
9,0.1901840490797546,0.4601226993865031,0.3976634904059522
