discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.6187157988597536,0.03575017458967316,0.057781253776868186,0.1962769035935653,0.023156017998647076,0.11797627522490736,0.2972331193053638,0.02687453318840683,0.09041567524915402,52.8,15.222789932641563,0.2883104153909387,5.7,6.880729935438859,1.2071456027085719
heuristics_dep_0.6,0.7939383331274635,0.02454932277990163,0.030920944052666523,0.5983950292928045,0.06629171883800253,0.1107825359384209,0.6804759930743663,0.04085506240024062,0.06003894746625653,291.0,15.055453054181617,0.051736952076225494,18.3,1.636391694484477,0.08942031117401514
heuristics_dep_0.7,0.7941456070688052,0.024392048971401698,0.030714832084046725,0.5983950292928045,0.06629171883800253,0.1107825359384209,0.6805893814726136,0.04122349588332676,0.06057028952483819,291.0,15.055453054181617,0.051736952076225494,18.3,1.636391694484477,0.08942031117401514
heuristics_dep_0.8,0.7938573946446512,0.02451682142299886,0.030883155574778175,0.5983950292928045,0.06629171883800253,0.1107825359384209,0.6804707614238918,0.041113643063599055,0.06041941166960407,291.0,15.055453054181617,0.051736952076225494,18.3,1.636391694484477,0.08942031117401514
heuristics_dep_0.9,0.7940773492552105,0.024355143540129905,0.03067099642493683,0.5983950292928045,0.06629171883800253,0.1107825359384209,0.6805368745706353,0.04095806081582787,0.06018492508825357,291.0,15.055453054181617,0.051736952076225494,18.3,1.636391694484477,0.08942031117401514
inductive_IM,1.0,0.0,0.0,0.19480323907187508,0.014289116167964907,0.07335153273654119,0.3258714975418374,0.019764717878541605,0.060651876668053994,335.5,69.29526198329387,0.2065432547937224,7.7,2.2135943621178655,0.28747978728803447
inductive_IMf_noise_0.3,0.9432085901148046,0.01919876929693058,0.020354743900915646,0.3724307890574913,0.07546199644304155,0.20262018785829405,0.5292254667338094,0.08015106060111546,0.15144974238632014,210.3,29.751003717895337,0.14146934720825172,5.0,0.9428090415820634,0.18856180831641267
inductive_IMf_noise_0.4,0.9130474319758658,0.01756191524755345,0.01923439531454446,0.32702958095669554,0.08925558548264909,0.2729281712728858,0.4750402779182868,0.09457230885406519,0.1990827162456588,227.5,42.49771235673228,0.18680313123838366,4.8,1.1352924243950933,0.23651925508231114
inductive_IMf_noise_0.5,0.90983481381377,0.01903115004784794,0.020917148650395935,0.2888707186899191,0.056085468727103224,0.1941542188196192,0.4362613604854201,0.06366019707448457,0.1459221531873715,225.0,32.451673471658005,0.14422965987403552,3.8,2.097617696340303,0.5520046569316588
inductive_IMf_noise_0.6,0.8728176994193731,0.01794414136511156,0.020558865129623967,0.30732806086642517,0.06153005857279963,0.20020969904060473,0.451927171739659,0.06710625136847206,0.14848908311963563,213.0,31.368774282716256,0.14727124076392603,3.6,1.9550504398153572,0.543069566615377
