week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2025-01-13,0,,,,,,False,normal,0.0
2025-01-20,0,,,,,,False,normal,0.0
2025-02-10,0,,,,,,False,normal,0.0
2025-03-10,0,,,,,,False,normal,0.0
2025-04-07,0,,,,,,False,normal,0.0
2025-05-12,0,,,,,,False,normal,0.0
2025-05-26,1,,,,,,False,normal,0.0
2025-06-02,0,,,,,,False,normal,0.0
2025-06-09,10,0.0,0.0,0.0,0.0,0.0,True,high,0.0
2025-06-16,12,0.0,0.0,0.0,0.0,0.0,True,high,0.0
2025-06-23,12,0.0,0.75,0.75,-1.125,1.875,True,high,13.5
2025-06-30,8,0.0,5.5,5.5,-8.25,13.75,False,normal,0.0
2025-07-07,4,0.0,8.5,8.5,-12.75,21.25,False,normal,0.0
2025-07-14,4,0.0,8.0,8.0,-12.0,20.0,False,normal,0.0
2025-07-21,2,0.0,7.0,7.0,-10.5,17.5,False,normal,0.0
2025-07-28,5,0.0,6.0,6.0,-9.0,15.0,False,normal,0.0
2025-08-04,4,0.0,5.75,5.75,-8.625,14.375,False,normal,0.0
2025-08-11,3,0.0,5.0,5.0,-7.5,12.5,False,normal,0.0
2025-08-18,0,0.0,4.75,4.75,-7.125,11.875,False,normal,0.0
2025-08-25,1,0.0,4.5,4.5,-6.75,11.25,False,normal,0.0
2025-09-01,2,0.0,4.25,4.25,-6.375,10.625,False,normal,0.0
2025-09-08,2,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-09-15,2,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-09-22,1,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-09-29,2,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-10-06,3,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-10-13,0,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-10-20,7,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-10-27,1,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-11-03,1,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-11-10,1,0.0,4.0,4.0,-6.0,10.0,False,normal,0.0
2025-11-17,4,0.25,4.0,3.75,-5.375,9.625,False,normal,0.0
2025-11-24,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2025-12-01,4,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2025-12-15,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2025-12-22,8,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2025-12-29,3,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-01-05,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-01-12,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-01-19,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-01-26,0,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-02-02,4,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-02-09,2,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2026-02-16,2,1.0,3.75,2.75,-3.125,7.875,False,normal,0.0
2026-02-23,2,1.0,3.0,2.0,-2.0,6.0,False,normal,0.0
2026-03-02,3,1.0,3.0,2.0,-2.0,6.0,False,normal,0.0
2026-03-09,29,1.0,3.0,2.0,-2.0,6.0,True,high,11.5
2026-03-16,33,1.0,3.0,2.0,-2.0,6.0,True,high,13.5
2026-03-23,33,1.0,3.0,2.0,-2.0,6.0,True,high,13.5
2026-03-30,34,1.0,3.75,2.75,-3.125,7.875,True,high,9.5
2026-04-06,9,1.0,4.0,3.0,-3.5,8.5,True,high,0.16666666666666666
2026-04-13,17,1.0,4.0,3.0,-3.5,8.5,True,high,2.8333333333333335
2026-04-20,49,1.0,6.25,5.25,-6.875,14.125,True,high,6.642857142857143
2026-04-27,27,1.0,7.75,6.75,-9.125,17.875,True,high,1.3518518518518519
2026-05-04,31,1.0,8.75,7.75,-10.625,20.375,True,high,1.3709677419354838
2026-05-11,112,1.0,15.0,14.0,-20.0,36.0,True,high,5.428571428571429
2026-05-18,8,1.0,24.5,23.5,-34.25,59.75,False,normal,0.0
2026-05-25,109,1.0,24.5,23.5,-34.25,59.75,True,high,2.095744680851064
2026-06-01,33,1.0,28.5,27.5,-40.25,69.75,False,normal,0.0
2026-06-08,81,1.25,30.5,29.25,-42.625,74.375,True,high,0.2264957264957265
2026-06-15,62,2.0,32.5,30.5,-43.75,78.25,False,normal,0.0
2026-06-22,8,2.0,33.0,31.0,-44.5,79.5,False,normal,0.0
2026-06-29,21,2.0,33.0,31.0,-44.5,79.5,False,normal,0.0
2026-07-06,5,2.25,33.0,30.75,-43.875,79.125,False,normal,0.0
2026-07-13,11,2.25,33.0,30.75,-43.875,79.125,False,normal,0.0
2026-07-20,9,3.0,33.0,30.0,-42.0,78.0,False,normal,0.0
2026-07-27,1,3.0,33.0,30.0,-42.0,78.0,False,normal,0.0
