issue_id,category,commit_count
17266,bug_fixes,1
17652,bug_fixes,1
17684,bug_fixes,1
17784,tech_debt,1
17912,tech_debt,1
17953,tech_debt,1
17994,tech_debt,1
18035,bug_fixes,1
20215,bug_fixes,1
20245,bug_fixes,1
20296,bug_fixes,1
20323,bug_fixes,1
20409,docs,1
20466,bug_fixes,1
20502,bug_fixes,2
20546,bug_fixes,1
20582,bug_fixes,2
20626,bug_fixes,1
20662,bug_fixes,1
20698,bug_fixes,1
20734,bug_fixes,2
20778,bug_fixes,1
20814,bug_fixes,1
20850,bug_fixes,2
20894,bug_fixes,1
20930,bug_fixes,1
20966,bug_fixes,1
21002,bug_fixes,1
21038,bug_fixes,1
21074,bug_fixes,34
21074,docs,21
21074,feature_work,70
21074,other,76
21074,tech_debt,49
23105,other,1
23150,bug_fixes,1
23192,feature_work,1
25266,other,1
25317,docs,1
25317,feature_work,2
25379,bug_fixes,1
25415,bug_fixes,1
25451,bug_fixes,1
25487,bug_fixes,1
25523,bug_fixes,1
25559,bug_fixes,1
25595,bug_fixes,1
25631,bug_fixes,1
25667,bug_fixes,1
25703,bug_fixes,1
25739,bug_fixes,1
25739,tech_debt,1
25783,bug_fixes,1
25819,bug_fixes,1
25855,bug_fixes,1
25891,bug_fixes,1
25927,bug_fixes,1
25963,feature_work,1
26057,feature_work,1
26097,feature_work,1
26126,bug_fixes,2
26160,bug_fixes,2
26194,bug_fixes,1
26220,bug_fixes,1
26246,bug_fixes,1
26272,bug_fixes,1
26272,other,1
26306,bug_fixes,1
26306,other,1
26340,bug_fixes,1
26340,other,1
26374,bug_fixes,1
26374,other,1
26408,bug_fixes,1
26408,other,1
26442,bug_fixes,1
26442,other,1
26476,bug_fixes,1
26476,other,1
26510,bug_fixes,1
26510,other,1
26544,bug_fixes,1
26544,other,1
26578,bug_fixes,1
26578,other,1
26612,bug_fixes,1
26612,other,1
26646,bug_fixes,1
26646,other,1
26680,feature_work,1
26716,bug_fixes,1
26748,feature_work,1
26888,bug_fixes,1
26953,bug_fixes,2
26987,bug_fixes,1
27013,bug_fixes,1
27039,bug_fixes,1
27065,bug_fixes,1
27091,bug_fixes,1
27117,bug_fixes,1
27143,bug_fixes,1
27169,bug_fixes,1
27195,bug_fixes,1
27265,feature_work,1
27297,feature_work,1
29379,tech_debt,1
29428,tech_debt,1
29472,bug_fixes,1
29472,docs,2
29472,feature_work,2
29472,tech_debt,2
29553,bug_fixes,1
29579,bug_fixes,1
29605,bug_fixes,1
29631,bug_fixes,1
29658,bug_fixes,1
29658,feature_work,1
29703,bug_fixes,1
29703,feature_work,1
29743,bug_fixes,2
29787,bug_fixes,3
29839,bug_fixes,1
29887,bug_fixes,1
29923,bug_fixes,1
29959,bug_fixes,1
29995,bug_fixes,1
30040,bug_fixes,1
30076,bug_fixes,1
30166,bug_fixes,2
30219,bug_fixes,5
30219,docs,1
30219,feature_work,2
30219,tech_debt,8
30551,feature_work,1
30582,bug_fixes,1
30635,bug_fixes,1
30635,tech_debt,1
30694,bug_fixes,1
30730,bug_fixes,1
30775,bug_fixes,2
30830,tech_debt,1
30874,tech_debt,1
30913,tech_debt,1
30959,tech_debt,1
31005,tech_debt,1
31044,tech_debt,1
31156,bug_fixes,1
31156,tech_debt,2
31208,docs,2
31208,feature_work,1
31278,bug_fixes,1
31326,bug_fixes,2
31382,bug_fixes,2
31426,bug_fixes,1
31462,bug_fixes,1
31498,bug_fixes,1
31534,bug_fixes,2
31578,bug_fixes,1
31619,bug_fixes,1
31619,feature_work,1
31677,bug_fixes,1
31677,tech_debt,1
31752,bug_fixes,1
31797,bug_fixes,1
31826,other,9
31943,bug_fixes,2
31943,tech_debt,3
32123,feature_work,2
34270,bug_fixes,1
34311,bug_fixes,1
34347,bug_fixes,1
34383,bug_fixes,1
34434,bug_fixes,1
34473,bug_fixes,1
34509,bug_fixes,1
34545,bug_fixes,1
38812,feature_work,1
38842,bug_fixes,1
38878,bug_fixes,1
38914,bug_fixes,1
38950,bug_fixes,1
38986,bug_fixes,1
39103,bug_fixes,1
43205,bug_fixes,1
43241,bug_fixes,1
43277,bug_fixes,1
43319,bug_fixes,1
43361,bug_fixes,1
43397,bug_fixes,1
43433,bug_fixes,1
43469,bug_fixes,1
43607,bug_fixes,1
43653,bug_fixes,1
43683,feature_work,1
43738,bug_fixes,1
43771,bug_fixes,1
43810,bug_fixes,1
43883,bug_fixes,1
43911,bug_fixes,6
44076,tech_debt,1
44138,tech_debt,1
44189,tech_debt,1
44240,bug_fixes,1
44291,bug_fixes,1
44345,bug_fixes,1
44396,bug_fixes,1
44447,bug_fixes,1
44498,bug_fixes,1
44559,bug_fixes,1
44610,bug_fixes,1
44671,bug_fixes,1
44732,bug_fixes,1
44783,bug_fixes,1
44834,bug_fixes,1
44895,bug_fixes,1
44956,bug_fixes,1
45007,bug_fixes,1
45068,bug_fixes,1
45119,bug_fixes,1
45180,bug_fixes,1
45231,bug_fixes,1
45292,bug_fixes,1
45356,bug_fixes,1
45417,bug_fixes,1
45478,bug_fixes,13
45735,bug_fixes,1
45786,bug_fixes,1
45840,bug_fixes,1
45896,bug_fixes,1
45947,bug_fixes,1
46001,bug_fixes,1
46001,docs,1
46001,tech_debt,1
46109,feature_work,1
46148,feature_work,2
46148,tech_debt,1
46211,tech_debt,1
46247,feature_work,1
46324,feature_work,1
46375,bug_fixes,1
46416,bug_fixes,1
46416,tech_debt,2
46502,bug_fixes,2
46502,feature_work,1
46502,tech_debt,1
46593,bug_fixes,1
46679,bug_fixes,1
46679,feature_work,1
46774,other,13
46900,bug_fixes,1
46987,bug_fixes,3
46987,other,1
47068,docs,1
47195,bug_fixes,3
47195,feature_work,1
47342,bug_fixes,1
47371,bug_fixes,3
47371,feature_work,4
47371,other,2
47496,bug_fixes,1
47496,tech_debt,2
47542,bug_fixes,1
47542,other,1
47669,bug_fixes,3
47669,feature_work,1
47669,other,1
47734,bug_fixes,3
47734,other,1
47788,bug_fixes,2
47829,feature_work,1
47894,bug_fixes,1
47924,bug_fixes,3
47970,bug_fixes,8
47970,feature_work,4
47970,other,1
47970,tech_debt,3
48217,bug_fixes,1
48247,bug_fixes,1
48247,other,1
48247,tech_debt,1
48301,bug_fixes,1
48301,other,1
48301,tech_debt,1
48353,bug_fixes,3
48515,bug_fixes,1
48549,feature_work,1
48583,other,1
48641,bug_fixes,1
48675,feature_work,1
48712,bug_fixes,2
48712,feature_work,1
48775,feature_work,1
48811,other,2
48858,bug_fixes,1
48895,bug_fixes,1
48954,tech_debt,1
48998,tech_debt,1
49037,tech_debt,1
49080,tech_debt,1
49123,tech_debt,1
49166,tech_debt,1
49209,tech_debt,1
49258,tech_debt,1
49299,tech_debt,1
49343,tech_debt,1
49382,tech_debt,1
49423,tech_debt,1
49466,tech_debt,1
49510,tech_debt,1
49561,other,1
49561,tech_debt,1
49618,tech_debt,1
49659,tech_debt,1
49700,tech_debt,1
49741,tech_debt,1
49782,tech_debt,1
49823,tech_debt,1
49867,tech_debt,1
49916,tech_debt,1
49960,tech_debt,1
50006,tech_debt,1
50047,tech_debt,1
50088,tech_debt,1
50140,tech_debt,1
50181,bug_fixes,1
50216,bug_fixes,5
50216,docs,3
50216,feature_work,4
50216,tech_debt,1
50342,bug_fixes,1
50383,bug_fixes,1
50446,docs,1
50446,feature_work,3
50446,other,1
50529,docs,1
50529,feature_work,1
50575,bug_fixes,1
50648,feature_work,1
50775,feature_work,1
50828,other,1
50854,bug_fixes,1
50926,feature_work,2
50988,bug_fixes,1
51032,bug_fixes,1
51032,tech_debt,1
51081,feature_work,1
51163,feature_work,1
51202,bug_fixes,1
51234,bug_fixes,1
51266,bug_fixes,1
51287,bug_fixes,1
51340,bug_fixes,3
51340,feature_work,2
51340,other,1
51570,docs,4
51570,feature_work,9
51570,other,10
51570,tech_debt,5
51824,feature_work,2
51862,tech_debt,1
51895,bug_fixes,1
51976,docs,1
52018,bug_fixes,1
52018,tech_debt,1
52098,bug_fixes,2
52167,feature_work,2
52167,other,2
54285,feature_work,9
54285,other,10
54285,tech_debt,4
54501,bug_fixes,1
54501,tech_debt,1
54648,bug_fixes,1
54702,feature_work,1
54744,bug_fixes,1
54897,bug_fixes,1
54897,feature_work,10
54897,other,2
54897,tech_debt,1
55031,bug_fixes,1
55131,bug_fixes,2
55170,feature_work,1
55170,other,1
55202,bug_fixes,1
55202,tech_debt,2
55277,bug_fixes,2
55364,tech_debt,1
55393,docs,2
55393,other,3
55494,bug_fixes,1
55494,tech_debt,1
55533,bug_fixes,3
55533,docs,2
55533,feature_work,7
55533,other,1
55533,tech_debt,2
55751,bug_fixes,2
55751,docs,1
55751,feature_work,7
55751,other,1
55751,tech_debt,2
55877,bug_fixes,2
55877,docs,1
55877,feature_work,6
55877,other,1
55877,tech_debt,2
55995,bug_fixes,1
56040,bug_fixes,2
56040,docs,1
56040,feature_work,5
56040,other,1
56040,tech_debt,2
56150,bug_fixes,2
56150,docs,1
56150,feature_work,4
56150,other,1
56150,tech_debt,2
56252,bug_fixes,2
56252,docs,1
56252,feature_work,3
56252,other,1
56252,tech_debt,2
56353,bug_fixes,1
56353,feature_work,2
56353,other,1
56353,tech_debt,1
56415,feature_work,2
56446,bug_fixes,4
56446,feature_work,5
56548,feature_work,1
56583,docs,1
56583,tech_debt,1
56648,bug_fixes,1
56729,bug_fixes,4
56782,feature_work,1
56814,bug_fixes,1
56855,other,2
56900,bug_fixes,1
57005,docs,1
57043,docs,1
57072,bug_fixes,1
57111,bug_fixes,1
57139,bug_fixes,1
57180,tech_debt,5
57300,tech_debt,4
57397,tech_debt,3
57474,tech_debt,2
57540,tech_debt,1
57602,tech_debt,3
57728,tech_debt,1
57800,tech_debt,1
57869,bug_fixes,2
57869,docs,1
57869,feature_work,2
57869,tech_debt,1
57963,tech_debt,1
57998,tech_debt,1
58171,bug_fixes,1
58200,other,6
58266,bug_fixes,2
58266,docs,1
58386,bug_fixes,1
58416,other,4
58464,bug_fixes,1
58508,bug_fixes,1
58635,bug_fixes,1
58635,tech_debt,1
58828,bug_fixes,1
58873,other,3
58916,bug_fixes,1
59075,docs,1
59107,tech_debt,1
59153,feature_work,1
59190,bug_fixes,1
59190,feature_work,1
59263,bug_fixes,1
59309,feature_work,1
59342,bug_fixes,1
59534,feature_work,1
59534,other,1
59606,other,1
59650,bug_fixes,1
59650,feature_work,3
59650,tech_debt,1
59729,feature_work,1
59762,bug_fixes,1
59909,feature_work,1
60679,other,1
60773,bug_fixes,1
60773,feature_work,5
60773,other,3
60773,tech_debt,2
60969,bug_fixes,1
60969,feature_work,3
60969,other,1
60969,tech_debt,1
61898,bug_fixes,3
61898,feature_work,1
61898,tech_debt,1
62016,feature_work,1
62086,feature_work,1
62135,tech_debt,1
62171,feature_work,2
62215,other,4
62215,tech_debt,1
62286,bug_fixes,1
62286,feature_work,1
62374,docs,1
62374,tech_debt,1
62411,feature_work,1
62455,tech_debt,1
62491,tech_debt,1
62527,feature_work,1
62575,bug_fixes,1
62604,tech_debt,1
62633,bug_fixes,1
62671,bug_fixes,1
62733,bug_fixes,1
62733,feature_work,2
62896,bug_fixes,1
62922,bug_fixes,1
62948,bug_fixes,1
62948,tech_debt,1
62991,bug_fixes,1
62991,docs,1
62991,feature_work,3
63156,bug_fixes,1
63189,bug_fixes,1
63189,feature_work,1
63258,tech_debt,1
63290,bug_fixes,1
63355,bug_fixes,1
63394,feature_work,1
63491,bug_fixes,1
63491,other,1
63559,bug_fixes,1
63559,tech_debt,1
63618,bug_fixes,1
63666,bug_fixes,1
63708,bug_fixes,1
63745,tech_debt,1
63784,bug_fixes,1
63850,bug_fixes,1
63885,bug_fixes,1
63920,bug_fixes,1
63958,tech_debt,1
63987,bug_fixes,1
64066,bug_fixes,1
64181,bug_fixes,1
64217,bug_fixes,1
64253,other,1
64253,tech_debt,2
64323,feature_work,1
64378,feature_work,1
64429,feature_work,1
64452,tech_debt,1
64475,feature_work,1
64518,feature_work,1
64518,tech_debt,1
64566,bug_fixes,2
64566,docs,1
64566,feature_work,2
64817,feature_work,1
64844,tech_debt,1
64875,bug_fixes,1
64875,feature_work,2
64921,feature_work,1
64958,feature_work,1
65020,feature_work,1
65060,bug_fixes,2
65060,feature_work,1
65112,feature_work,1
65248,feature_work,1
65297,bug_fixes,1
65353,bug_fixes,1
65521,bug_fixes,2
65638,docs,1
65693,bug_fixes,2
65693,feature_work,2
65693,other,1
65751,bug_fixes,1
65818,feature_work,1
65854,bug_fixes,1
65899,feature_work,1
65941,feature_work,1
66271,bug_fixes,1
20130,other,0
20163,other,0
20196,other,0
26005,other,0
26778,other,0
26828,other,0
26922,other,0
27221,other,0
30115,other,0
30430,other,0
31094,other,0
31126,other,0
31724,other,0
32080,other,0
32111,other,0
32181,other,0
34581,other,0
34606,other,0
34621,other,0
34636,other,0
34666,other,0
34681,other,0
34696,other,0
34711,other,0
39022,other,0
39037,other,0
39052,other,0
39067,other,0
39085,other,0
43493,other,0
43511,other,0
43526,other,0
43541,other,0
43562,other,0
43577,other,0
43592,other,0
43830,other,0
43858,other,0
44022,other,0
44119,other,0
44174,other,0
44225,other,0
44276,other,0
44327,other,0
44381,other,0
44432,other,0
44483,other,0
44531,other,0
44595,other,0
44643,other,0
44704,other,0
44768,other,0
44819,other,0
44867,other,0
44928,other,0
44992,other,0
45040,other,0
45104,other,0
45152,other,0
45216,other,0
45264,other,0
45325,other,0
45389,other,0
45450,other,0
45710,other,0
45771,other,0
45825,other,0
45868,other,0
45932,other,0
45983,other,0
46063,other,0
46297,other,0
46631,other,0
46652,other,0
46759,other,0
46929,other,0
47098,other,0
47127,other,0
47301,other,0
47623,other,0
48402,other,0
48436,other,0
48616,other,0
48932,other,0
50413,other,0
50686,other,0
50747,other,0
50896,other,0
51133,other,0
51319,other,0
51472,other,0
51533,other,0
51923,other,0
52069,other,0
52142,other,0
54577,other,0
54617,other,0
54687,other,0
54771,other,0
54805,other,0
54838,other,0
55072,other,0
55094,other,0
55256,other,0
55321,other,0
56680,other,0
56702,other,0
56840,other,0
56935,other,0
56960,other,0
57674,other,0
57701,other,0
58319,other,0
58354,other,0
58369,other,0
58538,other,0
58563,other,0
58583,other,0
58603,other,0
58619,other,0
58716,other,0
58732,other,0
58752,other,0
58772,other,0
58792,other,0
58808,other,0
58963,other,0
58983,other,0
59003,other,0
59023,other,0
59043,other,0
59232,other,0
59372,other,0
59402,other,0
59430,other,0
59462,other,0
59796,other,0
59820,other,0
59838,other,0
60023,other,0
60046,other,0
60394,other,0
61293,other,0
61743,other,0
61982,other,0
62700,other,0
62808,other,0
63064,other,0
63322,other,0
63446,other,0
63538,other,0
63820,other,0
64025,other,0
64108,other,0
64498,other,0
64643,other,0
64698,other,0
64756,other,0
64982,other,0
65132,other,0
65202,other,0
65227,other,0
65413,other,0
65471,other,0
65592,other,0
65786,other,0
66331,other,0
67517,other,0
67816,other,0
68248,other,0
