log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
anomaly_bug_fixes,heuristics_dep_0.5,214,13.425262688213914,8.144859813084112,0.5984299161781574,0.8726143364474839,0.7945166760881854,0.8317362425483866,231.0,13.0,0.49462365591397844,ok,
anomaly_docs,heuristics_dep_0.5,7,22.94592427248677,8.285714285714286,0.24205713769939452,0.9514563106796117,0.6160714285714286,0.7478847536360117,134.0,0.0,0.6483516483516484,ok,
anomaly_feature_work,heuristics_dep_0.5,52,17.082124955484332,8.98076923076923,0.5558138281032746,0.9163995439953692,0.6646464646464647,0.7704794342365457,185.0,7.0,0.5,ok,
anomaly_other,heuristics_dep_0.5,273,13.573800790259124,10.699633699633699,0.5010691993890392,0.9106607032559038,0.3594384601801165,0.5154345272369478,474.0,26.0,0.4469135802469136,ok,
anomaly_tech_debt,heuristics_dep_0.5,65,13.423029202279203,11.415384615384616,0.5543016367153384,0.9018008048289738,0.4465541490857946,0.5973247472797769,242.0,8.0,0.5157894736842105,ok,
normal_bug_fixes,heuristics_dep_0.5,51,41.18768563907043,10.372549019607844,0.4794609025606089,0.859613571396501,0.647226173541963,0.7384519878886244,284.0,22.0,0.48275862068965514,ok,
normal_docs,heuristics_dep_0.5,13,35.70706196581197,7.6923076923076925,0.419791600661647,0.8725524172587074,0.8258064516129032,0.8485361118306098,121.0,6.0,0.6046511627906977,ok,
normal_feature_work,heuristics_dep_0.5,22,48.448120265151516,9.318181818181818,0.44901407556654427,0.9015865697548275,0.7044534412955465,0.7909214681074525,190.0,10.0,0.5,ok,
normal_other,heuristics_dep_0.5,146,37.77082413749366,40.97260273972603,0.47312278098907323,0.9649001954331284,0.24303082935301779,0.38826802181112685,487.0,26.0,0.4585365853658536,ok,
normal_tech_debt,heuristics_dep_0.5,16,13.334165943287037,9.875,0.3856122731247482,0.8904605756660022,0.5923913043478262,0.7114683657873908,148.0,3.0,0.5887850467289719,ok,
whole,heuristics_dep_0.5,859,20.789932590113395,15.023282887077997,0.5666915519285647,0.9025230545992093,0.24787433347744636,0.38893047380928353,626.0,35.0,0.4423791821561338,ok,
anomaly_bug_fixes,inductive_IMf_noise_0.2,214,13.425262688213914,8.144859813084112,0.7553597288450746,0.9797797557671251,0.397574909642066,0.565628966381749,207.0,5.0,0.6453900709219859,ok,
anomaly_docs,inductive_IMf_noise_0.2,7,22.94592427248677,8.285714285714286,0.3558866876510608,0.9687067294378289,0.3317972350230415,0.49429178712104715,146.0,5.0,0.7021276595744681,ok,
anomaly_feature_work,inductive_IMf_noise_0.2,52,17.082124955484332,8.98076923076923,0.686684062997813,0.9742582564768536,0.486687306501548,0.6491126551148902,111.0,2.0,0.6533333333333333,ok,
anomaly_other,inductive_IMf_noise_0.2,273,13.573800790259124,10.699633699633699,0.7188053691814671,0.9511694052892873,0.4559981472904122,0.6164603295124266,281.0,6.0,0.6373056994818652,ok,
anomaly_tech_debt,inductive_IMf_noise_0.2,65,13.423029202279203,11.415384615384616,0.8020455567247287,0.975998209838107,0.21320008328128248,0.3499549247990328,190.0,6.0,0.65625,ok,
normal_bug_fixes,inductive_IMf_noise_0.2,51,41.18768563907043,10.372549019607844,0.7641269219459258,0.9606229087013257,0.37738549618320616,0.5418877067165956,137.0,5.0,0.6703296703296703,ok,
normal_docs,inductive_IMf_noise_0.2,13,35.70706196581197,7.6923076923076925,0.6171526075915723,0.9796081567373051,0.6115702479338843,0.7530258097208031,95.0,2.0,0.7049180327868854,ok,
normal_feature_work,inductive_IMf_noise_0.2,22,48.448120265151516,9.318181818181818,0.7343208426865195,0.9746299722479186,0.2977588046958378,0.45615720731888504,116.0,3.0,0.6842105263157894,ok,
normal_other,inductive_IMf_noise_0.2,146,37.77082413749366,40.97260273972603,0.8110184377963964,0.9952394802787033,0.07074961997033025,0.13210794555542377,196.0,3.0,0.6000000000000001,ok,
normal_tech_debt,inductive_IMf_noise_0.2,16,13.334165943287037,9.875,0.6515423575172617,0.9782072053495154,0.3641114982578397,0.5306884128027652,120.0,3.0,0.6923076923076922,ok,
whole,inductive_IMf_noise_0.2,859,20.789932590113395,15.023282887077997,0.8247064783252865,0.9912844059831387,0.18128878281622907,0.30652030099613814,276.0,4.0,0.625,ok,
anomaly_bug_fixes,split_miner_eps_0.2_eta_0.5,214,13.425262688213914,8.144859813084112,0.6998234953963268,0.8864339649310473,0.8362191314220835,0.8605946743275383,179.0,21.0,0.48965517241379314,ok,
anomaly_docs,split_miner_eps_0.2_eta_0.5,7,22.94592427248677,8.285714285714286,0.34784037912814225,0.9245283018867925,0.6744186046511628,0.7799121844127332,102.0,0.0,0.6969696969696969,ok,
anomaly_feature_work,split_miner_eps_0.2_eta_0.5,52,17.082124955484332,8.98076923076923,0.6159641721260989,0.8987722766499129,0.69449378330373,0.7835373820205095,108.0,1.0,0.6266666666666667,ok,
anomaly_other,split_miner_eps_0.2_eta_0.5,273,13.573800790259124,10.699633699633699,0.7159365851521522,0.764108131043521,0.45479552539886303,0.5702057862944936,444.0,128.0,0.3032258064516129,ok,
anomaly_tech_debt,split_miner_eps_0.2_eta_0.5,65,13.423029202279203,11.415384615384616,0.7811160681764964,0.9472643375082399,0.5213537469782433,0.6725503613983714,134.0,0.0,0.6818181818181818,ok,
normal_bug_fixes,split_miner_eps_0.2_eta_0.5,51,41.18768563907043,10.372549019607844,0.6818407577779456,0.9158679446219382,0.8013245033112583,0.8547759765729281,118.0,0.0,0.65,ok,
normal_docs,split_miner_eps_0.2_eta_0.5,13,35.70706196581197,7.6923076923076925,0.5905864306782556,0.8936170212765957,0.9423076923076923,0.9173166926677067,60.0,0.0,0.7777777777777779,ok,
normal_feature_work,split_miner_eps_0.2_eta_0.5,22,48.448120265151516,9.318181818181818,0.5703336566944066,0.8272682130949847,0.7609756097560976,0.7927383992738747,104.0,11.0,0.5443037974683543,ok,
normal_other,split_miner_eps_0.2_eta_0.5,146,37.77082413749366,40.97260273972603,0.7493208573697419,0.9334550471562612,0.21468729266333764,0.3490872689677027,324.0,61.0,0.4013605442176871,ok,
normal_tech_debt,split_miner_eps_0.2_eta_0.5,16,13.334165943287037,9.875,0.5275577834726197,0.9185379936075884,0.5,0.647524421444354,109.0,4.0,0.6486486486486487,ok,
whole,split_miner_eps_0.2_eta_0.5,859,20.789932590113395,15.023282887077997,0.7963370540261075,0.9539837527762476,0.41194991850644536,0.5754211020270169,292.0,6.0,0.5357142857142857,ok,
