log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,64,0.606678077336164,0.5726857241943075,0.19296875000000002,0.2886692419760483,74.0,8.0,0.6153846153846154,ok,
vitalizing,alpha_classic,53,0.5951703243445756,0.6018804447021124,0.20122128525734229,0.30160850645990817,69.0,9.0,0.6888888888888889,ok,
whole,alpha_classic,82,0.6254201191660169,0.5110998973924934,0.22235973597359737,0.30989582267468163,130.0,20.0,0.34375,ok,
random_case_control,heuristics_dep_0.6,64,0.49809398525916926,0.8417502150751108,0.6069012178619757,0.7052893733434782,272.0,17.0,0.49090909090909085,ok,
vitalizing,heuristics_dep_0.6,53,0.4981272342152252,0.829865183549304,0.6044479745830024,0.699443251328045,230.0,13.0,0.5,ok,
whole,heuristics_dep_0.6,82,0.4562828948420329,0.8474539051340568,0.5536964980544747,0.669781428842338,307.0,17.0,0.47244094488188976,ok,
random_case_control,heuristics_dep_0.7,64,0.49815157647105823,0.8423058257781306,0.6081355932203389,0.7063176027974024,272.0,17.0,0.49090909090909085,ok,
vitalizing,heuristics_dep_0.7,53,0.4981272342152252,0.829865183549304,0.6044479745830024,0.699443251328045,230.0,13.0,0.5,ok,
whole,heuristics_dep_0.7,82,0.4562828948420329,0.8478869423875746,0.5536964980544747,0.6699166345716072,307.0,17.0,0.47244094488188976,ok,
random_case_control,heuristics_dep_0.8,64,0.49809398525916926,0.8417502150751108,0.6069012178619757,0.7052893733434782,272.0,17.0,0.49090909090909085,ok,
vitalizing,heuristics_dep_0.8,53,0.4981272342152252,0.829865183549304,0.6044479745830024,0.699443251328045,230.0,13.0,0.5,ok,
whole,heuristics_dep_0.8,82,0.457968599530153,0.8474539051340568,0.5536964980544747,0.669781428842338,307.0,17.0,0.47244094488188976,ok,
random_case_control,heuristics_dep_0.9,64,0.5018436699282043,0.8417502150751108,0.6069012178619757,0.7052893733434782,272.0,17.0,0.49090909090909085,ok,
vitalizing,heuristics_dep_0.9,53,0.4980852866719201,0.829865183549304,0.6044479745830024,0.699443251328045,230.0,13.0,0.5,ok,
whole,heuristics_dep_0.9,82,0.4562828948420329,0.8474539051340568,0.5536964980544747,0.669781428842338,307.0,17.0,0.47244094488188976,ok,
random_case_control,inductive_IM,64,0.7070567636725388,1.0,0.21833669580811477,0.35841766329346825,295.0,7.0,0.6354679802955665,ok,
vitalizing,inductive_IM,53,0.706401472602072,1.0,0.23975330849286902,0.3867758316924033,274.0,7.0,0.6382978723404255,ok,
whole,inductive_IM,82,0.7233772848572273,1.0,0.18224240915878542,0.30829956318088514,303.0,8.0,0.6150234741784038,ok,
random_case_control,inductive_IMf_noise_0.3,64,0.668310436476951,0.9765640498056614,0.4657351962741184,0.6306877725225263,195.0,2.0,0.6744186046511628,ok,
vitalizing,inductive_IMf_noise_0.3,53,0.6830711954073914,0.9822756217280529,0.5187776141384388,0.6789667298805313,184.0,2.0,0.6721311475409836,ok,
whole,inductive_IMf_noise_0.3,82,0.7662853712997738,0.9909281228192603,0.2202812100553898,0.3604378533881938,180.0,3.0,0.6190476190476191,ok,
random_case_control,inductive_IMf_noise_0.4,64,0.6879013003070558,0.9326615011714812,0.2836624775583483,0.4350174407017181,172.0,3.0,0.6551724137931035,ok,
vitalizing,inductive_IMf_noise_0.4,53,0.6653398350407066,0.9186108545905627,0.4150360453141092,0.5717504630335559,179.0,3.0,0.652892561983471,ok,
whole,inductive_IMf_noise_0.4,82,0.7367089990014879,0.96914736269997,0.19706005879882404,0.3275236167386692,172.0,3.0,0.6065573770491803,ok,
random_case_control,inductive_IMf_noise_0.5,64,0.6523277139088007,0.858847259105812,0.36747588959095445,0.5147185893017848,139.0,3.0,0.6421052631578946,ok,
vitalizing,inductive_IMf_noise_0.5,53,0.6431716329564175,0.9293204353340654,0.4347826086956522,0.5924073917394199,152.0,2.0,0.6799999999999999,ok,
whole,inductive_IMf_noise_0.5,82,0.7159526434172062,0.898447936187593,0.31350080799177316,0.464811990253056,155.0,3.0,0.6146788990825688,ok,
random_case_control,inductive_IMf_noise_0.6,64,0.6080907286627502,0.8100235829628392,0.43983208955223885,0.5701048095644641,143.0,3.0,0.6494845360824743,ok,
vitalizing,inductive_IMf_noise_0.6,53,0.6178078918099068,0.9370862656517254,0.47461250668091925,0.63009598114523,130.0,1.0,0.6744186046511628,ok,
whole,inductive_IMf_noise_0.6,82,0.7380130017296216,0.8924319258146682,0.2955470737913486,0.44404092045393967,178.0,4.0,0.6393442622950819,ok,
