log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
bug_fixes,heuristics_dep_0.5,265,18.768219558001398,8.573584905660377,0.5456400527165521,0.8335836455063649,0.8408659323965059,0.8372089533887973,317.0,19.0,0.4826254826254826,ok,
docs,heuristics_dep_0.5,20,31.240663773148146,7.9,0.4060105792039467,0.9011485306229579,0.6370757180156659,0.7464449318016919,184.0,10.0,0.562043795620438,ok,
feature_work,heuristics_dep_0.5,74,26.407150588088086,9.08108108108108,0.5218730103950053,0.8853815551456723,0.7110266159695817,0.7886828223352454,230.0,13.0,0.4866310160427808,ok,
other,heuristics_dep_0.5,419,22.005221813400514,21.24821002386635,0.5366631905754193,0.9411183974383182,0.18896869116519066,0.3147401887675164,582.0,32.0,0.4411177644710579,ok,
tech_debt,heuristics_dep_0.5,81,13.40547596593507,11.11111111111111,0.5144683919849375,0.8940530139875837,0.4895306859205776,0.6326561742751851,275.0,9.0,0.5,ok,
whole,heuristics_dep_0.5,859,20.789932590113395,15.023282887077997,0.5640185109715683,0.9018888622360575,0.247844568793679,0.38883492491040933,626.0,35.0,0.4423791821561338,ok,
bug_fixes,inductive_IMf_noise_0.2,265,18.768219558001398,8.573584905660377,0.7859972840781471,0.9579712005223249,0.5353287012292891,0.686840570991988,211.0,5.0,0.6503496503496503,ok,
docs,inductive_IMf_noise_0.2,20,31.240663773148146,7.9,0.5938331401627206,0.9665157902607076,0.5031847133757962,0.6618164308880161,117.0,3.0,0.7066666666666667,ok,
feature_work,inductive_IMf_noise_0.2,74,26.407150588088086,9.08108108108108,0.714400278084677,0.9758217932306266,0.5379523389232127,0.6935587085158501,111.0,2.0,0.6533333333333333,ok,
other,inductive_IMf_noise_0.2,419,22.005221813400514,21.24821002386635,0.7426236849100916,0.9618703780565734,0.47364182164299307,0.6347309875074515,350.0,8.0,0.6229508196721312,ok,
tech_debt,inductive_IMf_noise_0.2,81,13.40547596593507,11.11111111111111,0.7591328592637254,0.97359859398573,0.19819819819819817,0.3293497445689925,229.0,7.0,0.6516129032258065,ok,
whole,inductive_IMf_noise_0.2,859,20.789932590113395,15.023282887077997,0.8247064783252865,0.9912844059831387,0.18128878281622907,0.30652030099613814,276.0,4.0,0.625,ok,
bug_fixes,split_miner_eps_0.2_eta_0.5,265,18.768219558001398,8.573584905660377,0.7960559157060977,0.8895927558896286,0.8651622002820875,0.8772074110217378,145.0,9.0,0.5961538461538463,ok,
docs,split_miner_eps_0.2_eta_0.5,20,31.240663773148146,7.9,0.5117727346518581,0.8857142857142857,0.7755102040816326,0.8269568269568269,92.0,0.0,0.7241379310344828,ok,
feature_work,split_miner_eps_0.2_eta_0.5,74,26.407150588088086,9.08108108108108,0.7032057725848251,0.885589519650655,0.7872892347600519,0.8335512581518666,101.0,0.0,0.6716417910447761,ok,
other,split_miner_eps_0.2_eta_0.5,419,22.005221813400514,21.24821002386635,0.7859382249470274,0.9110195977101111,0.324728697103962,0.4787936317485921,347.0,48.0,0.4201954397394137,ok,
tech_debt,split_miner_eps_0.2_eta_0.5,81,13.40547596593507,11.11111111111111,0.7697214762412028,0.9367157665030006,0.49189526184538657,0.6450545853217802,137.0,0.0,0.6703296703296703,ok,
whole,split_miner_eps_0.2_eta_0.5,859,20.789932590113395,15.023282887077997,0.7963370540261075,0.9539837527762476,0.41194991850644536,0.5754211020270169,292.0,6.0,0.5357142857142857,ok,
