log_name,n_cases,variant_entropy,normalized_variant_entropy,sequence_entropy,normalized_sequence_entropy,magnitude,variety,affinity,status,error
anomaly_bug_fixes,214,1871.5560690311777,0.6536610349309186,4948.360093524115,0.38039021859752753,1743,17,0.3512218841040313,ok,
anomaly_docs,7,76.41322990910744,0.45892634463931054,95.44735579878413,0.405286827378676,58,15,0.14059542231811134,ok,
anomaly_feature_work,52,827.396097134661,0.6290295321916365,1402.0647232083602,0.48846714768347965,467,15,0.21874865402990082,ok,
anomaly_other,273,8039.744568653778,0.614830140053489,12741.472932412222,0.5466414156540879,2921,22,0.12610714619741167,ok,
anomaly_tech_debt,65,899.7514027817579,0.5341843005653467,2062.0536352404138,0.42047226189528475,742,15,0.26962526541595744,ok,
normal_bug_fixes,51,1116.2845567503887,0.6069746114090188,1718.429017820028,0.51801212585661,529,17,0.22939600904648097,ok,
normal_docs,13,112.14884595595625,0.5458303080454834,181.35617991677344,0.3938099409845402,100,10,0.28867894925587234,ok,
normal_feature_work,22,390.37426978775716,0.5741127283448914,540.0434189750637,0.49490009443269456,205,13,0.2240535602975795,ok,
normal_other,146,6096.334842781516,0.5548953672116069,14989.91415128682,0.288142768294188,5982,24,0.11440110133698683,ok,
normal_tech_debt,16,148.85325838461245,0.5187852845891896,288.61054716797327,0.36081278885475526,158,13,0.2629867701742703,ok,
