seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.18548387096774194,0.5161290322580645,0.4344432882414152
1,0.1774193548387097,0.5,0.41574386133846897
2,0.1935483870967742,0.5161290322580645,0.4249755620723363
3,0.20161290322580644,0.5241935483870968,0.4264418377321603
4,0.20161290322580644,0.5080645161290323,0.4290322580645161
5,0.1935483870967742,0.5241935483870968,0.43958013312852023
6,0.21774193548387097,0.5241935483870968,0.4387600806451613
7,0.20967741935483872,0.5483870967741935,0.45499479708636836
8,0.18548387096774194,0.532258064516129,0.4510752688172043
9,0.20967741935483872,0.5403225806451613,0.45135275754422477
