discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.5548591136581731,0.040663688344425436,0.07328651065372373,0.2247624684833401,0.02258205936470851,0.10047077484550027,0.31926513456181305,0.025488250193999914,0.07983411727366403,109.1,11.685223337379753,0.10710562179083184,16.2,3.293090409394259,0.2032771857650777
heuristics_dep_0.6,0.8454067886695681,0.009477841692816456,0.011210983658803964,0.5530283724924953,0.024849663435698582,0.044933794849803664,0.6683074457172437,0.017830783624936227,0.026680510204101938,299.5,18.626444761264683,0.06219180220789542,14.7,1.5670212364724214,0.10660008411377016
heuristics_dep_0.7,0.846535657938231,0.008545571315160176,0.010094756476027528,0.5599270914883182,0.029069113991043803,0.05191589125251368,0.673563623726087,0.020162791931618636,0.029934502430639085,299.5,18.626444761264683,0.06219180220789542,14.7,1.5670212364724214,0.10660008411377016
heuristics_dep_0.8,0.8471971434599193,0.009101897341500326,0.010743541112908555,0.5597814589963175,0.027612907429034852,0.04932801361185577,0.6737300147573568,0.01981784279845944,0.02941511045132348,299.5,18.626444761264683,0.06219180220789542,14.7,1.5670212364724214,0.10660008411377016
heuristics_dep_0.9,0.8471960201148588,0.009076550558485788,0.01071363691870889,0.5597814589963175,0.027612907429034852,0.04932801361185577,0.6737309850778186,0.019842270432837036,0.02945132533951245,299.5,18.626444761264683,0.06219180220789542,14.7,1.5670212364724214,0.10660008411377016
inductive_IM,1.0,0.0,0.0,0.19563120423066896,0.019406338544189848,0.09919858450243867,0.3268576610047648,0.026409873692746326,0.08079931065884156,285.4,33.807297042699716,0.11845584107463114,7.2,1.3984117975602017,0.1942238607722503
inductive_IMf_noise_0.3,0.9500187197635969,0.03094225404595958,0.032570151937278954,0.27407881633466175,0.0654763574067532,0.2388960893891333,0.4221291648300827,0.07738415420782446,0.18331866323184154,199.1,19.232206783876308,0.09659571463524012,3.7,1.0593499054713802,0.2863107852625352
inductive_IMf_noise_0.4,0.9368351098149844,0.026310657607004413,0.028084619514527495,0.2846952328378619,0.055565208095469755,0.1951743537873532,0.433592978535205,0.06549277538164111,0.15104666962756988,179.0,22.612680808195503,0.12632782574410897,3.8,1.4757295747452437,0.38834988809085363
inductive_IMf_noise_0.5,0.9181035761076869,0.025996682588445702,0.028315631552878827,0.3150114966970361,0.04304137851780421,0.1366343100778937,0.46722420887884064,0.04434434741813637,0.09491020922170501,163.3,22.98332729030619,0.14074297177162393,3.2,1.1352924243950933,0.3547788826234667
inductive_IMf_noise_0.6,0.896634488945646,0.0376247439495961,0.04196218683695638,0.3173239549194178,0.03142279486540536,0.09902433893900313,0.46809428078597887,0.03648459685305654,0.07794283833546334,162.1,14.027354229029319,0.08653518956834866,3.6,1.0749676997731399,0.29860213882587217
