week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2026-04-06,23,,,,,,False,normal,0.0
2026-04-13,12,,,,,,False,normal,0.0
2026-04-20,9,,,,,,False,normal,0.0
2026-04-27,19,,,,,,False,normal,0.0
2026-05-04,22,,,,,,False,normal,0.0
2026-05-11,32,,,,,,False,normal,0.0
2026-05-18,11,,,,,,False,normal,0.0
2026-05-25,12,,,,,,False,normal,0.0
2026-06-01,28,11.75,22.25,10.5,-4.0,38.0,False,normal,0.0
2026-06-08,44,12.0,23.0,11.0,-4.5,39.5,True,high,0.4090909090909091
2026-06-15,53,12.0,26.75,14.75,-10.125,48.875,True,high,0.2796610169491525
2026-06-22,34,12.0,30.0,18.0,-15.0,57.0,False,normal,0.0
2026-06-29,69,12.0,32.5,20.5,-18.75,63.25,True,high,0.2804878048780488
2026-07-06,82,12.0,34.0,22.0,-21.0,67.0,True,high,0.6818181818181818
2026-07-13,193,13.75,41.5,27.75,-27.875,83.125,True,high,3.9594594594594597
2026-07-20,172,15.5,48.5,33.0,-34.0,98.0,True,high,2.242424242424242
2026-07-27,53,17.25,57.0,39.75,-42.375,116.625,False,normal,0.0
