issue_id,category,commit_count
104427,bug_fixes,1
104457,bug_fixes,1
104457,docs,1
104457,feature_work,1
104457,other,1
104457,tech_debt,5
104551,docs,1
104551,feature_work,1
104551,tech_debt,1
104609,feature_work,1
104648,docs,1
104648,feature_work,1
104690,other,1
104743,tech_debt,2
104790,bug_fixes,1
104790,tech_debt,4
104878,bug_fixes,2
104878,tech_debt,1
104933,bug_fixes,1
105005,docs,6
105674,other,1
107795,bug_fixes,1
107825,bug_fixes,1
107861,bug_fixes,1
107861,tech_debt,2
107907,bug_fixes,6
107907,docs,4
107907,feature_work,10
107907,other,1
107907,tech_debt,15
108224,tech_debt,1
108864,bug_fixes,1
108864,docs,2
108864,feature_work,2
108864,tech_debt,3
112286,bug_fixes,2
112327,docs,1
112353,bug_fixes,2
112456,tech_debt,1
112476,bug_fixes,1
112476,docs,1
112476,feature_work,2
112476,tech_debt,4
112568,tech_debt,2
112605,bug_fixes,6
112605,docs,1
112605,feature_work,6
112605,tech_debt,5
112785,tech_debt,1
112818,bug_fixes,3
112818,tech_debt,9
113149,docs,1
113176,other,3
113241,feature_work,1
113292,bug_fixes,1
113292,tech_debt,1
113329,bug_fixes,1
113329,tech_debt,1
113363,docs,1
113363,tech_debt,1
113397,docs,1
113420,docs,1
113420,tech_debt,1
113455,docs,1
113490,feature_work,1
113521,feature_work,1
113521,tech_debt,1
113612,other,1
113659,other,7
113659,tech_debt,1
113800,bug_fixes,1
113826,docs,2
113826,feature_work,2
113826,tech_debt,3
113959,bug_fixes,1
113959,docs,1
113959,feature_work,3
113959,tech_debt,1
114036,other,1
114086,other,6
114149,feature_work,1
114220,tech_debt,1
114253,feature_work,1
114293,tech_debt,1
114322,tech_debt,1
114372,bug_fixes,1
114407,bug_fixes,1
114902,bug_fixes,1
114902,docs,1
114902,feature_work,1
114902,other,1
114902,tech_debt,2
114968,tech_debt,1
115003,feature_work,2
115003,tech_debt,2
115081,bug_fixes,2
115081,other,1
115081,tech_debt,4
115349,tech_debt,1
115375,tech_debt,2
115413,bug_fixes,3
115413,docs,3
115413,feature_work,3
115413,tech_debt,3
115563,feature_work,1
116067,tech_debt,1
116104,tech_debt,1
116230,bug_fixes,1
116260,feature_work,1
116260,tech_debt,1
116298,feature_work,1
116370,bug_fixes,1
116396,docs,1
116396,feature_work,1
116396,tech_debt,1
116442,bug_fixes,2
116442,tech_debt,4
116547,docs,1
22770,tech_debt,1
22821,bug_fixes,1
22876,bug_fixes,1
23014,bug_fixes,1
23078,tech_debt,1
23136,tech_debt,1
23195,tech_debt,1
23360,tech_debt,1
23415,tech_debt,1
23958,docs,1
24023,docs,1
24171,docs,1
24226,tech_debt,1
24440,tech_debt,1
24697,tech_debt,1
24758,docs,1
24816,tech_debt,5
24915,other,1
24915,tech_debt,2
25106,tech_debt,1
25345,bug_fixes,4
25345,docs,2
25345,tech_debt,59
25915,bug_fixes,4
25915,docs,2
25915,tech_debt,53
26426,bug_fixes,2
26426,docs,1
26426,tech_debt,28
26723,tech_debt,1
26797,tech_debt,1
26889,tech_debt,1
26978,tech_debt,1
27051,tech_debt,1
27127,tech_debt,1
27294,feature_work,1
27394,docs,1
27452,docs,1
27452,feature_work,1
27452,other,1
27452,tech_debt,2
27547,docs,1
27547,tech_debt,1
27711,bug_fixes,1
27772,bug_fixes,2
27872,tech_debt,1
27924,docs,1
28061,docs,1
28122,docs,1
28180,tech_debt,1
28278,docs,2
28363,bug_fixes,1
28363,docs,1
28363,tech_debt,28
28660,tech_debt,4
28748,tech_debt,2
28855,tech_debt,3
28955,bug_fixes,1
28955,docs,1
28955,tech_debt,23
29256,bug_fixes,1
29256,tech_debt,13
29484,tech_debt,3
29643,tech_debt,1
29765,tech_debt,1
29905,tech_debt,1
29991,tech_debt,1
30064,bug_fixes,2
30064,docs,1
30064,tech_debt,23
30385,bug_fixes,2
30385,docs,1
30385,tech_debt,27
30858,docs,1
30919,docs,1
30981,docs,1
31052,docs,1
31113,docs,1
31178,tech_debt,3
31227,tech_debt,3
31297,docs,1
31422,bug_fixes,6
31422,docs,3
31422,tech_debt,71
32255,docs,2
32353,tech_debt,1
32415,tech_debt,2
32465,tech_debt,1
32582,docs,1
32685,docs,1
32763,tech_debt,2
32950,tech_debt,1
33025,docs,1
33092,bug_fixes,1
33173,tech_debt,2
33274,tech_debt,1
33343,tech_debt,2
33529,docs,1
