week_start,object_id
2023-04-24,98774
2020-07-20,105200
2020-04-27,107795
2020-04-27,108224
2025-06-09,23136
2025-06-09,23195
2025-06-02,26978
2025-06-02,27872
2025-05-26,30919
2025-05-26,32763
2025-05-19,33450
2025-05-19,33816
2025-06-09,34513
2025-05-19,35468
2025-05-26,36038
2023-12-18,63115
2023-06-19,71974
2023-06-19,72251
2023-06-19,74037
2023-04-17,74217
2023-02-06,77715
2023-02-06,77898
2023-04-24,78143
2022-09-12,84389
2022-09-12,84441
2022-09-12,84563
2022-09-12,84671
2022-08-15,85708
2022-09-12,88110
2019-12-30,112353
2019-11-11,115260
2023-06-19,71747
2023-06-19,71815
2023-05-01,73268
2023-04-17,75118
2023-04-17,75148
2023-04-24,76281
2023-04-24,81701
2022-08-08,89104
2023-04-24,95474
2020-07-20,104690
2020-07-20,106036
2020-04-27,107861
2020-04-27,107907
2020-04-27,108818
2019-12-23,112456
2019-11-04,115910
2019-04-22,116230
2019-04-22,116324
2025-06-09,23360
2025-06-02,27127
2025-06-09,27245
2025-05-26,28061
2025-05-19,33274
2025-06-09,25106
2025-06-02,29905
2025-06-09,33857
2025-06-09,34627
2025-06-02,35769
2024-05-20,50815
2024-05-20,51366
2024-05-20,68118
2023-06-19,71649
2023-04-17,74696
2023-04-24,75466
2023-04-17,75516
2023-02-06,78738
2023-02-06,82678
2022-08-15,85678
2023-04-24,86052
2025-05-26,103942
2020-07-20,105184
2020-04-27,107825
2023-04-24,109655
2019-12-23,112568
2019-12-23,112818
2025-06-09,24023
2025-06-09,24816
2025-06-02,26426
2025-06-02,27711
2025-05-26,28748
2025-05-26,28855
2025-06-02,29450
2025-06-02,29484
2025-06-02,30385
2025-05-26,32582
2025-05-19,33658
2025-05-19,35311
2025-05-19,35591
2024-05-20,51035
2025-05-26,51629
2025-05-26,54997
2023-05-01,73377
2025-06-02,27452
2025-05-26,28122
2025-05-26,28955
2025-05-26,31052
2025-05-26,33343
2025-05-19,33529
2025-05-19,34805
2024-05-20,50917
2024-05-20,51444
2024-05-20,51688
2023-12-18,63008
2019-11-25,113149
2019-11-18,113785
2019-11-18,114220
2019-11-04,115563
2019-05-20,116104
2019-04-15,116370
2025-05-19,34222
2025-05-19,35078
2024-05-20,51496
2023-12-18,62967
2023-12-18,63049
2023-12-18,63206
2023-12-18,69586
2024-05-20,70567
2023-04-17,75639
2023-05-01,75908
2023-04-24,83520
2022-09-12,85228
2022-08-15,86022
2022-08-15,87035
2023-02-06,100768
2020-07-20,105825
2020-07-20,106802
2019-11-25,113176
2019-11-18,113363
2020-07-20,113555
2019-12-30,114496
2019-11-18,114723
2019-05-20,116067
2019-11-04,116935
2025-06-09,22821
2025-06-02,26723
2025-06-02,26889
2025-05-26,29217
2025-06-09,31178
2025-05-26,32465
2025-06-09,33988
