commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
96910,96908,fix: version update in a docker-compose.yaml file,fix,,False,bug_fixes
97002,97000,ci: update package version in pyproject.toml,ci,,False,tech_debt
97152,97150,ci(version): fix poetry project version and version_files config,ci,version,False,tech_debt
98036,98034,fix(commitizen/config/__init__.py): Update read configuration mode from `r` to `rb`,fix,commitizen/config/__init__.py,False,bug_fixes
98164,98162,Merge remote-tracking branch 'origin/Update_read_configuration_mode' into Update_read_configuration_mode,other,,False,other
99252,99250,feat(#319): add optional change_type_order,feat,#319,False,feature_work
99584,99582,"fix(commands/commit): create tmp file divided by user info

For multi user siuation, it may get fail `Permission denied: '/tmp/cz.commit/backup` due to another user create a temp file.
So if one user create temp_file should attatch with USER info to resolve permission issue",fix,commands/commit,False,bug_fixes
100450,100448,test(bump_command): test if the version in the configuration file was updated when using the flag,test,bump_command,False,tech_debt
100679,100677,docs(changelog): add config file options `changelog_incremental` and `changelog_start_rev`,docs,changelog,False,docs
100717,100715,feat(commands/bump): add config option to create changelog on bump,feat,commands/bump,False,feature_work
101286,101284,"fix(init.py): mypy error (types)

closes #285",fix,init.py,False,bug_fixes
101519,101517,"fix: prevent undo bump error

The last version could not handle tags order by [0.3.0, 0.3.0a0, ...], it would try to delete 0.3.0a0",fix,,False,bug_fixes
102738,102736,fix(cli): wrap the word enter with brackets,fix,cli,False,bug_fixes
104087,104085,feat(cz_check): Update to show all ill-formatted commits,feat,cz_check,False,feature_work
104280,104278,fix(commands/bump): display message variable properly,fix,commands/bump,False,bug_fixes
104468,104466,"fix(cli): make command required for commitizen

BREAKING CHANGE: ""cz --debug"" will no longer work
 #47",fix,cli,False,bug_fixes
104812,104810,"refactor(cli): remove ""--version"" argument

BREAKING CHANGE: Use ""cz verion"" instead",refactor,cli,False,tech_debt
105406,105404,"fix: Raise NotAGitProjectError only in git related command

Only Running `cz commit`, `cz bump` and `cz changelog` in a non git project will raise NotAGitProjectError
Other commands like `cz --help` will work now

#206",fix,,False,bug_fixes
105515,105513,ci(github-action): rename job,ci,github-action,False,tech_debt
105526,105524,ci(github-action): update pip when initialize environement,ci,github-action,False,tech_debt
105950,105948,docs(README.md): Add pre-commit integration information in README.md,docs,README.md,False,docs
106560,106558,"refactor(exception): Rename CommitFailedError and TagFailedError with Bump prefix

these errors are only for `cz bump`",refactor,exception,False,tech_debt
107231,107229,fix(templates): remove trailing space in keep_a_changelog,fix,templates,False,bug_fixes
107320,107318,docs(github): add more content to pull_requset template,docs,github,False,docs
108102,108100,feat(commands/changelog): make changelog_file an option in config,feat,commands/changelog,False,feature_work
108118,108116,fix(cz/conventional_commits): fix schema_pattern break due to rebase,fix,cz/conventional_commits,False,bug_fixes
108658,108656,Merge branch 'cmd_rc' of https://github.com/alozovskoy/commitizen into cmd_rc,other,,False,other
108782,108780,test(git): add test that checks GitCommit.message with empty body,test,git,False,tech_debt
108798,108796,refactor(git): replace GitCommit.message code with one-liner,refactor,git,False,tech_debt
109044,109042,fix(changelog): check get_metadata for existing changelog file,fix,changelog,False,bug_fixes
110673,110671,docs(check): pin pre-commit to v1.16.2,docs,check,False,docs
110729,110727,docs(check): enforce cz check only whem committing,docs,check,False,docs
111353,111351,refactor(templates): remove unneeded __init__ file,refactor,templates,False,tech_debt
111676,111674,refactor(config): replace string type path with pathlib.Path,refactor,config,False,tech_debt
111732,111730,test(git): add test case for find_git_project_root,test,git,False,tech_debt
111740,111738,"refactor(git): make find_git_project_root return None if it's not a git project

pathlib returns Path('.') if empty is passed",refactor,git,False,tech_debt
112075,112073,"build(deps): update packaging requirement from ^19.0 to >=19,<21

Updates the requirements on [packaging](https://github.com/pypa/packaging) to permit the latest version.
- [Release notes](https://github.com/pypa/packaging/releases)
- [Changelog](https://github.com/pypa/packaging/blob/master/CHANGELOG.rst)
- [Commits](https://github.com/pypa/packaging/compare/19.0...20.0)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>",build,deps,False,tech_debt
112395,112393,fix(github_action/pythonpackage): set git user name,fix,github_action/pythonpackage,False,bug_fixes
112526,112524,test(command/version): add test case for showing commitizen and project version,test,command/version,False,tech_debt
113374,113372,ci: publish with github secret,ci,,False,tech_debt
113474,113472,docs(Tutorial): Tutorial section added. GitLab tutorial added,docs,Tutorial,False,docs
113726,113724,Merge branch 'master' into issue67,other,,False,other
114002,114000,"docs(cz/cz_customize): description for newly added customization functionality

#54",docs,cz/cz_customize,False,docs
115456,115454,"feat(config): update style instead of overwrite

#37",feat,config,False,feature_work
116151,116149,feat(bump): it is now possible to specify a pattern in the files attr to replace the version,feat,bump,False,feature_work
116610,116608,"feat(config): new set key, used to set version to cfg",feat,config,False,feature_work
116701,116699,fix: fix config file not working,fix,,False,bug_fixes
116831,116829,ci: added travis,ci,,False,tech_debt
116882,116880,Bump version: 0.9.11 → 1.0.0b1,other,,False,other
214,212,ci(lychee): exclude https://conventionalcommits.org/,ci,lychee,False,tech_debt
352,350,docs(customization/config_file): group config examples in tabbed code blocks,docs,customization/config_file,False,docs
376,374,docs(config/option): expand use_shortcuts with example and demo GIF,docs,config/option,False,docs
384,382,docs(customize): add shortcut keys section with cz_customize example and key rules,docs,customize,False,docs
2977,2975,test: use pathlib utilities in tests,test,,False,tech_debt
4035,4033,feat(cli): add description when choosing a commit rule (#1825),feat,cli,False,feature_work
4301,4299,fix: make the scope of try except smaller,fix,,False,bug_fixes
5997,5995,docs(auto_check): update auto check installation by only keeping one example,docs,auto_check,False,docs
6005,6003,docs: update documentation to reflect 'prek' integration and improve clarity,docs,,False,docs
7212,7210,fix(cli): capitalize the first characters of help texts and fix minor grammar errors,fix,cli,False,bug_fixes
7334,7332,fix: wip,fix,,False,bug_fixes
7546,7544,Merge branch 'master' into fix-config-warning,other,,False,other
8053,8051,build(dev): ensure `uv sync --dev` install all dev dependencies,build,dev,False,tech_debt
8349,8347,Merge branch 'master' into docs/cz-bump-yes-documented,other,,False,other
8935,8933,build: update dev dependencies,build,,False,tech_debt
9182,9180,"test(snapshots): provide a `test:regen` command to regenerate all snapshots, including those depending on Python version",test,snapshots,False,tech_debt
9533,9531,feat: add custom validation,feat,,False,feature_work
10144,10142,test(tox): ensure all tests can run from any directory,test,tox,False,tech_debt
10232,10230,docs: fix broken links in doc,docs,,False,docs
10925,10923,refactor(version): rename class member to align with other classes,refactor,version,False,tech_debt
11169,11167,"docs(exit_codes.md): move ""ignoring errors"" from bump doc to exit_code doc",docs,exit_codes.md,False,docs
11628,11626,feat(tags): enable version schemes with less than 3 components,feat,tags,False,feature_work
12187,12185,fix(changelog_merge_prerelease): changelog not merged during cz bump,fix,changelog_merge_prerelease,False,bug_fixes
12341,12339,perf(ruff): enable ruff rules TC001~TC006,perf,ruff,False,tech_debt
13227,13225,"fix(bump): remove NotAllowed related to --get-next option, other related refactoring",fix,bump,False,bug_fixes
13540,13538,"fix(git): replace lstrip with strip for compatibility issue

#1032",fix,git,False,bug_fixes
15637,15635,ci(github-actions): add python 3.14 to github-actions and tox,ci,github-actions,False,tech_debt
16681,16679,fixup! refactor(Commit): refactor _prompt_commit_questions and fix some type hint,other,,False,other
16769,16767,"style: unify YAML quotes style

Signed-off-by: Adrian DC <radian.dc@gmail.com>",style,,False,tech_debt
17601,17599,feat(commit-input): enhance multiline input to behave like an editor,feat,commit-input,False,feature_work
17907,17905,docs: enable blank issue and add url to contact links,docs,,False,docs
18022,18020,feat: add parameter to changelog generation to identify incremental generation run,feat,,False,feature_work
19720,19718,refactor(cargo_provider): cleanup and get rid of potential type errors,refactor,cargo_provider,False,tech_debt
20524,20522,test(changelog): ensure error on missing changelog template filename,test,changelog,False,tech_debt
21005,21003,refactor: reduce code indentation,refactor,,False,tech_debt
21295,21293,"fix(dependencies): update tomlkit version to >=0.8.0,<1.0.0",fix,dependencies,False,bug_fixes
21598,21596,docs(config): add message length limit configuration option,docs,config,False,docs
22137,22135,docs(README): install into dev dependency when using uv,docs,README,False,docs
24203,24201,docs(defaults): deprecate type Questions,docs,defaults,False,docs
25484,25482,refactor: misc cleanup,refactor,,False,tech_debt
25605,25603,fix(deprecated): mark deprecate in v5,fix,deprecated,False,bug_fixes
25725,25723,"build(ruff,mypy): more strict rules",build,"ruff,mypy",False,tech_debt
26080,26078,test(test_git): mock os,test,test_git,False,tech_debt
26312,26310,refactor(commit): type commit args,refactor,commit,False,tech_debt
26352,26350,style(changelog): rename parameter for consistency,style,changelog,False,tech_debt
27505,27503,docs(pyproject.toml): move check-commit before cover,docs,pyproject.toml,False,docs
28323,28321,docs(contributing): add Contributing TL;DR page,docs,contributing,False,docs
28422,28420,docs(git): from_rev_and_commit docstring,docs,git,False,docs
28446,28444,refactor(changelog): minor cleanup,refactor,changelog,False,tech_debt
29038,29036,refactor(changelog): minor cleanup,refactor,changelog,False,tech_debt
29134,29132,build: specify importlib-metadata version to fix unit tests,build,,False,tech_debt
30587,30585,style: remove Union,style,,False,tech_debt
30692,30690,refactor(commit): type commit args,refactor,commit,False,tech_debt
30719,30717,docs(bump): comment on a stupid looking pattern,docs,bump,False,docs
30730,30728,fix(Check): make parameters backward compatiable,fix,Check,False,bug_fixes
30959,30957,docs: correct case GitHub,docs,,False,docs
31205,31203,refactor(changelog): rename variables and remove commit_tag,refactor,changelog,False,tech_debt
31812,31810,style(ruff): resolve F401,style,ruff,False,tech_debt
33417,33415,refactor(git): extract _create_commit_cmd_string,refactor,git,False,tech_debt
33949,33947,docs(bump_rule): add todo,docs,bump_rule,False,docs
34595,34593,test(changelog): cover more smart tag range test cases,test,changelog,False,tech_debt
34609,34607,perf(changelog): replace list with set and some code clean up,perf,changelog,False,tech_debt
34712,34710,test(init): add yaml without repos key,test,init,False,tech_debt
