week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score,commit_event_count,message_count,messages_in_week,commit_event_descriptions,commit_event_ids,commit_object_ids,messages_text
2019-04-15,5,0.25,1.0,0.75,-0.875,2.125,True,high,3.8333333333333335,11,11,"['feat: custom cz plugins now support bumping version', 'refactor(info): command logic removed from commitizen base', ""fix: conventional commit 'breaking change' in body instead of title\n\ncloses #16"", 'fix(bump): prefixes like docs, build, etc no longer generate a PATCH', 'refactor(commit): moved most of the commit logic to the commit command', 'docs: mkdocs documentation', 'fix(bump): commit message now fits better with semver', 'refactor(example): command logic removed from commitizen base', 'docs: how to create custom bumps', 'bump: version 1.1.1 → 1.2.0', 'refactor(schema): command logic removed from commitizen base']","['committed (#18)', 'committed (#17)', 'committed (#19)', 'committed (#15)']","[116379, 116405, 116413, 116421, 116451, 116459, 116467, 116475, 116483, 116495, 116563]","[116381, 116407, 116415, 116423, 116453, 116461, 116469, 116477, 116485, 116497, 116565]","feat: custom cz plugins now support bumping version
refactor(info): command logic removed from commitizen base
fix: conventional commit 'breaking change' in body instead of title

closes #16
fix(bump): prefixes like docs, build, etc no longer generate a PATCH
refactor(commit): moved most of the commit logic to the commit command
docs: mkdocs documentation
fix(bump): commit message now fits better with semver
refactor(example): command logic removed from commitizen base
docs: how to create custom bumps
bump: version 1.1.1 → 1.2.0
refactor(schema): command logic removed from commitizen base"
2019-04-22,5,0.5,1.0,0.5,-0.25,1.75,True,high,6.5,4,4,"['feat(bump): new commit message template\n\ncloses #20', 'feat: added argument yes to bump in order to accept questions\n\n* removed unused functions\n* changed travis to use script test instead of command', 'test(commands): added integration test for bump command', 'fix(bump): handle commit and create tag failure']","['committed (#21)', 'committed (#22)', 'committed (#23)']","[116239, 116269, 116277, 116307]","[116241, 116271, 116279, 116309]","feat(bump): new commit message template

closes #20
feat: added argument yes to bump in order to accept questions

* removed unused functions
* changed travis to use script test instead of command
test(commands): added integration test for bump command
fix(bump): handle commit and create tag failure"
2019-05-20,2,1.0,1.0,0.0,1.0,1.0,True,high,0.0,2,2,"['chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701\n\nUpdates the requirements on [mypy](https://github.com/python/mypy) to permit the latest version.\n- [Release notes](https://github.com/python/mypy/releases)\n- [Commits](https://github.com/python/mypy/compare/v0.700...v0.701)\n\nSigned-off-by: dependabot[bot] <support@dependabot.com>', 'chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0\n\nUpdates the requirements on [black](https://github.com/ambv/black) to permit the latest version.\n- [Release notes](https://github.com/ambv/black/releases)\n- [Commits](https://github.com/ambv/black/commits)\n\nSigned-off-by: dependabot[bot] <support@dependabot.com>']","['committed (#27)', 'committed (#26)']","[116076, 116113]","[116078, 116115]","chore(deps-dev): update mypy requirement from ^0.700.0 to ^0.701

Updates the requirements on [mypy](https://github.com/python/mypy) to permit the latest version.
- [Release notes](https://github.com/python/mypy/releases)
- [Commits](https://github.com/python/mypy/compare/v0.700...v0.701)

Signed-off-by: dependabot[bot] <support@dependabot.com>
chore(deps-dev): update black requirement from ^18.3-alpha.0 to ^19.3b0

Updates the requirements on [black](https://github.com/ambv/black) to permit the latest version.
- [Release notes](https://github.com/ambv/black/releases)
- [Commits](https://github.com/ambv/black/commits)

Signed-off-by: dependabot[bot] <support@dependabot.com>"
2019-11-04,10,1.0,1.0,0.0,1.0,1.0,True,high,0.0,20,20,"['feat(config): update style instead of overwrite\n\n#37', 'feat(git): add is_staging_clean to check if there is any file in git staging', 'test(commands/commit): test aborting commit when there is nothing to commit\n\n#45', 'docs(config): update doc for prompt style', 'build: new deploy script and updated changelog', 'feat(commit): new retry argument to execute previous commit again\n\nCloses #40', 'feat(commands/commit): abort commit if there is nothing to commit', 'feat(commit): make style configurable for commit command\n\n#37', 'fix(cz): remove breakpoint\n\n#37', 'feat(config): parse style in config\n\n#37', 'docs(config): update for default color change\n\n#37', 'test(commands/commit): set staging to clean for most commit tests', 'style(cz): use lowercase in BaseCommitizen.default_style_config for consistency\n\n#37', 'fix(cz): fix merge_style usage error\n\n#37', 'test(config): add tests for newly added style config\n\n#37', 'style: new lint command running isort and black', 'docs(config): add description for style that it will merge with default style instead of overwriting\n\n#37', 'refactor(cz): change the color of default style\n\n#37', 'ci(travis): black and flake8 checks during test', 'fix(cz): fix bug in BaseCommitizen.style\n\n#37']","['committed (#42)', 'committed (#49)', 'committed (#44)', 'committed (#41)', 'committed (#43)']","[115012, 115020, 115028, 115040, 115358, 115384, 115392, 115422, 115430, 115438, 115446, 115454, 115462, 115492, 115500, 115508, 115516, 115528, 115536, 115572]","[115014, 115022, 115030, 115042, 115360, 115386, 115394, 115424, 115432, 115440, 115448, 115456, 115464, 115494, 115502, 115510, 115518, 115530, 115538, 115574]","feat(config): update style instead of overwrite

#37
feat(git): add is_staging_clean to check if there is any file in git staging
test(commands/commit): test aborting commit when there is nothing to commit

#45
docs(config): update doc for prompt style
build: new deploy script and updated changelog
feat(commit): new retry argument to execute previous commit again

Closes #40
feat(commands/commit): abort commit if there is nothing to commit
feat(commit): make style configurable for commit command

#37
fix(cz): remove breakpoint

#37
feat(config): parse style in config

#37
docs(config): update for default color change

#37
test(commands/commit): set staging to clean for most commit tests
style(cz): use lowercase in BaseCommitizen.default_style_config for consistency

#37
fix(cz): fix merge_style usage error

#37
test(config): add tests for newly added style config

#37
style: new lint command running isort and black
docs(config): add description for style that it will merge with default style instead of overwriting

#37
refactor(cz): change the color of default style

#37
ci(travis): black and flake8 checks during test
fix(cz): fix bug in BaseCommitizen.style

#37"
2019-11-11,4,1.0,1.0,0.0,1.0,1.0,True,high,0.0,14,14,"['test(commands/commit): add test case for customize exception raised\n\n#46', ""Merge branch 'master' into make-command-required"", ""Merge branch 'master' into general-expection-for-customize-commit"", 'docs(customization): description for inheriting CzException\n\n#46', 'refactor(command/version): use out.write instead of out.line', 'refactor(cli): add back --version and remove subcommand required constraint\n\nthese changes will apply when move into 2.0', 'build(poetry): update questionary version to ^1.4\n\nafter questionary 1.4, we can modify the style of prompt and highlighted text at the same time', 'refactor(command): make version a command instead of an argument', 'test(command/version): add unit test for version', 'refactor(cz/conventional_commit): make NoSubjectException inherit CzException and add error message\n\n#46', 'fix(cli): enforce subcommand as required\n\nwithout enforcing subcommand, exception would be raised when running `cz -n test` or `cz --debug`', 'feat(cz): add a base exception for cz customization\n\n#46', 'fix(commands/commit): catch exception raised by customization cz\n\n#46', 'fix(cli): handle the exception that command is not given']","['committed (#51)', 'committed (#48)', 'committed (#50)']","[114911, 114919, 114927, 114935, 114943, 114951, 114977, 115090, 115098, 115106, 115114, 115122, 115170, 115178]","[114913, 114921, 114929, 114937, 114945, 114953, 114979, 115092, 115100, 115108, 115116, 115124, 115172, 115180]","test(commands/commit): add test case for customize exception raised

#46
Merge branch 'master' into make-command-required
Merge branch 'master' into general-expection-for-customize-commit
docs(customization): description for inheriting CzException

#46
refactor(command/version): use out.write instead of out.line
refactor(cli): add back --version and remove subcommand required constraint

these changes will apply when move into 2.0
build(poetry): update questionary version to ^1.4

after questionary 1.4, we can modify the style of prompt and highlighted text at the same time
refactor(command): make version a command instead of an argument
test(command/version): add unit test for version
refactor(cz/conventional_commit): make NoSubjectException inherit CzException and add error message

#46
fix(cli): enforce subcommand as required

without enforcing subcommand, exception would be raised when running `cz -n test` or `cz --debug`
feat(cz): add a base exception for cz customization

#46
fix(commands/commit): catch exception raised by customization cz

#46
fix(cli): handle the exception that command is not given"
2019-11-18,33,1.0,1.75,0.75,-0.125,2.875,True,high,40.166666666666664,50,42,"['ci: publish with github secret', 'docs(Tutorial): Tutorial section added. GitLab tutorial added', ""Merge branch 'master' into issue67"", 'docs(cz/cz_customize): description for newly added customization functionality\n\n#54', 'fix: commit dry-run doesnt require staging to be clean', 'docs: added github actions to nav', 'correcting style mistakes', 'added reference for where handler code came from', 'created exception to raise if unable to change permission in handler', 'fix(commands/check.py): make --commit-msg-file a required argument for check command\n\nCurrently, if --commit-msg-file is not provided, it throws exception', 'feat(cz/cz_customize): implement info to support info and info_path\n\n#54', 'ci: new bump and publish github actions', 'docs(cz/customize): update doc for jinja support\n\n#54', 'prettied report of c.err', 'style: Reimplemented quoting in error message such that internal double-quotes no longer need to be escaped\n\nSaw that changes from previous PR broke style guidelines', 'fix(test_cli): testing the version command', 'feat(config): add deprecation warning for loading config from ini files\n\n#55', 'correcting style mistake', ""feat: new 'git-cz' entrypoint\n\nAdd 'git-cz' entrypoint in user's PATH.\nProject can now be invoked as 'git cz'.\nFixes #60"", '#issue67\ncreated handler for readonly files/dirs to be passed to shutil.rmtree(). will change permissions and retry operation if readonly dir/file found.', 'docs: github actions tutorial', 'feat(Commands/check): enforce the project to always use conventional commits\n\ncloses #59', 'test(cz/cz_customize): Change the value for choices\n\n#54', 'ci: codeconv for github actions', 'style(all): run ./script/lint', 'refactor(config): remove has_pyproject which is no longer used', 'tidy error report', 'Correct typo to spell ""convention""\n\nFixes #70.', 'ci: new github actions', 'feat(cz/customize): add jinja support to enhance template flexibility\n\n#54', 'docs: updated changelog', 'feat(cz/filters): add required_validator and multiple_line_breaker', 'refactor(cz/utils): rename filters as utils', 'fix(scripts): add back the delelte poetry prefix\n\n#54', 'feat(cz/cz_customize): implement customizable cz\n\n#54', 'fix(cz/exceptions): Fix AnswerRequiredException not caught\n\ninherit CzException', 'test(cz/customize): add test example for jinja support\n\n#54', 'feat(cz/cz_customize): enable bump_pattern bump_map customization', 'feat(Commands/commit): add ´--dry-run´ flag to the Commit command\n\nGenerate a commit message without doing anything\n\ncloses #56', 'ci: run tests on pull_requests', 'refactor(cz/customize): make jinja2 a custom requirement. if not installed use string.Tempalte instead', 'docs(cz/customize): update document for using string.Template as message_template when jinja not installed']","['committed (#88)', 'committed (#85)', 'committed (#79)', 'committed (#72)', 'committed (#75)', 'committed (#87)', 'committed (#69)', 'committed (#90)', 'committed (#86)', 'committed (#74)', 'committed (#62)', 'committed (#83)', 'committed (#81)', 'committed (#65)', 'committed (#84)', 'committed (#64)', 'committed (#89)', 'committed (#71)', 'committed (#63)', 'committed (#61)', 'committed (#68)', 'committed (#66)']","[113301, 113312, 113338, 113346, 113372, 113380, 113406, 113429, 113437, 113472, 113499, 113530, 113538, 113626, 113668, 113676, 113684, 113692, 113700, 113708, 113716, 113724, 113809, 113839, 113847, 113855, 113863, 113871, 113886, 113894, 113968, 113976, 113984, 113992, 114000, 114011, 114050, 114095, 114103, 114111, 114119, 114127, 114135, 114180, 114233, 114274, 114305, 114352, 114387, 114416]","[113303, 113314, 113340, 113348, 113374, 113382, 113408, 113431, 113439, 113474, 113501, 113532, 113540, 113628, 113670, 113678, 113686, 113694, 113702, 113710, 113718, 113726, 113811, 113841, 113849, 113857, 113865, 113873, 113888, 113896, 113970, 113978, 113986, 113994, 114002, 114013, 114052, 114097, 114105, 114113, 114121, 114129, 114137, 114182, 114235, 114276, 114307, 114354, 114389, 114418]","ci: publish with github secret
docs(Tutorial): Tutorial section added. GitLab tutorial added
Merge branch 'master' into issue67
docs(cz/cz_customize): description for newly added customization functionality

#54
fix: commit dry-run doesnt require staging to be clean
docs: added github actions to nav
correcting style mistakes
added reference for where handler code came from
created exception to raise if unable to change permission in handler
fix(commands/check.py): make --commit-msg-file a required argument for check command

Currently, if --commit-msg-file is not provided, it throws exception
feat(cz/cz_customize): implement info to support info and info_path

#54
ci: new bump and publish github actions
docs(cz/customize): update doc for jinja support

#54
prettied report of c.err
style: Reimplemented quoting in error message such that internal double-quotes no longer need to be escaped

Saw that changes from previous PR broke style guidelines
fix(test_cli): testing the version command
feat(config): add deprecation warning for loading config from ini files

#55
correcting style mistake
feat: new 'git-cz' entrypoint

Add 'git-cz' entrypoint in user's PATH.
Project can now be invoked as 'git cz'.
Fixes #60
#issue67
created handler for readonly files/dirs to be passed to shutil.rmtree(). will change permissions and retry operation if readonly dir/file found.
docs: github actions tutorial
feat(Commands/check): enforce the project to always use conventional commits

closes #59
test(cz/cz_customize): Change the value for choices

#54
ci: codeconv for github actions
style(all): run ./script/lint
refactor(config): remove has_pyproject which is no longer used
tidy error report
Correct typo to spell ""convention""

Fixes #70.
ci: new github actions
feat(cz/customize): add jinja support to enhance template flexibility

#54
docs: updated changelog
feat(cz/filters): add required_validator and multiple_line_breaker
refactor(cz/utils): rename filters as utils
fix(scripts): add back the delelte poetry prefix

#54
feat(cz/cz_customize): implement customizable cz

#54
fix(cz/exceptions): Fix AnswerRequiredException not caught

inherit CzException
test(cz/customize): add test example for jinja support

#54
feat(cz/cz_customize): enable bump_pattern bump_map customization
feat(Commands/commit): add ´--dry-run´ flag to the Commit command

Generate a commit message without doing anything

closes #56
ci: run tests on pull_requests
refactor(cz/customize): make jinja2 a custom requirement. if not installed use string.Tempalte instead
docs(cz/customize): update document for using string.Template as message_template when jinja not installed"
2019-11-25,4,1.0,2.0,1.0,-0.5,3.5,True,high,0.5,5,5,"['docs(check): check documentation\n\nadd the documentation for the check command in the docs directory', 'feat(bump): new argument --files-only', 'Fix Jira issue format matching according to https://confluence.atlassian.com/fisheye/using-smart-commits-960155400.html#UsingSmartCommits-GetSmartCommitsworking', 'Add support for different commitizens in `cz check`', 'Add more tests for cz check']","['committed (#94)', 'committed (#92)', 'committed (#93)']","[113162, 113190, 113208, 113219, 113250]","[113164, 113192, 113210, 113221, 113252]","docs(check): check documentation

add the documentation for the check command in the docs directory
feat(bump): new argument --files-only
Fix Jira issue format matching according to https://confluence.atlassian.com/fisheye/using-smart-commits-960155400.html#UsingSmartCommits-GetSmartCommitsworking
Add support for different commitizens in `cz check`
Add more tests for cz check"
2019-12-23,5,1.0,2.0,1.0,-0.5,3.5,True,high,1.5,17,17,"['fix(config/ini_config): replase outdated _parse_ini_settings with _parse_settings', 'docs(customization): add cookiecutter template to doc', 'refactor(config): set ""files"" to alias of ""version_files""\n\n""files"" will be deprecated in 2.0\n""verion_files"" is not used internally\nBut, user can still use ""files"" to achieve the same functionality', ""fix(config): fix load global_conf even if it doesn't exist"", 'refactor(config): move default settings back to defaults', 'test(all): fix test break due to refactoring\n\nnote that empty config file is not yet handled. should be fix in next commit', 'refactor(cz/customize): remove unnecessary statement ""raise NotImplementedError(""Not Implemented yet"")""', 'test(github_action): wrong tset', 'refactor(config): use add_path instead of directly assigning _path', 'build(deps-dev): update mypy requirement from ^0.760 to ^0.761\n\nUpdates the requirements on [mypy](https://github.com/python/mypy) to permit the latest version.\n- [Release notes](https://github.com/python/mypy/releases)\n- [Commits](https://github.com/python/mypy/compare/v0.760...v0.761)\n\nSigned-off-by: dependabot-preview[bot] <support@dependabot.com>', 'refactor(all): replace all the _settings invoke with settings.update', 'refactor(config/ini_config): move deprecation warning into class initialization', 'fix(config): handle empty config file', 'refactor(commands/bump): use ""version_files"" internally\n\n#82', 'refactor(config): add type annotation to config property', 'refactor(config): Make config a class and each type of config (e.g., toml, ini) a child class\n\n* Use new config structure to fix the previously fixed Issue #97\n* Rename the config inside a config as settings\n* Use config class as argument for cz and commands instead of dict config\n* Remove settings from default', 'refactor(config): fix wrongly type annoated functions']","['committed (#100)', 'committed (#108)', 'committed (#103)', 'committed (#105)', 'committed (#101)']","[112336, 112465, 112577, 112585, 112794, 112827, 112835, 112843, 112851, 112859, 112867, 112875, 112883, 112891, 112935, 112943, 112951]","[112338, 112467, 112579, 112587, 112796, 112829, 112837, 112845, 112853, 112861, 112869, 112877, 112885, 112893, 112937, 112945, 112953]","fix(config/ini_config): replase outdated _parse_ini_settings with _parse_settings
docs(customization): add cookiecutter template to doc
refactor(config): set ""files"" to alias of ""version_files""

""files"" will be deprecated in 2.0
""verion_files"" is not used internally
But, user can still use ""files"" to achieve the same functionality
fix(config): fix load global_conf even if it doesn't exist
refactor(config): move default settings back to defaults
test(all): fix test break due to refactoring

note that empty config file is not yet handled. should be fix in next commit
refactor(cz/customize): remove unnecessary statement ""raise NotImplementedError(""Not Implemented yet"")""
test(github_action): wrong tset
refactor(config): use add_path instead of directly assigning _path
build(deps-dev): update mypy requirement from ^0.760 to ^0.761

Updates the requirements on [mypy](https://github.com/python/mypy) to permit the latest version.
- [Release notes](https://github.com/python/mypy/releases)
- [Commits](https://github.com/python/mypy/compare/v0.760...v0.761)

Signed-off-by: dependabot-preview[bot] <support@dependabot.com>
refactor(all): replace all the _settings invoke with settings.update
refactor(config/ini_config): move deprecation warning into class initialization
fix(config): handle empty config file
refactor(commands/bump): use ""version_files"" internally

#82
refactor(config): add type annotation to config property
refactor(config): Make config a class and each type of config (e.g., toml, ini) a child class

* Use new config structure to fix the previously fixed Issue #97
* Rename the config inside a config as settings
* Use config class as argument for cz and commands instead of dict config
* Remove settings from default
refactor(config): fix wrongly type annoated functions"
2019-12-30,6,1.0,2.75,1.75,-1.625,5.375,True,high,0.35714285714285715,30,28,"['fix(github_action/pythonpackage): set git user name', 'test(command/version): add test case for showing commitizen and project version', 'feat(commands/init): Implment init command\n\nset tag and tag_format', 'fix(commands/init): fix init command broken due to newly refactored config', 'style(all): black', 'fix(commands/version): fix wrongly print commitizen version when it should print project version', 'fix(commands/init): read version in the format ""x.y.z"" instead of ""vx.y.z""', 'fix(github_workflow/pythonpackage): set git config for unit testing', 'refactor(cli): add argument for version command\n\n73', 'feat(git): add get_latest_tag, get_all_tags\n\n#57', 'feat(commands/version): enable showing both project and installed commitizen version through version command\n\n#73', 'style(focs): fix style warn by mdlint', 'feat(config): add init_empty_config_file', 'feat(commands/version): add --verbose to show both versions', 'feat(cli): add init command into cli', 'fix(commands/init): fix init commands cannot create config file', 'test(commands/init): add test case for init command', 'refactor(commands/init): add default for tag_format', 'fix(scripts/test): ensure the script fails once the first failure happens\n\n#100', 'test(commands/version): fix test break due to newly design version command', 'feat(commands/init): add name into init question', 'style(commands/init): blackify', 'docs(index): add init command', 'docs(index): add version command', 'fix(commands/init): fix logic error\n\n#57', 'fix(github_action/pythonpackage): separate run test into 3 steps\n\nwithout separating, the pipeline will continue when the third step succeeded even if the first two steps failed\n\n#106', 'style(commands): blackify', 'fix(commands/init): fix test_init_when_config_already_exists']","['committed (#107)', 'committed (#104)', 'committed (#102)', 'committed (#109)']","[112295, 112310, 112385, 112393, 112492, 112500, 112508, 112516, 112524, 112532, 112540, 112548, 112617, 112625, 112633, 112641, 112649, 112657, 112665, 112673, 112681, 112689, 112697, 112705, 112713, 112721, 112729, 112748, 112760, 112768]","[112297, 112312, 112387, 112395, 112494, 112502, 112510, 112518, 112526, 112534, 112542, 112550, 112619, 112627, 112635, 112643, 112651, 112659, 112667, 112675, 112683, 112691, 112699, 112707, 112715, 112723, 112731, 112750, 112762, 112770]","fix(github_action/pythonpackage): set git user name
test(command/version): add test case for showing commitizen and project version
feat(commands/init): Implment init command

set tag and tag_format
fix(commands/init): fix init command broken due to newly refactored config
style(all): black
fix(commands/version): fix wrongly print commitizen version when it should print project version
fix(commands/init): read version in the format ""x.y.z"" instead of ""vx.y.z""
fix(github_workflow/pythonpackage): set git config for unit testing
refactor(cli): add argument for version command

73
feat(git): add get_latest_tag, get_all_tags

#57
feat(commands/version): enable showing both project and installed commitizen version through version command

#73
style(focs): fix style warn by mdlint
feat(config): add init_empty_config_file
feat(commands/version): add --verbose to show both versions
feat(cli): add init command into cli
fix(commands/init): fix init commands cannot create config file
test(commands/init): add test case for init command
refactor(commands/init): add default for tag_format
fix(scripts/test): ensure the script fails once the first failure happens

#100
test(commands/version): fix test break due to newly design version command
feat(commands/init): add name into init question
style(commands/init): blackify
docs(index): add init command
docs(index): add version command
fix(commands/init): fix logic error

#57
fix(github_action/pythonpackage): separate run test into 3 steps

without separating, the pipeline will continue when the third step succeeded even if the first two steps failed

#106
style(commands): blackify
fix(commands/init): fix test_init_when_config_already_exists"
2020-04-27,11,1.0,4.75,3.75,-4.625,10.375,True,high,0.16666666666666666,50,42,"['feat(commands/changelog): make changelog_file an option in config', 'fix(cz/conventional_commits): fix schema_pattern break due to rebase', 'fix(changelog): check get_metadata for existing changelog file', 'fix(cli): add changelog arguments', 'refactor(templates): remove unneeded __init__ file', 'feat(cz/base): add default process_commit for processing commit message', 'style(cli): fix flake8 issue', 'refactor(templates): move changelog_template from cz to templates', 'style(tests/commands/changelog): blackify', 'feat(changelog): add support for any commit rule system', 'refactor(changelog): use functions from changelog.py', 'refactor(cli): add explicit category for deprecation warnings', 'fix(commands/check): Show warning if no commit to check when running `cz check --rev-range`\n\n#165', 'feat(commands/changelog): generate changelog_tree from all past commits\n\nTODO: find rev for each changelog entry', 'feat(commands/changelog): exit when there is no commit exists', 'docs(README): add changelog command', 'Merge pull request #163 from commitizen-tools/command-changelog-wip\n\nCommand changelog wip', 'ci: separate docs from python publishing\n\nCloses #171', ""fix(changelog): generate today's date when using an unreleased_version"", 'refactor(cli): reorder commands', 'docs(config): add changlog_file a config option', 'docs(changelog): update information about using changelog command', 'refactor(commands/changelog): use jinja2 template instead of string concatenation to build changelog\n\n* install jinja2\n* use named caputure group for changelog_pattern', ""refactor(changelog): rename category to change_type to fit 'keep a changelog'"", 'docs(bump): add information about changelog', 'fix(changelog): sort the commits properly to their version', 'test(cli): cover test for warnings', 'ci(bumpversion): generate changelog along with the version', 'feat(changelog): generate changelog based on git log\n\nit will over write the existing file', 'refactor(commands/changelog): remove redundant if statement', 'fix(commands/changelog): remove --skip-merge argument\n\nby default, unrelated commits are ignored', 'style: reformat', 'feat(changelog): add incremental flag', 'feat(cz/conventinal_commits): add changelog_map, changelog_pattern and implement process_commit', 'feat(commands/changlog): add --start-rev argument to `cz changelog`', 'refactor(tests/utils): move create_file_and_commit to tests/utils', 'style(all): blackify', 'test(commands/changelog): add test case for changelog command', 'feat(changelog): changelog tree generation from markdown', 'fix(commitizen/cz): set changelog_map, changelog_pattern to none as default\n\nwithout this default, getting these attributes will be an error', 'fix(changelog_template): fix list format', 'refactor(templates): rename as ""keep_a_changelog_template.j2""']","['committed (#179)', 'committed (#163)', 'committed (#180)', 'committed (#178)', 'committed (#182)', 'committed (#181)']","[107804, 107837, 107870, 107878, 107886, 107916, 107924, 107932, 107940, 107948, 107956, 107964, 107972, 107980, 107988, 107996, 108004, 108012, 108020, 108028, 108036, 108044, 108052, 108060, 108068, 108076, 108084, 108092, 108100, 108108, 108116, 108124, 108132, 108140, 108148, 108156, 108164, 108172, 108180, 108188, 108196, 108244, 108886, 108900, 108985, 108996, 109004, 109012, 109034, 109042]","[107806, 107839, 107872, 107880, 107888, 107918, 107926, 107934, 107942, 107950, 107958, 107966, 107974, 107982, 107990, 107998, 108006, 108014, 108022, 108030, 108038, 108046, 108054, 108062, 108070, 108078, 108086, 108094, 108102, 108110, 108118, 108126, 108134, 108142, 108150, 108158, 108166, 108174, 108182, 108190, 108198, 108246, 108888, 108902, 108987, 108998, 109006, 109014, 109036, 109044]","feat(commands/changelog): make changelog_file an option in config
fix(cz/conventional_commits): fix schema_pattern break due to rebase
fix(changelog): check get_metadata for existing changelog file
fix(cli): add changelog arguments
refactor(templates): remove unneeded __init__ file
feat(cz/base): add default process_commit for processing commit message
style(cli): fix flake8 issue
refactor(templates): move changelog_template from cz to templates
style(tests/commands/changelog): blackify
feat(changelog): add support for any commit rule system
refactor(changelog): use functions from changelog.py
refactor(cli): add explicit category for deprecation warnings
fix(commands/check): Show warning if no commit to check when running `cz check --rev-range`

#165
feat(commands/changelog): generate changelog_tree from all past commits

TODO: find rev for each changelog entry
feat(commands/changelog): exit when there is no commit exists
docs(README): add changelog command
Merge pull request #163 from commitizen-tools/command-changelog-wip

Command changelog wip
ci: separate docs from python publishing

Closes #171
fix(changelog): generate today's date when using an unreleased_version
refactor(cli): reorder commands
docs(config): add changlog_file a config option
docs(changelog): update information about using changelog command
refactor(commands/changelog): use jinja2 template instead of string concatenation to build changelog

* install jinja2
* use named caputure group for changelog_pattern
refactor(changelog): rename category to change_type to fit 'keep a changelog'
docs(bump): add information about changelog
fix(changelog): sort the commits properly to their version
test(cli): cover test for warnings
ci(bumpversion): generate changelog along with the version
feat(changelog): generate changelog based on git log

it will over write the existing file
refactor(commands/changelog): remove redundant if statement
fix(commands/changelog): remove --skip-merge argument

by default, unrelated commits are ignored
style: reformat
feat(changelog): add incremental flag
feat(cz/conventinal_commits): add changelog_map, changelog_pattern and implement process_commit
feat(commands/changlog): add --start-rev argument to `cz changelog`
refactor(tests/utils): move create_file_and_commit to tests/utils
style(all): blackify
test(commands/changelog): add test case for changelog command
feat(changelog): changelog tree generation from markdown
fix(commitizen/cz): set changelog_map, changelog_pattern to none as default

without this default, getting these attributes will be an error
fix(changelog_template): fix list format
refactor(templates): rename as ""keep_a_changelog_template.j2"""
