log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,185,0.6609340556693359,0.6466109088707488,0.13779565723148512,0.22717855513024884,100.0,13.0,0.7966101694915255,ok,
vitalizing,alpha_classic,200,0.7673301298671545,0.6827662237728149,0.2216675274000115,0.334678135175082,105.0,20.0,0.5308641975308642,ok,
whole,alpha_classic,668,0.631485728856809,0.6221029922385211,0.12122478491306976,0.2029099510228909,92.0,10.0,1.0,ok,
random_case_control,heuristics_dep_0.5,185,0.49104357899385864,0.8725104552310434,0.4850391284333282,0.6234788266251059,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.5,200,0.5076463212360122,0.7970155276581676,0.6434108527131783,0.7120231165774429,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.5,668,0.5215834210260923,0.8528426041206758,0.38830567784174286,0.5336407104585166,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.6,185,0.49337770332683306,0.8727791143188095,0.4849647131021786,0.6234859098290784,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.6,200,0.5086767113450061,0.7969500236694393,0.6434108527131783,0.7119969761838079,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.6,668,0.522431698885395,0.8494931032988772,0.4010237275162648,0.5448417524492067,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.7,185,0.4879682286093008,0.8623261032000035,0.47405329593267886,0.6117851437339591,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.7,200,0.5037459663929267,0.7969356878539771,0.6452866861030127,0.7131382765080497,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.7,668,0.5223086692787626,0.8593988692237409,0.4023459873078421,0.5480912955406431,1002.0,69.0,0.42662116040955633,ok,
random_case_control,inductive_IM,185,0.787738544687549,0.9962531337634193,0.09925645137775185,0.18052703887310878,259.0,5.0,0.5706806282722513,ok,
vitalizing,inductive_IM,200,0.8136794260266276,0.9994047004051173,0.13302381913605166,0.23479562341696583,354.0,8.0,0.6031746031746031,ok,
whole,inductive_IM,668,0.7863767656275785,1.0,0.1193945763882368,0.21331991222159982,447.0,12.0,0.5950155763239875,ok,
random_case_control,inductive_IMf_noise_0.2,185,0.8846858629139038,0.9600880962417776,0.28414920906370245,0.43851485888634106,213.0,8.0,0.6326530612244898,ok,
vitalizing,inductive_IMf_noise_0.2,200,0.8279115157067969,0.9025178440899514,0.2879411253404416,0.43659128174981543,252.0,8.0,0.6321839080459769,ok,
whole,inductive_IMf_noise_0.2,668,0.7632933302852127,0.950691246089673,0.36637253918914403,0.5289146504639936,415.0,8.0,0.6306620209059233,ok,
random_case_control,inductive_IMf_noise_0.3,185,0.7456458192060598,0.9143741557601124,0.480510752688172,0.6299682664309119,244.0,4.0,0.6585365853658536,ok,
vitalizing,inductive_IMf_noise_0.3,200,0.7991266468653213,0.9441913699905946,0.34695690804087076,0.507445541158561,184.0,1.0,0.6721311475409836,ok,
whole,inductive_IMf_noise_0.3,668,0.7728352966289473,0.9555926659317504,0.25586773312989475,0.4036538535091944,366.0,7.0,0.6124031007751939,ok,
random_case_control,inductive_IMf_noise_0.4,185,0.7172710918845596,0.9311845334306161,0.208396273917422,0.3405732807102414,237.0,2.0,0.6242424242424242,ok,
vitalizing,inductive_IMf_noise_0.4,200,0.8151930458428791,0.8895742174037662,0.28457381478752153,0.43120547263664216,258.0,8.0,0.6222222222222222,ok,
whole,inductive_IMf_noise_0.4,668,0.7442747236978764,0.9453280649570122,0.19477858559153993,0.32300427915883456,321.0,3.0,0.6177777777777778,ok,
random_case_control,split_miner_eps_0.1_eta_0.4,185,0.6437190888783317,0.9384004461931941,0.3329058386770165,0.4914614067006284,371.0,5.0,0.5314685314685315,ok,
vitalizing,split_miner_eps_0.1_eta_0.4,200,0.7533313143598827,0.9285112188817586,0.42483360110167545,0.5829449508450802,277.0,4.0,0.5763546798029556,ok,
whole,split_miner_eps_0.1_eta_0.4,668,0.686168124042838,0.7330055391101109,0.29789830371729964,0.4236304059501772,893.0,298.0,0.23636363636363636,ok,
random_case_control,split_miner_eps_0.1_eta_0.5,185,0.6578927733002813,0.8379030871269553,0.33365693376148164,0.4772647919959741,479.0,96.0,0.36086956521739133,ok,
vitalizing,split_miner_eps_0.1_eta_0.5,200,0.7630798038455114,0.9189820564541128,0.4802292263610315,0.630815442143534,242.0,2.0,0.6046511627906977,ok,
whole,split_miner_eps_0.1_eta_0.5,668,0.6866843889792158,0.5761249251786364,0.639912211945446,0.6063455859577872,916.0,228.0,0.3176972281449894,ok,
random_case_control,split_miner_eps_0.1_eta_0.6,185,0.6893507157340308,0.8471073466467887,0.3540056734813656,0.4993382000450098,349.0,47.0,0.42950819672131146,ok,
vitalizing,split_miner_eps_0.1_eta_0.6,200,0.7611710876284461,0.9054437130811859,0.5221876535123628,0.662372008608293,226.0,2.0,0.6202531645569621,ok,
whole,split_miner_eps_0.1_eta_0.6,668,0.689655779727081,0.7239918684928113,0.403101699970176,0.5178671250019118,751.0,241.0,0.2591715976331361,ok,
random_case_control,split_miner_eps_0.2_eta_0.4,185,0.6554485552823207,0.9364470697174263,0.33945535148828376,0.49828570573713354,363.0,5.0,0.5434782608695653,ok,
vitalizing,split_miner_eps_0.2_eta_0.4,200,0.7534794310756489,0.9287027917827726,0.41432568550643534,0.5730115590903851,277.0,4.0,0.5763546798029556,ok,
whole,split_miner_eps_0.2_eta_0.4,668,0.6457919691074194,0.814996576345709,0.33243982722462184,0.47224808309372945,490.0,34.0,0.46928746928746934,ok,
random_case_control,split_miner_eps_0.2_eta_0.5,185,0.6461556609511898,0.7372563068963078,0.39334510642252996,0.5129945126205651,534.0,158.0,0.28472222222222227,ok,
vitalizing,split_miner_eps_0.2_eta_0.5,200,0.7631497963753076,0.9191940777816088,0.46698244636388964,0.6193258818753443,242.0,2.0,0.6046511627906977,ok,
whole,split_miner_eps_0.2_eta_0.5,668,0.6863277190733161,0.6752855086918854,0.3421573524242929,0.45418550881772635,698.0,146.0,0.36431784107946025,ok,
random_case_control,split_miner_eps_0.2_eta_0.6,185,0.661465379859772,0.8316459863042782,0.37249313911758497,0.5145292890711282,427.0,127.0,0.28416485900216915,ok,
vitalizing,split_miner_eps_0.2_eta_0.6,200,0.7612846828414346,0.9056687877632363,0.5046684601993987,0.6481605349804074,226.0,2.0,0.6202531645569621,ok,
whole,split_miner_eps_0.2_eta_0.6,668,0.7266992870145705,0.7266893593621303,0.5013274535391261,0.5933295411197101,566.0,99.0,0.39230769230769236,ok,
random_case_control,split_miner_eps_0.3_eta_0.4,185,0.6438726865423305,0.7894091909751642,0.37132003798670465,0.5050677513171871,617.0,242.0,0.21657754010695188,ok,
