log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,185,0.6609340556693359,0.6466109088707488,0.13779565723148512,0.21968005758355885,100.0,13.0,0.7966101694915255,ok,
vitalizing,alpha_classic,200,0.7673301298671545,0.6827662237728149,0.2216675274000115,0.334678135175082,105.0,20.0,0.5308641975308642,ok,
whole,alpha_classic,668,0.631485728856809,0.6221029922385211,0.12122478491306976,0.2029099510228909,92.0,10.0,1.0,ok,
random_case_control,heuristics_dep_0.6,185,0.49033047092059046,0.8673879801837985,0.5079946702198535,0.5673557216337979,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.6,200,0.508116743159194,0.7979649801302139,0.6516192345436702,0.7174047899825999,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.6,668,0.5162013566906631,0.8477334322451349,0.4094964945825367,0.5522360889399797,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.7,185,0.490725843455057,0.8676577303006363,0.5079946702198535,0.5684265171860656,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.7,200,0.5082265776369325,0.7972547839123608,0.6516192345436702,0.7171176312249087,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.7,668,0.5141762887127012,0.848241700339068,0.40872860635696817,0.5516449293774645,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.8,185,0.4795789753977149,0.8592638824747142,0.4919077979401667,0.5660931891148755,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.8,200,0.504078867598617,0.7982442390268971,0.6516192345436702,0.7175176276875624,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.8,668,0.5064828350448658,0.8573933602559345,0.41007800969850305,0.554802532092073,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.9,185,0.48656497323523595,0.8676998719348663,0.507910074937552,0.5695901771721716,585.0,39.0,0.459349593495935,ok,
vitalizing,heuristics_dep_0.9,200,0.5025247796541705,0.7979599425040944,0.6516192345436702,0.717402754073772,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.9,668,0.5137217481684686,0.8474898308627588,0.4095065329836002,0.5521935183861613,1002.0,69.0,0.42662116040955633,ok,
random_case_control,inductive_IM,185,0.787738544687549,0.9962531337634193,0.09925645137775185,0.21617872838962476,259.0,5.0,0.5706806282722513,ok,
vitalizing,inductive_IM,200,0.8136794260266276,0.9994047004051173,0.13302381913605166,0.23479562341696583,354.0,8.0,0.6031746031746031,ok,
whole,inductive_IM,668,0.7863767656275785,1.0,0.1193945763882368,0.21331991222159982,447.0,12.0,0.5950155763239875,ok,
random_case_control,inductive_IMf_noise_0.3,185,0.7456458192060598,0.9143741557601124,0.480510752688172,0.5014805682370296,244.0,4.0,0.6585365853658536,ok,
vitalizing,inductive_IMf_noise_0.3,200,0.8152697011289511,0.9441320205950401,0.4199757706286176,0.5813507927681706,184.0,1.0,0.6721311475409836,ok,
whole,inductive_IMf_noise_0.3,668,0.7728352966289473,0.9555926659317504,0.25586773312989475,0.4036538535091944,366.0,7.0,0.6124031007751939,ok,
random_case_control,inductive_IMf_noise_0.4,185,0.7167995368020601,0.9301104935008628,0.22153348605309253,0.34786163049952973,237.0,2.0,0.6242424242424242,ok,
vitalizing,inductive_IMf_noise_0.4,200,0.8151930458428791,0.8895742174037662,0.28457381478752153,0.43120547263664216,258.0,8.0,0.6222222222222222,ok,
whole,inductive_IMf_noise_0.4,668,0.7529751044423115,0.9499179794261552,0.20712203830972586,0.3400901353624808,325.0,4.0,0.6211453744493391,ok,
random_case_control,inductive_IMf_noise_0.5,185,0.7094761738689696,0.8922766854021638,0.16052274688694368,0.33385996851125566,223.0,3.0,0.6258064516129032,ok,
vitalizing,inductive_IMf_noise_0.5,200,0.6972319714185812,0.8544113477540094,0.3246717971933001,0.47054063830255227,250.0,7.0,0.6470588235294118,ok,
whole,inductive_IMf_noise_0.5,668,0.7490410271750771,0.8988110414695372,0.26020364507572513,0.40357367674399863,365.0,4.0,0.6518218623481782,ok,
random_case_control,inductive_IMf_noise_0.6,185,0.7761358421480071,0.956533144437091,0.11514702694891987,0.3491552917737012,245.0,5.0,0.6000000000000001,ok,
vitalizing,inductive_IMf_noise_0.6,200,0.7568814515899492,0.9131017401193136,0.24418120126197984,0.3853202562730562,171.0,3.0,0.641025641025641,ok,
whole,inductive_IMf_noise_0.6,668,0.7513607339038885,0.9006415120556597,0.20899151422805406,0.33925888815971544,309.0,6.0,0.6073059360730594,ok,
