log_name,discovery_method,n_cases,avg_cycle_time_days,avg_trace_length,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
bug_fixes,heuristics_dep_0.5,113,45.331196329072434,13.725663716814159,0.48435450204883335,0.8496769041828405,0.46034368803701253,0.5971561088953583,555.0,28.0,0.45726495726495725,ok,
docs,heuristics_dep_0.5,140,12.862832589285716,12.321428571428571,0.5099479956886165,0.8550855252649391,0.3950307727376339,0.5404058747844261,449.0,22.0,0.4822888283378746,ok,
feature_work,heuristics_dep_0.5,50,188.26465949074074,16.22,0.4553227285157859,0.8692952436565605,0.290644868301544,0.4356366315864508,487.0,30.0,0.45278450363196127,ok,
other,heuristics_dep_0.5,676,145.93038394764957,13.173076923076923,0.4998357428250041,0.8888498360984338,0.41755667606304836,0.5681924877523435,1036.0,62.0,0.4223194748358862,ok,
tech_debt,heuristics_dep_0.5,601,15.950140814691565,12.407653910149751,0.5013113720169708,0.8391633106388743,0.36450630709003917,0.5082463076264451,790.0,53.0,0.4310595065312046,ok,
whole,heuristics_dep_0.5,1580,78.84267651928036,12.942405063291138,0.5367344274189475,0.888342310285659,0.37639265661472465,0.5287519217898202,1306.0,79.0,0.41724137931034483,ok,
bug_fixes,inductive_IMf_noise_0.2,113,45.331196329072434,13.725663716814159,0.8245588014997149,0.9655094168368504,0.20021369277554035,0.33165372490340406,212.0,9.0,0.6216216216216216,ok,
docs,inductive_IMf_noise_0.2,140,12.862832589285716,12.321428571428571,0.765757128198831,0.9478102561557569,0.42169086251067467,0.5836912711746899,172.0,4.0,0.6551724137931035,ok,
feature_work,inductive_IMf_noise_0.2,50,188.26465949074074,16.22,0.7631060200515025,0.9947098224925816,0.1458811527671512,0.25444601740949624,178.0,4.0,0.6393442622950819,ok,
other,inductive_IMf_noise_0.2,676,145.93038394764957,13.173076923076923,0.6941760502088756,0.9598643471477233,0.3538614775405097,0.517092698852527,483.0,11.0,0.6336336336336337,ok,
tech_debt,inductive_IMf_noise_0.2,601,15.950140814691565,12.407653910149751,0.8744516935179042,0.9481394283326163,0.4162007541282018,0.5784720704757955,191.0,4.0,0.6692913385826772,ok,
whole,inductive_IMf_noise_0.2,1580,78.84267651928036,12.942405063291138,0.8717334810237208,0.9582048064173376,0.449842126828798,0.6122535803016491,341.0,6.0,0.6340425531914894,ok,
bug_fixes,split_miner_eps_0.2_eta_0.5,113,45.331196329072434,13.725663716814159,0.6733150397275115,0.9395009515437733,0.43199233716475094,0.5918471714988561,331.0,20.0,0.4869888475836431,ok,
docs,split_miner_eps_0.2_eta_0.5,140,12.862832589285716,12.321428571428571,0.6671853267450981,0.8572203054764024,0.45909337186201915,0.5979489041935592,280.0,18.0,0.4782608695652174,ok,
feature_work,split_miner_eps_0.2_eta_0.5,50,188.26465949074074,16.22,0.6262030811970887,0.9239800759013282,0.3393876491956409,0.49643095930710496,271.0,2.0,0.5566502463054187,ok,
other,split_miner_eps_0.2_eta_0.5,676,145.93038394764957,13.173076923076923,0.6885448411389672,0.7086066460099848,0.3851190476190476,0.49902442310266115,802.0,199.0,0.3275648949320148,ok,
tech_debt,split_miner_eps_0.2_eta_0.5,601,15.950140814691565,12.407653910149751,0.7417278772436426,0.9482860672001767,0.4345383615084525,0.5959782967781,359.0,15.0,0.5123674911660777,ok,
whole,split_miner_eps_0.2_eta_0.5,1580,78.84267651928036,12.942405063291138,0.7685083650775105,0.7340139931118971,0.4170561570801137,0.5318964359543368,719.0,147.0,0.3664233576642336,ok,
