issue_id,category,commit_count
100019,docs,1
100203,docs,2
100203,feature_work,1
100203,tech_debt,1
100401,docs,1
100401,feature_work,1
100401,tech_debt,1
10053,feature_work,2
10053,tech_debt,5
101240,bug_fixes,2
101240,tech_debt,4
101486,bug_fixes,3
101486,feature_work,4
101486,tech_debt,2
101630,other,2
10165,feature_work,1
101712,docs,1
101742,bug_fixes,1
102215,feature_work,1
102563,tech_debt,1
102706,bug_fixes,2
102706,feature_work,1
102817,tech_debt,3
10291,tech_debt,1
103155,tech_debt,1
10400,tech_debt,1
104001,docs,1
104196,docs,1
104230,bug_fixes,1
104269,bug_fixes,2
104427,bug_fixes,1
104457,bug_fixes,1
104457,docs,1
104457,feature_work,1
104457,other,1
104457,tech_debt,5
10446,docs,1
104609,feature_work,1
104648,docs,1
104648,feature_work,1
104743,tech_debt,2
104878,bug_fixes,2
104878,tech_debt,1
104933,bug_fixes,1
105005,docs,6
10501,docs,1
105441,docs,1
105441,tech_debt,4
105674,other,1
105790,docs,1
106067,docs,1
10619,tech_debt,1
106226,tech_debt,2
10674,docs,1
106755,docs,2
106897,tech_debt,1
106933,tech_debt,1
106970,bug_fixes,1
107196,bug_fixes,1
107196,docs,1
107196,tech_debt,6
10729,tech_debt,1
107301,docs,2
107389,bug_fixes,1
107389,docs,3
107389,feature_work,3
107389,tech_debt,1
107589,docs,1
107589,tech_debt,1
107642,bug_fixes,1
1077,docs,2
107795,bug_fixes,1
107825,bug_fixes,1
107861,bug_fixes,1
107861,tech_debt,2
108224,tech_debt,1
108500,docs,3
108617,other,4
108727,tech_debt,1
109063,docs,1
109156,bug_fixes,1
109156,tech_debt,1
109723,docs,1
109749,docs,1
109912,bug_fixes,1
109912,tech_debt,1
109946,docs,1
109976,tech_debt,1
110009,docs,1
110089,bug_fixes,1
110089,tech_debt,3
110143,tech_debt,1
11023,bug_fixes,1
110765,bug_fixes,1
110765,tech_debt,1
110799,bug_fixes,1
110799,docs,1
11158,docs,1
111781,tech_debt,1
111807,bug_fixes,1
112064,tech_debt,1
11213,docs,1
112167,docs,1
112167,feature_work,1
112167,tech_debt,1
112209,tech_debt,1
112242,bug_fixes,2
112286,bug_fixes,2
112327,docs,1
112353,bug_fixes,2
112456,tech_debt,1
112476,bug_fixes,1
112476,docs,1
112476,feature_work,2
112476,tech_debt,4
112568,tech_debt,2
11271,docs,1
112785,tech_debt,1
112978,tech_debt,1
113011,bug_fixes,2
113085,docs,1
113120,tech_debt,1
113149,docs,1
113241,feature_work,1
113292,bug_fixes,1
113292,tech_debt,1
11332,docs,1
113329,bug_fixes,1
113329,tech_debt,1
113363,docs,1
113363,tech_debt,1
113397,docs,1
113420,docs,1
113420,tech_debt,1
113455,docs,1
113521,feature_work,1
113521,tech_debt,1
113612,other,1
113659,other,7
113659,tech_debt,1
1137,docs,1
113800,bug_fixes,1
113959,bug_fixes,1
113959,docs,1
113959,feature_work,3
113959,tech_debt,1
114036,other,1
114086,other,6
114149,feature_work,1
114220,tech_debt,1
114253,feature_work,1
114293,tech_debt,1
114322,tech_debt,1
114372,bug_fixes,1
114407,bug_fixes,1
114902,bug_fixes,1
114902,docs,1
114902,feature_work,1
114902,other,1
114902,tech_debt,2
114968,tech_debt,1
115349,tech_debt,1
115375,tech_debt,2
115563,feature_work,1
115627,tech_debt,1
115660,tech_debt,1
115838,tech_debt,1
115874,tech_debt,1
115933,tech_debt,1
115965,tech_debt,1
116067,tech_debt,1
116104,tech_debt,1
116140,docs,1
116140,feature_work,1
116230,bug_fixes,1
116260,feature_work,1
116260,tech_debt,1
116298,feature_work,1
116370,bug_fixes,1
116396,docs,1
116396,feature_work,1
116396,tech_debt,1
116547,docs,1
116583,bug_fixes,1
116583,docs,2
116583,feature_work,6
116583,tech_debt,1
116722,tech_debt,1
116752,other,2
116752,tech_debt,1
116812,tech_debt,3
116854,feature_work,1
116854,other,1
12883,docs,1
12955,tech_debt,1
13125,tech_debt,1
1322,bug_fixes,1
13456,bug_fixes,1
13529,bug_fixes,1
13657,docs,1
13719,tech_debt,1
138,tech_debt,1
13858,feature_work,1
13900,docs,1
1396,tech_debt,1
13965,bug_fixes,1
13965,tech_debt,1
14111,docs,1
14189,bug_fixes,1
14189,docs,1
14189,tech_debt,8
14391,docs,1
14391,other,1
14466,docs,1
14545,tech_debt,1
14599,tech_debt,1
14848,docs,1
14941,docs,1
1528,tech_debt,1
15351,docs,1
15412,docs,1
15564,docs,1
15626,tech_debt,2
15689,docs,1
15777,docs,1
15829,tech_debt,1
15882,feature_work,1
15882,tech_debt,1
15987,tech_debt,2
1599,other,1
1599,tech_debt,1
16054,tech_debt,1
16141,bug_fixes,1
16425,tech_debt,4
1658,docs,4
1658,tech_debt,6
17013,docs,2
17013,feature_work,1
17147,docs,1
17265,tech_debt,1
17323,tech_debt,1
17393,other,1
17393,tech_debt,1
17516,bug_fixes,1
17516,feature_work,5
17516,tech_debt,4
17747,tech_debt,1
17847,docs,1
17950,tech_debt,1
18006,bug_fixes,1
18006,feature_work,1
18006,other,1
18131,tech_debt,1
18204,tech_debt,1
18380,bug_fixes,1
18380,feature_work,1
18380,tech_debt,4
18505,tech_debt,1
18566,tech_debt,1
18621,docs,1
18679,tech_debt,3
18768,tech_debt,1
18823,tech_debt,1
1889,bug_fixes,2
1889,other,1
1889,tech_debt,2
18931,tech_debt,1
18986,tech_debt,1
19075,tech_debt,1
19186,bug_fixes,1
19300,tech_debt,1
19391,tech_debt,1
19584,tech_debt,6
19749,tech_debt,1
1987,bug_fixes,2
20071,tech_debt,1
20105,bug_fixes,1
20184,bug_fixes,1
20184,docs,1
20184,feature_work,1
20184,tech_debt,2
203,tech_debt,1
20761,tech_debt,1
20815,tech_debt,1
20869,tech_debt,1
20923,bug_fixes,2
20923,tech_debt,1
21165,tech_debt,1
21322,tech_debt,1
21376,bug_fixes,1
21376,feature_work,1
21578,docs,1
21578,feature_work,1
21628,docs,1
21628,feature_work,1
2172,tech_debt,1
22179,docs,2
22243,feature_work,1
22389,tech_debt,1
22469,docs,1
22530,docs,1
22585,tech_debt,1
22652,bug_fixes,1
22719,tech_debt,1
2275,bug_fixes,1
2275,tech_debt,1
22821,bug_fixes,1
22876,bug_fixes,1
22956,tech_debt,1
23078,tech_debt,1
23136,tech_debt,1
23195,tech_debt,1
23250,bug_fixes,1
23360,tech_debt,1
