discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.6300382113034442,0.07429441244085769,0.11792048657994081,0.13459769386032372,0.02760142289066486,0.20506609065165504,0.21968005758355885,0.03589443077800916,0.16339412495081004,95.2,19.84831367032362,0.20849068981432373,12.9,6.118278625016462,0.47428516472995835
heuristics_dep_0.5,0.8507024922531681,0.012934124193519117,0.015204051135740575,0.4256142971933475,0.055147529774598594,0.12957161011333754,0.5653903280643114,0.047959455395582426,0.08482539055766657,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
heuristics_dep_0.6,0.8475122550434774,0.014806016549724473,0.017469973397570435,0.4273312371245727,0.05697773522986242,0.13333388781324373,0.5660567922495795,0.0492423699848404,0.08699192494298169,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
heuristics_dep_0.7,0.8498881359214666,0.012922471215264996,0.015204908350972778,0.4304636161898426,0.053003153776914926,0.12313039193895434,0.5696635987067525,0.045186548234666245,0.07932145978301672,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
inductive_IM,0.9970884045128015,0.005875631464588299,0.00589278888210445,0.12154381549427314,0.0191617541325848,0.1576530574975052,0.21617872838962476,0.029900248160278687,0.13831262855052356,372.3,48.73750552135843,0.13090922783067,9.2,1.5491933384829668,0.1683905802698877
inductive_IMf_noise_0.2,0.9595511174124907,0.013538311775117794,0.01410900527282484,0.32608944708023263,0.06174369344229411,0.18934588038693073,0.4836341677705615,0.07116383583907876,0.14714393767323583,274.1,64.62103200799085,0.23575713975917856,6.6,2.3664319132398464,0.35855028988482524
inductive_IMf_noise_0.3,0.9276298566011304,0.014354237463721388,0.015474100323070474,0.3505412530828656,0.09883245604117864,0.2819424395045889,0.5013795063856241,0.10600694620903975,0.2114305528226098,268.3,31.17709273025808,0.11620235829391753,4.4,1.3498971154211057,0.3067947989593422
inductive_IMf_noise_0.4,0.9156944238663002,0.027503420831678973,0.030035588417752262,0.21872875881669604,0.07879660724522236,0.3602480426968328,0.3465223881787305,0.09106334003999296,0.26279208255087977,273.7,50.58337451947803,0.18481320613620028,4.4,1.7126976771553504,0.38924947208076144
split_miner_eps_0.1_eta_0.4,0.791037206040221,0.11644952145530771,0.14721118117595436,0.4191994723444141,0.16292365900616176,0.38865425592020725,0.5239977433103108,0.07472126501786068,0.14259844812654243,536.3,107.9907917885183,0.20136265483594687,94.9,67.53838414807785,0.7116794957647824
split_miner_eps_0.1_eta_0.5,0.8223519882383103,0.10763421726549063,0.13088582359491926,0.4186068506135771,0.0781140829781557,0.1866048844247513,0.5475889296949904,0.0571885796280976,0.10443706314507106,430.9,112.99405097417986,0.2622280134002782,80.0,71.02738126165774,0.8878422657707217
split_miner_eps_0.1_eta_0.6,0.8636407012928865,0.0766390498231291,0.08873950672820184,0.43195755683879167,0.06698007845181633,0.1550617124098921,0.5705173929741048,0.04465407664507533,0.07826943962618531,340.6,71.12930322854132,0.20883530014251706,41.7,39.488535607748794,0.9469672807613619
split_miner_eps_0.2_eta_0.4,0.8039810834728385,0.12344718432090071,0.15354488663795932,0.38216625084309236,0.07406076265682025,0.1937920015004875,0.5069547074001545,0.0432933108938285,0.08539877480544987,521.6,158.1407249537224,0.30318390520268873,98.9,95.93800081302507,0.9700505643379683
split_miner_eps_0.2_eta_0.5,0.8446407118548442,0.08140552631660179,0.09637888059863223,0.38134892552918725,0.05232356533733681,0.13720653667695237,0.5221472339107391,0.04437216172586119,0.08498017195940291,399.1,102.51986257414816,0.25687763110535744,67.7,64.95134931452755,0.9593995467433906
split_miner_eps_0.2_eta_0.6,0.8752205821762302,0.05231426818102016,0.0597726667384136,0.3931734077158717,0.04216387755854791,0.10723990160854878,0.5414591766982977,0.04339977902739496,0.08015337239648894,345.0,89.62638500402039,0.2597866232000591,50.6,56.62390543460127,1.1190495145178116
split_miner_eps_0.3_eta_0.4,0.7358497387048235,0.09135991872620959,0.12415567189982711,0.3878878484490181,0.08834829077723914,0.22776761667193904,0.49732594357177573,0.062442889253352216,0.12555727297250932,561.0,132.90430977043428,0.23690607802216448,125.6,70.30283699032984,0.5597359632988045
split_miner_eps_0.3_eta_0.5,0.7838331065425577,0.06633835982338733,0.08463327112579105,0.43310134635032294,0.06359430388882957,0.14683469452295356,0.5534268464350077,0.046596449308109245,0.0841962214306518,506.8,160.29403537804447,0.31628657335841454,140.6,125.55760076996975,0.8930128077522742
split_miner_eps_0.3_eta_0.6,0.7874423942398219,0.058152774883945664,0.07385019565791216,0.4553777884665126,0.09496726017815853,0.2085460964136203,0.5700580272174494,0.06652565433800071,0.11669979398890987,406.3,72.46309405483595,0.17834874244360308,77.4,40.47550699703052,0.5229393668866992
