week_start,value,rolling_q1,rolling_q3,iqr,lower_bound,upper_bound,is_anomaly,anomaly_direction,anomaly_score
2017-10-30,0,,,,,,False,normal,0.0
2017-11-27,1,,,,,,False,normal,0.0
2018-08-20,1,,,,,,False,normal,0.0
2018-09-17,1,,,,,,False,normal,0.0
2018-10-08,1,,,,,,False,normal,0.0
2018-10-29,0,,,,,,False,normal,0.0
2018-12-03,0,,,,,,False,normal,0.0
2018-12-10,0,,,,,,False,normal,0.0
2018-12-17,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-01-14,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-02-25,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-03-25,2,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-04-01,2,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-04-08,1,0.0,1.0,1.0,-1.5,2.5,False,normal,0.0
2019-04-15,5,0.25,1.0,0.75,-0.875,2.125,True,high,3.8333333333333335
2019-04-22,5,0.5,1.0,0.5,-0.25,1.75,True,high,6.5
2019-05-06,1,0.75,1.25,0.5,0.0,2.0,False,normal,0.0
2019-05-20,2,1.0,1.0,0.0,1.0,1.0,True,high,0.0
2019-06-03,2,1.0,1.75,0.75,-0.125,2.875,False,normal,0.0
2019-06-17,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-06-24,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-07-01,0,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-07-08,1,1.0,1.75,0.75,-0.125,2.875,False,normal,0.0
2019-07-15,1,1.0,1.5,0.5,0.25,2.25,False,normal,0.0
2019-08-05,1,1.0,1.25,0.25,0.625,1.625,False,normal,0.0
2019-08-12,1,1.0,1.0,0.0,1.0,1.0,False,normal,0.0
2019-09-23,1,1.0,1.0,0.0,1.0,1.0,False,normal,0.0
2019-10-14,1,1.0,1.0,0.0,1.0,1.0,False,normal,0.0
2019-11-04,10,1.0,1.0,0.0,1.0,1.0,True,high,0.0
2019-11-11,4,1.0,1.0,0.0,1.0,1.0,True,high,0.0
2019-11-18,33,1.0,1.75,0.75,-0.125,2.875,True,high,40.166666666666664
2019-11-25,4,1.0,2.0,1.0,-0.5,3.5,True,high,0.5
2019-12-02,3,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-12-09,2,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-12-16,1,1.0,2.0,1.0,-0.5,3.5,False,normal,0.0
2019-12-23,5,1.0,2.0,1.0,-0.5,3.5,True,high,1.5
2019-12-30,6,1.0,2.75,1.75,-1.625,5.375,True,high,0.35714285714285715
2020-01-06,5,1.0,3.75,2.75,-3.125,7.875,False,normal,0.0
2020-01-13,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-01-20,8,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-01-27,3,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2020-02-17,1,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2020-02-24,0,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2020-03-02,2,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2020-03-09,3,1.0,4.75,3.75,-4.625,10.375,False,normal,0.0
2020-03-16,7,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-03-23,1,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-04-06,4,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-04-13,4,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-04-20,6,1.0,4.0,3.0,-3.5,8.5,False,normal,0.0
2020-04-27,11,1.0,4.75,3.75,-4.625,10.375,True,high,0.16666666666666666
2020-05-04,6,1.0,5.0,4.0,-5.0,11.0,False,normal,0.0
2020-05-11,1,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2020-05-18,2,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2020-05-25,2,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2020-06-01,5,1.0,5.75,4.75,-6.125,12.875,False,normal,0.0
2020-06-08,3,1.25,5.75,4.5,-5.5,12.5,False,normal,0.0
2020-06-22,4,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2020-06-29,6,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2020-07-13,3,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2020-07-20,29,2.0,5.75,3.75,-3.625,11.375,True,high,4.7
2020-07-27,2,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2020-08-03,6,2.0,5.75,3.75,-3.625,11.375,False,normal,0.0
2020-08-10,0,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-08-17,0,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-08-24,1,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-08-31,6,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2020-09-07,3,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2020-09-14,6,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2020-09-21,0,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-09-28,3,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2020-10-05,2,1.25,6.0,4.75,-5.875,13.125,False,normal,0.0
2020-10-12,0,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-10-19,2,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-10-26,4,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-11-02,7,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-11-09,5,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-11-16,11,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-11-23,1,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-11-30,2,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-12-07,1,2.0,6.0,4.0,-4.0,12.0,False,normal,0.0
2020-12-14,2,1.25,5.75,4.5,-5.5,12.5,False,normal,0.0
2020-12-21,1,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2020-12-28,7,1.25,5.0,3.75,-4.375,10.625,False,normal,0.0
2021-01-04,2,1.25,5.75,4.5,-5.5,12.5,False,normal,0.0
