discovery_method,partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
inductive_IMf_noise_0.2,whole,0.61225358,0.679391113,0.306520301,0.466745909,0.276562193
inductive_IMf_noise_0.2,normal/anomaly states,0.532807527,0.708584324,0.392996039,0.513421821,0.26249144
inductive_IMf_noise_0.2,commit categories,0.524767297,0.618372477,0.627709007,0.475898407,0.333439664
inductive_IMf_noise_0.2,states + categories,0.484548083,0.661371876,0.494224774,0.502696599,0.284136099
split_miner_eps_0.2_eta_0.5,whole,0.531106482,0.387004059,0.575421102,0.637712759,0.401086059
split_miner_eps_0.2_eta_0.5,normal/anomaly states,0.532835812,0.418569095,0.656604036,0.555065009,0.474362188
split_miner_eps_0.2_eta_0.5,commit categories,0.550592192,0.387565727,0.656048716,0.651091033,0.518463376
split_miner_eps_0.2_eta_0.5,states + categories,0.593382178,0.458152628,0.656622365,0.693176606,0.610734971
heuristics_dep_0.5,whole,0.517980809,0.379063775,0.388834925,0.442785993,0.513899495
heuristics_dep_0.5,normal/anomaly states,0.519557818,0.493185307,0.555543021,0.455535957,0.544793734
heuristics_dep_0.5,commit categories,0.542604685,0.466699976,0.556778917,0.536600074,0.599962466
heuristics_dep_0.5,states + categories,0.553092124,0.489230253,0.62513892,0.504919954,0.599260025
