discovery_method,partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
inductive_IMf_noise_0.2,whole,0.6340425531914894,0.6296296296296295,0.625,0.6242424242424242,0.6299999999999999
inductive_IMf_noise_0.2,normal/anomaly states,0.6367951952131788,0.6260181044384033,0.6301688896718506,0.6156777661116288,0.6308078863575146
inductive_IMf_noise_0.2,commit categories,0.6484272310845298,0.6305664890280224,0.638672521474471,0.6219471044797539,0.6150463052438587
inductive_IMf_noise_0.2,states + categories,0.6448767672724347,0.6399189320693673,0.6411207338243561,0.6365331483891444,0.629558226909121
split_miner_eps_0.2_eta_0.5,whole,0.3664233576642336,0.4021164021164021,0.5357142857142857,0.3055885850178359,0.3001038421599169
split_miner_eps_0.2_eta_0.5,normal/anomaly states,0.42202748077936497,0.4225062892072837,0.3833026352912473,0.3444626218995916,0.3716719619688805
split_miner_eps_0.2_eta_0.5,commit categories,0.4298642436684859,0.37092198907070173,0.5268028090061583,0.3732136037945036,0.3433720360055574
split_miner_eps_0.2_eta_0.5,states + categories,0.4813391904391678,0.4419135535805164,0.4581644946578044,0.37259470989087656,0.35242239401304576
heuristics_dep_0.5,whole,0.4172413793103448,0.4457831325301205,0.4423791821561338,0.414387031408308,0.4292397660818713
heuristics_dep_0.5,normal/anomaly states,0.4196560542708303,0.45276022297764895,0.4603361644523703,0.41773318654008745,0.4353033841348443
heuristics_dep_0.5,commit categories,0.43442109476845175,0.4614224770291909,0.4662114869717121,0.43304962709036515,0.4617506856515792
heuristics_dep_0.5,states + categories,0.44262367553236703,0.4702908237385597,0.47935937611579005,0.4336448377944046,0.45952461632322145
