discovery_method,partition,commitizen,TradingAgents,Vibe-Trading,yargs,semantic-release
inductive_IMf_noise_0.2,whole,341.0,390.0,276.0,474.0,578.0
inductive_IMf_noise_0.2,normal/anomaly states,374.8955696202532,273.0955259975816,270.9662398137369,313.54564937848266,544.6678135752268
inductive_IMf_noise_0.2,commit categories,315.3386075949367,304.5985489721886,269.69499417927824,384.6742391770253,358.004691898655
inductive_IMf_noise_0.2,states + categories,280.1639240506329,252.15356711003628,211.25145518044238,374.3150450064295,355.5508289020957
split_miner_eps_0.2_eta_0.5,whole,719.0,417.0,292.0,806.0,915.0
split_miner_eps_0.2_eta_0.5,normal/anomaly states,536.2088607594936,437.8379685610641,374.2805587892899,587.3806258036863,733.3891147951205
split_miner_eps_0.2_eta_0.5,commit categories,536.7493670886076,431.6372430471584,237.75203725261932,519.6849549935705,567.3625273694088
split_miner_eps_0.2_eta_0.5,states + categories,417.3,374.1160822249093,270.8870779976717,527.3261894556365,569.8010634970285
heuristics_dep_0.5,whole,1306.0,679.0,626.0,1107.0,978.0
heuristics_dep_0.5,normal/anomaly states,1094.389240506329,547.3748488512697,499.0547147846333,863.0540077153879,891.6102596183922
heuristics_dep_0.5,commit categories,838.6398734177216,572.0532043530834,431.708963911525,855.1654522074582,671.9386925242414
heuristics_dep_0.5,states + categories,713.696835443038,453.12454655380895,347.8824214202561,707.495499357051,611.3562715045355
