log_name,discovery_method,distinct_traces,generalization,fitness,precision,f_score,size,cfc,simplicity,status,error
random_case_control,alpha_classic,183,0.6196096571363321,0.7596190596118784,0.12413108242303872,0.2133913911044503,81.0,8.0,1.0,ok,
vitalizing,alpha_classic,200,0.7673301298671545,0.6827662237728149,0.2216675274000115,0.334678135175082,105.0,20.0,0.5308641975308642,ok,
whole,alpha_classic,668,0.631485728856809,0.6221029922385211,0.12122478491306976,0.2029099510228909,92.0,10.0,1.0,ok,
random_case_control,heuristics_dep_0.6,183,0.5163351022717855,0.8363031888920166,0.3611929307805597,0.5044973338195495,552.0,38.0,0.45299145299145294,ok,
vitalizing,heuristics_dep_0.6,200,0.4995755543777578,0.793609428407853,0.6516192345436702,0.7156392362294447,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.6,668,0.5163539126617425,0.8491382812229389,0.39590380427227656,0.540025240601677,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.7,183,0.5089877264890239,0.8417151346608245,0.3505453701554885,0.4949578422722545,552.0,38.0,0.45299145299145294,ok,
vitalizing,heuristics_dep_0.7,200,0.49958791308655826,0.7971157097450463,0.649706457925636,0.7159016994730107,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.7,668,0.5075496103104986,0.8458870008516561,0.4091700380041682,0.551547229441042,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.8,183,0.5147786399461918,0.8417151346608245,0.3505453701554885,0.4949578422722545,552.0,38.0,0.45299145299145294,ok,
vitalizing,heuristics_dep_0.8,200,0.5019886795569146,0.7934609510508243,0.6516192345436702,0.7155788622917515,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.8,668,0.5241442445096218,0.8524957701403326,0.4252107967869081,0.5674079089232414,1002.0,69.0,0.42662116040955633,ok,
random_case_control,heuristics_dep_0.9,183,0.5121578221342626,0.8301240007841764,0.3529411764705882,0.4952980564149365,552.0,38.0,0.45299145299145294,ok,
vitalizing,heuristics_dep_0.9,200,0.4998307553938134,0.7962253718269058,0.6516192345436702,0.7167009015072457,659.0,50.0,0.44424778761061945,ok,
whole,heuristics_dep_0.9,668,0.513946437838831,0.8491084964821131,0.3965629354389224,0.5406320627451332,1002.0,69.0,0.42662116040955633,ok,
random_case_control,inductive_IM,183,0.7271458481456381,1.0,0.12648747789253045,0.22456970072879523,359.0,9.0,0.5907335907335907,ok,
vitalizing,inductive_IM,200,0.8136794260266276,0.9994047004051173,0.13302381913605166,0.23479562341696583,354.0,8.0,0.6031746031746031,ok,
whole,inductive_IM,668,0.7863767656275785,1.0,0.1193945763882368,0.21331991222159982,447.0,12.0,0.5950155763239875,ok,
random_case_control,inductive_IMf_noise_0.3,183,0.6725636441737981,0.9289726230744686,0.1592117610259618,0.2718351217415429,246.0,4.0,0.6091954022988506,ok,
vitalizing,inductive_IMf_noise_0.3,200,0.7991266468653213,0.9441913699905946,0.34695690804087076,0.507445541158561,184.0,1.0,0.6721311475409836,ok,
whole,inductive_IMf_noise_0.3,668,0.7728352966289473,0.9555926659317504,0.25586773312989475,0.4036538535091944,366.0,7.0,0.6124031007751939,ok,
random_case_control,inductive_IMf_noise_0.4,183,0.6819119510203536,0.9192297831967379,0.14561283714578355,0.25140176428536504,231.0,4.0,0.6000000000000001,ok,
vitalizing,inductive_IMf_noise_0.4,200,0.8151930458428791,0.8895742174037662,0.28457381478752153,0.43120547263664216,258.0,8.0,0.6222222222222222,ok,
whole,inductive_IMf_noise_0.4,668,0.7462542476619896,0.9429212206311239,0.18669228820001693,0.3116749558955427,328.0,4.0,0.6173913043478261,ok,
random_case_control,inductive_IMf_noise_0.5,183,0.7091698669224253,0.9237294692587859,0.15356042761369815,0.2633428433898026,231.0,5.0,0.6000000000000001,ok,
vitalizing,inductive_IMf_noise_0.5,200,0.6959419890366724,0.8126605386383565,0.2995148702805316,0.4377077821725618,250.0,7.0,0.6470588235294118,ok,
whole,inductive_IMf_noise_0.5,668,0.7490410271750771,0.8988110414695372,0.26020364507572513,0.40357367674399863,365.0,4.0,0.6518218623481782,ok,
random_case_control,inductive_IMf_noise_0.6,183,0.703445666839418,0.9139087013227758,0.16116231018989213,0.27400541179244164,243.0,5.0,0.6140350877192983,ok,
vitalizing,inductive_IMf_noise_0.6,200,0.7568814515899492,0.9131017401193136,0.24418120126197984,0.3853202562730562,171.0,3.0,0.641025641025641,ok,
whole,inductive_IMf_noise_0.6,668,0.7499110933494915,0.9029409216445798,0.2112667892217751,0.34241627932097823,303.0,5.0,0.6150234741784038,ok,
