discovery_method,log_name,commitizen,FinGPT,FinRL,Nautilus_trader,OpenBB,Qlib,TradingAgents,Vibe-Trading
alpha_classic,random_case_control,0.2196800575835588,0.4467045196970191,0.2902333785384827,0.2737711326501823,0.2789274644969824,0.3307972926504389,0.2972331193053638,0.319265134561813
alpha_classic,vitalizing,0.334678135175082,0.4383400764546645,0.3520766557710984,0.2300882244637129,0.2773261860883315,0.3444502403395635,0.3754856967105419,0.3016085064599081
alpha_classic,whole,0.2029099510228909,0.3189980710705389,0.264356721028328,0.2085581433355932,0.305397558950217,0.3051723698675427,0.293912860178654,0.3098958226746816
heuristics_dep_0.5,random_case_control,0.5653903280643114,0.7515314132886166,0.6770355385928364,0.5680897353037061,,0.6767600774237821,,0.6759358997439551
heuristics_dep_0.5,vitalizing,0.7169874464825834,0.7445887445887447,0.747687459149521,0.5518340310823282,,0.69092066773735,,0.699443251328045
heuristics_dep_0.5,whole,0.5667099185613528,0.7434721201580503,0.5721082989117166,0.5349870683095463,,0.61484068544995,,0.6696461395143084
heuristics_dep_0.6,random_case_control,0.5660567922495795,0.7515314132886166,0.6785145415375344,0.5683765705594938,0.6411060471928145,0.6761937716724591,0.6804759930743663,0.6761388187236167
heuristics_dep_0.6,vitalizing,0.7157918968664428,0.7445887445887447,0.747687459149521,0.5515731342899013,0.6072900748688531,0.6827726284519714,0.6802624452594774,0.699443251328045
heuristics_dep_0.6,whole,0.5516231525892363,0.7487866980477276,0.571650203795866,0.5346801066692249,0.6413465718665622,0.6141161789261935,0.6817961757564646,0.669781428842338
heuristics_dep_0.7,random_case_control,0.5696635987067525,0.7515314132886166,0.678375800857874,0.5682372128510673,0.640366122558248,0.676090002323216,0.6805893814726136,0.6733474936072728
heuristics_dep_0.7,vitalizing,0.7161033526550794,0.7445887445887447,0.7364091620522154,0.551531198985388,0.6070335286543184,0.6805550824817167,0.68083945448518,0.699443251328045
heuristics_dep_0.7,whole,0.5667228499548868,0.7434721201580503,0.5716770814937523,0.5354827002900365,0.6372792461473432,0.6149394904633323,0.6817961757564646,0.6696461395143084
