seed,top1_variant_coverage,top10_variant_coverage,gini_variant_concentration
0,0.052845528455284556,0.23577235772357724,0.24166890020548557
1,0.052845528455284556,0.25609756097560976,0.2510840108401084
2,0.06504065040650407,0.24796747967479674,0.26508710801393726
3,0.052845528455284556,0.23170731707317074,0.22197716658017644
4,0.056910569105691054,0.23577235772357724,0.22625103256380158
5,0.04065040650406504,0.17886178861788618,0.17812640437962168
6,0.07317073170731707,0.24390243902439024,0.24030387844862056
7,0.07317073170731707,0.22357723577235772,0.22742372585016174
8,0.044715447154471545,0.1910569105691057,0.1925786950177194
9,0.06504065040650407,0.23577235772357724,0.22978407203426873
