,mean,std,cv
Support,246.0,0.0,0.0
Deviation from random,0.8212503026258288,0.002907426350654629,0.0035402438712759735
norm_variant_entropy,0.700875171693218,0.0034878108274423443,0.004976365219239074
Level of detail,7.876016260162601,0.10578222042925825,0.013430929664824533
norm_sequence_entropy,0.5751183906996008,0.009533379646717532,0.016576377665684948
Trace length (avg),10.847154471544716,0.20436191996482664,0.01884014102508895
Magnitude,2668.4,50.27303231134738,0.01884014102508896
Lempel-Ziv complexity,728.5,17.88388473831492,0.024548915220748
Affinity,0.1832167003834299,0.006171429839619817,0.03368377351357409
sequence_entropy,12110.192112493798,426.61749507088973,0.03522797087841064
Structure,0.7787916086277208,0.028025402513828644,0.03598575306070791
Distinct traces,75.65040650406505,2.832270054085768,0.037438927098608216
Pentland's task complexity,2072.9,100.52246846683913,0.04849364101830244
variant_entropy,6571.772061938192,361.6543111503642,0.05503147518535551
Trace length (max),28.7,1.636391694484477,0.057017132212002684
Variety,30.5,2.41522945769824,0.07918785107207343
Trace length (min),3.1,0.31622776601683794,0.10200895677962514
top10_variant_coverage,0.22804878048780486,0.02457398421204044,0.10775757782819874
gini_variant_concentration,0.22742849939339016,0.025880443210063508,0.11379595468067219
top1_variant_coverage,0.05772357723577236,0.01114081560492925,0.19300286188821095
Pentland's process complexity,153833175207444.06,129440038530598.1,0.8414312345568384
Time granularity,47.34390243902439,42.336698969582095,0.8942376269913276
