discovery_method,fitness_mean,fitness_std,fitness_cv,precision_mean,precision_std,precision_cv,f_score_mean,f_score_std,f_score_cv,size_mean,size_std,size_cv,cfc_mean,cfc_std,cfc_cv
alpha_classic,0.6300382113034442,0.07429441244085769,0.11792048657994081,0.13459769386032372,0.02760142289066486,0.20506609065165504,0.21968005758355885,0.03589443077800916,0.16339412495081004,95.2,19.84831367032362,0.20849068981432373,12.9,6.118278625016462,0.47428516472995835
heuristics_dep_0.6,0.8450175874734805,0.012061213800015989,0.014273328719793673,0.42724667969167485,0.05544707350886493,0.12977765807069266,0.565547916347583,0.047850302215125845,0.08460874990779259,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
heuristics_dep_0.7,0.8448598277705486,0.011593841601496251,0.013722799002161763,0.4282882311513719,0.052727871415111933,0.12311305233245148,0.5666184601481655,0.04525124557045849,0.07986193312273254,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
heuristics_dep_0.8,0.8482025089625834,0.012900634184126967,0.015209379891961685,0.4278827789976388,0.054045030349146525,0.12630802874505204,0.5669330474845239,0.046724937563004026,0.0824170292600195,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
heuristics_dep_0.9,0.8443457515330817,0.012583502531407595,0.014903257946830041,0.4244841926027057,0.055220900532815864,0.1300894155662933,0.5629250441665901,0.047289540808987555,0.08400681635864983,594.4,35.03078011628567,0.05893469063978075,39.6,5.601587076693335,0.14145421910841754
inductive_IM,0.9970884045128015,0.005875631464588299,0.00589278888210445,0.12154381549427314,0.0191617541325848,0.1576530574975052,0.21617872838962476,0.029900248160278687,0.13831262855052356,372.3,48.73750552135843,0.13090922783067,9.2,1.5491933384829668,0.1683905802698877
inductive_IMf_noise_0.3,0.9276317279054693,0.014353291560360122,0.015473049410210328,0.3505412530828656,0.09883245604117864,0.2819424395045889,0.5013797783809669,0.1060069321537774,0.2114304100897133,268.3,31.17709273025808,0.11620235829391753,4.4,1.3498971154211057,0.3067947989593422
inductive_IMf_noise_0.4,0.9149198888548072,0.02788812975787611,0.030481499088169668,0.22129060815360346,0.07810718621664695,0.3529620478173694,0.3499145698457041,0.09006396090016819,0.25738842752355856,274.8,50.07949236519433,0.18223978298833446,4.5,1.7159383568311668,0.3813196348513704
inductive_IMf_noise_0.5,0.9068947439354398,0.018406874122448513,0.02029659367367429,0.20356226558129425,0.032225689841392985,0.15830875997262564,0.3313365734521555,0.04256548790823745,0.12846601105562477,255.6,39.682629841167426,0.1552528554036284,3.7,1.2516655570345725,0.3382879883877223
inductive_IMf_noise_0.6,0.8882748000703394,0.034404463715563126,0.03873177952682968,0.21190871979451692,0.061253791628158645,0.28905743797402517,0.3375927614779609,0.07596485211466082,0.2250191970411073,251.6,25.109537807153853,0.09979943484560357,4.1,1.7288403306519922,0.42166837332975415
