week_start,object_id
2025-10-13,13659
2025-10-13,19680
2016-11-14,186118
2017-11-20,188937
2015-08-17,196299
2015-05-11,198229
2017-12-11,167230
2017-12-11,167540
2017-12-11,168505
2017-10-30,170346
2017-10-02,173229
2017-10-23,173283
2017-10-02,174591
2016-11-14,182022
2016-11-14,185706
2017-11-20,190726
2015-05-11,198277
2015-06-08,198277
2026-08-24,27
2026-06-29,2228
2025-10-13,14429
2025-02-10,27898
2024-10-21,32293
2023-02-27,57292
2023-02-27,57515
2023-02-27,59604
2025-02-10,27539
2024-10-28,32213
2023-06-26,53831
2023-01-02,60630
2022-08-29,62071
2023-01-02,64823
2023-01-02,90543
2023-01-02,91073
2023-01-02,105781
2021-01-18,106989
2025-10-13,14035
2025-02-10,27493
2025-02-10,27676
2025-02-10,27753
2024-10-21,32456
2023-09-18,49076
2023-09-18,49441
2023-06-26,53342
2022-06-13,65140
2021-01-18,110088
2018-12-10,141883
2018-11-26,142872
2018-11-26,143050
2017-12-11,167281
2017-12-11,169617
2017-10-30,170814
2017-10-23,171874
2017-10-23,172160
2017-10-09,172780
2017-11-20,173322
2017-09-25,174207
2017-10-23,175262
2017-11-20,177094
2017-10-02,178540
2017-09-25,178755
2017-11-20,181308
2016-11-14,182339
2016-11-14,184477
2016-11-14,184503
2016-11-14,185924
2017-11-20,188029
2017-11-20,188353
2016-11-14,189125
2015-08-17,195773
2024-10-21,32373
2024-10-21,32496
2023-09-18,48813
2023-01-02,59673
2022-06-13,64279
2022-06-13,64512
2021-01-18,105179
2021-01-18,107144
2023-01-02,62448
2023-01-02,62548
2021-01-18,107041
2018-12-10,141540
2018-11-26,142629
2018-11-26,142999
2018-11-26,143387
2017-12-11,166015
2017-12-11,167046
2017-11-20,169040
2017-11-20,169169
2017-09-25,174050
2017-10-02,175320
2017-09-25,177484
2017-12-11,178689
2017-08-14,180313
2025-10-13,13869
2025-10-13,14175
2025-02-10,27389
2024-10-21,33114
2023-09-18,48771
2023-08-14,51319
2023-08-14,52009
2023-08-14,54644
2023-02-27,57466
2022-08-22,63073
2023-01-02,75388
2025-10-13,14075
2024-10-21,33499
2023-08-14,51359
2023-06-26,53747
2023-01-02,92395
2021-01-18,105267
2021-01-18,107287
2018-12-10,141216
2018-12-10,141710
2018-11-26,143087
2018-11-26,143108
2017-11-20,168742
2017-11-20,172959
2017-10-02,177570
2017-09-25,178608
2017-10-23,179448
2017-09-18,179867
2017-09-25,179867
2016-11-28,181037
2018-11-26,143281
2018-11-26,142506
2018-11-26,142667
2018-11-26,143156
2017-10-09,173361
2017-09-18,176095
2017-10-23,177057
2017-12-11,180049
2016-11-28,181482
2016-11-14,182365
2016-11-14,182391
2017-11-20,185260
2016-11-14,187153
2015-08-17,195947
2015-07-20,196641
2017-12-11,197387
2026-06-29,2140
2025-10-13,13623
2024-10-21,32536
2023-02-27,57765
2022-08-29,62398
2022-08-22,62736
2021-02-08,104327
2021-02-08,104566
2023-09-18,111899
2018-12-10,141403
2018-11-26,142927
2017-10-23,172232
2017-10-09,173068
2026-06-29,2275
2025-10-13,13543
2025-10-13,15317
2026-06-29,2006
2025-10-13,13583
2025-02-10,27555
2025-02-10,27848
2023-09-18,48898
2023-02-27,57569
2022-08-29,62186
2022-08-29,62224
2022-08-22,62902
2022-08-22,63236
2023-06-26,65609
2023-01-02,71166
2021-02-08,103789
2021-02-08,104347
2021-01-18,106510
2016-11-14,181754
2016-11-14,184710
2016-11-14,184739
2016-11-14,187717
2016-11-28,190368
2016-11-14,192388
2015-08-17,196441
2015-08-17,196600
2015-05-11,198373
2015-05-11,198497
2018-12-10,141965
2017-11-20,168888
2017-10-30,170281
2017-10-23,171181
2017-10-23,171243
2017-10-09,172847
2017-09-25,174863
2017-09-18,175605
2017-08-14,176223
2017-08-14,176283
2017-08-14,176319
2017-09-25,179000
2017-09-25,179790
2016-11-14,182260
2017-10-23,187499
2016-11-14,187784
2015-08-17,195703
2015-08-17,196041
2015-05-11,198254
2025-02-10,27349
2025-02-10,27793
2025-02-10,28313
2023-06-26,53580
2023-06-26,53675
2023-01-02,59360
2022-08-29,62342
2021-02-08,104436
2021-01-18,105372
2021-01-18,107184
2021-01-18,109429
2018-12-10,141488
2018-12-10,141655
2017-12-11,166044
2017-12-11,167259
2017-10-30,170766
2017-10-23,170914
2017-10-23,171903
2017-09-25,174243
2017-08-14,176376
2017-09-25,177755
2017-12-11,178327
2017-09-25,178459
2017-09-18,179213
2017-09-25,179248
2017-10-23,180494
2016-11-28,180797
2016-11-14,181613
2016-11-14,182104
2016-11-14,186066
2016-11-14,186260
2017-09-25,187982
2017-11-20,188421
2017-10-23,188814
2015-06-08,198164
2021-02-08,104287
2021-01-18,106466
2021-01-18,106891
2021-01-18,107225
2022-06-13,109590
2018-12-10,141436
2018-12-10,141779
2018-12-10,142070
2018-11-26,143234
2017-11-20,169947
2017-09-25,173858
2017-10-02,173925
2017-10-02,174396
2017-09-18,175646
2017-10-23,177345
2017-10-23,177428
2017-09-25,177459
2017-09-18,180378
2016-11-14,184765
2017-10-02,185453
2016-11-14,187188
2016-11-14,187223
2016-11-14,187388
2017-12-11,194674
2015-06-08,196982
2015-06-08,197187
2015-07-20,197813
2015-07-20,198423
2017-10-30,172360
2017-09-25,174335
2017-09-18,174726
2017-10-30,175953
2017-08-14,178041
2016-11-14,181996
2016-11-14,182078
2016-11-14,184807
2016-11-14,185125
2016-11-14,185234
2017-10-02,185738
2016-11-14,186092
2016-11-14,187080
2017-10-02,187819
2017-12-11,188993
2017-10-02,189364
2016-11-14,189595
2017-11-20,195228
2015-08-17,195883
2017-09-18,175073
2017-12-11,177201
2017-09-25,178436
2017-03-06,178932
2017-03-06,179393
2017-12-11,180557
2016-11-28,181106
2016-11-14,181848
2016-11-14,182156
2016-11-14,184892
2017-11-20,187314
2016-11-14,187464
2016-11-28,188299
2017-09-25,189680
2015-08-17,195757
2015-07-20,197905
2026-06-29,2447
2025-02-10,27636
2025-02-10,35450
2023-09-18,48981
2023-09-18,49034
2023-09-18,49231
2023-08-14,51279
2023-06-26,53389
2023-06-26,53531
2023-02-27,57406
2023-02-27,57590
2023-02-27,57826
2023-02-27,57877
2023-02-27,58313
2023-01-02,59734
2023-01-02,61238
2023-01-02,91526
2021-02-08,104486
2021-01-18,105287
2021-01-18,105419
2021-01-18,106419
2021-01-18,106938
2021-01-18,108573
2026-06-29,2050
2026-06-29,2323
2026-06-29,2407
2025-02-10,27453
2024-09-02,36201
2023-09-18,48858
2023-09-18,49109
2023-01-02,89666
2021-01-18,107089
2018-12-10,141274
2018-12-10,141834
2018-12-10,142240
2018-11-26,142569
2017-12-11,166987
2017-11-20,168859
2017-11-20,169006
2017-10-23,172303
2017-08-14,176190
2018-12-10,141592
2017-11-20,171438
2017-09-18,174684
2017-10-23,175529
2017-08-14,177999
2017-10-02,182286
2016-11-14,184684
2016-11-14,185424
2017-12-11,185640
2016-11-14,185892
2017-09-25,187678
2017-10-23,190620
2015-08-17,196362
2015-06-08,197350
2015-06-08,198056
2017-10-09,176975
2017-12-11,177539
2017-09-25,177783
2017-09-25,178985
2016-11-14,181249
2016-11-14,181548
2016-11-14,181698
2016-11-14,182130
2016-11-14,182234
2016-11-14,184658
2016-11-14,186286
2016-11-14,186457
